nci_id,nct_id,official_title,inclusion_indicaInclusionor,description,NCIT
NCI-2009-01057,NCT00576654,"A Phase I Dose-Escalation Study of Oral ABT-888 (NSC #737664) plus Intravenous Irinotecan (CPT-11, NSC#616348) Administered in Patients with Advanced Solid Tumors",Exclusion/INclusion,"Patients with known active brain metastases should be excluded from this clinical trial; patients with prior treated brain metastases are allowed, providing that they were not accompanied by seizures and that a baseline brain magnetic resonance imaging (MRI) scan prior to study entry demonstrates no current evidence of brain metastases; all patients with central nervous system (CNS) metastases must be stable for > 3 months after treatment and off steroid treatment prior to study enrollment
Patients who have had chemotherapy or radiotherapy within 4 weeks (6 weeks for nitrosoureas or mitomycin C) prior to entering the study or those who have not recovered from adverse events due to agents administered more than 4 weeks earlier; patients who have been administered ABT-888 as part of a single or limited dosing study, such as a phase 0 study, should not necessarily be excluded from participating in this study solely because of receiving prior ABT-888
Patients may not have received any other investigational agents within 4 weeks of study entry
Patients must not receive any other anti-cancer therapy (cytotoxic, biologic, radiation, or hormonal other than for replacement) while on this study except for medications that are prescribed for supportive care but may potentially have an anti-cancer effect (i.e. megestrol acetate, bisphosphonates); these medications must have been started 1 month prior to enrollment on this study; in addition, men receiving treatment for prostate cancer will be maintained at castrate levels of testosterone by continuation of luteinizing-releasing hormone agonists
INCLUSION:
Prior chemotherapy is allowed; patients must not have received chemotherapy for 4 weeks prior to the initiation of study treatment and must have full recovery from any acute effects of any prior chemotherapy; patients must not have had nitrosoureas or mitomycin C for 6 weeks prior to the initiation of study treatment
Prior radiation therapy is allowed; patients must not have received minimal radiation therapy (=< 5% of their total marrow volume) within 3 weeks prior to the initiation of study treatment; otherwise, patients must not have received radiation therapy (> 5% of their total marrow volume) within 4 weeks prior to the initiation of study treatment; patients who have received prior radiation to 50% or more of their total marrow volume will be excluded
Prior experimental (non-Food and Drug Administration [FDA] approved) therapies and immunotherapies are allowed; patients must not have received these therapies for 4 weeks prior to the initiation of study treatment and must have full recovery from any acute effects of these therapies",(C16171 = NO OR C16171 = YES) AND (C15477= NO OR C15477= YES) AND (C16168 = NO OR C16168 = YES)
NCI-2011-00312,NCT01012817,"A Phase 1/2 Trial of ABT-888, an Inhibitor of Poly(ADP-ribose) Polymerase (PARP), and Topotecan (TPT) in Patients with Solid Tumors (Phase 1) and Relapsed Ovarian Cancer or Primary Peritoneal Cancer (Phase 2) after Prior Platinum Containing First-Line Chemotherapy",Exclusion/Inclusion,"EXCLUSION: 
Prior treatment with a PARP inhibitor or topotecan
More than 2 prior chemotherapy regimens for the current malignancy; full dose chemotherapy used in conjunction with concurrent radiation therapy will be included as prior therapy
* Note: Prior hormonal therapy (e.g. leuprolide, aromatase inhibitors, tamoxifen) and immunotherapy will be allowed and not included as a prior chemotherapy; if the chemotherapy regimen is altered during the course due to issues with tolerability or safety, the regimen will be counted as one; using the same regimen at recurrence is counted as one regimen; the addition of bevacizumab to a prior regimen is considered one regimen
Any of the following prior therapies:
* Chemotherapy =< 4 weeks prior to registration
* Mitomycin C/nitrosoureas =< 6 weeks prior to registration
* Immunotherapy =< 4 weeks prior to registration
* Biologic therapy =< 4 weeks prior to registration
* Radiation therapy =< 4 weeks prior to registration
* Radiation to > 25% of bone marrow 
* Investigational therapy or any ancillary therapy considered investigational (utilized for a non-Food and Drug Administration [FDA]-approved indication and in the context of a research investigation) =< 4 weeks prior to registration; subjects with prostate cancer will be permitted to continue hormone therapy
Other active malignancy, except non-melanotic skin cancer or carcinoma-in-situ of the cervix
* Note: If there is a history of prior malignancy, they must not be receiving other specific treatment (other than hormonal therapy) for their cancer
INCLUSION:
Patients must have received < 3 lines of prior therapy and have relapsed less than a year from their last platinum regimen; regimens that are used twice (for example carboplatin and paclitaxel) can be counted as one; if a regimen is changed during the course of treatment due to side effect profile or allergy, the course of therapy is counted as one regimen; (for example, if docetaxel is substituted for paclitaxel due to a reaction during the initial course of adjuvant therapy, this is considered one regimen)","(C16171 = NO OR (C16171 = YES  AND (C16124 = YES AND C62554 = NO AND C1413 = NO))) AND (C15477= NO OR C15477= YES) AND (C16168 = NO OR C16168 = YES) AND (C16124= YES AND (C15187 = NO OR C15187 = YES))
"
NCI-2011-00878,NCT00956007,A Phase III Study of Postoperative Radiation Therapy (IMRT) +/- Cetuximab for Locally-Advanced Resected Head and Neck Cancer,Exclusion,"Prior systemic chemotherapy or anti-EGF therapy for the study cancer; note: prior chemotherapy or anti-EGF therapy for a different cancer is allowable
Prior radiotherapy to the region of the study cancer that would result in overlap of radiation therapy fields","(C16171 = NO OR (C16171 = YES AND PRIOR TREATMENT OF CURRENT CANCER= NO) AND (C16124 = YES AND C2167= NO OR (C2167= YES AND PRIOR TREATMENT OF CURRENT CANCER = NO)) AND ((C15477= NO OR (C15477= YES AND C54225 = YES))  
"
NCI-2011-01915,NCT00887146,N0577 (CODEL): Phase III Intergroup Study of Radiotherapy with Concomitant and Adjuvant Temozolomide versus Radiotherapy with Adjuvant PCV Chemotherapy in Patients with 1p/19q Co-deleted Anaplastic Glioma or Low Grade Glioma,Exclusion/INCLUSION,"EXCLUSION
History of prior radiation therapy or chemotherapy for glioma; note: patients who have a history of prior low grade glioma (with or without a distant history of prior surgery for that glioma), but who have never received prior chemotherapy or radiation therapy for the glioma are eligible for the study
Receiving any other investigational agent that would be considered as a treatment for the primary neoplasm
INCUSION
Surgery (partial or gross total resection or biopsy) must be performed >= 2 weeks prior to registration; patient must have recovered adequately from the effects of surgery",(C16171 = NO OR (C16171 = YES AND C4822 = NO)) AND (C15477= NO OR (C15477= YES AND C4822 = NO)) AND (C16169 = NO OR C16169 = YES)
NCI-2011-01973,NCT00980954,Phase III Randomized Study of Concurrent Chemotherapy and Pelvic Radiation Therapy with or without Adjuvant Chemotherapy in High-Risk Patients with Early-Stage Cervical Carcinoma following Radical Hysterectomy,Inclusion / EXCLUSION,"INCLUSION:
Patients must have undergone radical hysterectomy (open, laparoscopically or robotic) and staging including pelvic node sampling or dissection for cervical carcinoma within 70 days prior to study entry (NOTE: if the patient did not have a para-aortic lymph node sampling/dissection, but had common iliac node dissection that was negative, a positron emission tomography [PET]-computed tomography [CT] is recommended, but not required; a negative pre or post-operative PET scan or PET-CT scan of the paraâ€“aortic nodes is required if the patient did not undergo para-aortic or common iliac nodal sampling/dissection)
EXCLUSION:
Prior invasive malignancy (except non-melanomatous skin cancer) unless disease free for a minimum of 3 years (for example, carcinoma in situ of the breast, oral cavity, or cervix are all permissible)
Prior systemic chemotherapy for the current cervical cancer; note that prior chemotherapy for a different cancer is allowable
Prior radiation therapy to the pelvis that would result in overlap of radiation therapy fields",C16169 = YES AND (C16171 = NO OR (C16171 = YES AND PRIOR TREATMENT OF CURRENT CANCER= NO)) AND ((C15477= NO OR (C15477= YES AND C12767 = NO)) 
NCI-2011-01974,NCT00981656,A Phase II Protocol for Patients with Stage T1 Bladder Cancer to Evaluate Selective Bladder Preserving Treatment by Radiation Therapy Concurrent with Radiosensitizing Chemotherapy following a Thorough Transurethral Surgical Re-staging,Exclusion,"Prior systemic chemotherapy for bladder cancer; prior chemotherapy for a different cancer is allowable
Prior radiotherapy to the region of the study cancer that would result in overlap of radiation therapy fields
A prior or concurrent malignancy of any other site or histology unless the patient has been disease-free for >= 5 years except for non-melanoma skin cancer and/or stage T1a prostate cancer or carcinoma in situ of the uterine cervix or a urothelial carcinoma of the upper urinary tract stage pTa, pTis or pT1 that has not been free of disease after treatment for more than a 2 year period",(C16171 = NO OR C16171 = YES AND C12414 = NO)) AND ((C15477= NO OR (C15477= YES AND C12414 = NO))
NCI-2011-01975,NCT00980460,Treatment of Children with All Stages of Hepatoblastoma with Temsirolimus (NSC#683864) Added to High Risk Stratum Treatment,INCLUSIONS/Exclusion,"INCLUSION
Patients may have had surgical resection of some or all sites of hepatoblastoma prior to enrollment
EXCLUSION
Patients must not have had major surgery within 6 weeks prior to enrollment on the high risk stratum; patients with history of recent minor surgical procedures (vascular catheter placement, bone marrow evaluation, laparoscopic surgery, liver tumor biopsy) will be eligible
Patients who are currently receiving other anticancer agents are not eligible
Patients who are currently receiving another investigational drug are not eligible
Patients who have received any prior chemotherapy are not eligible
Patients that have been previously treated with chemotherapy for hepatoblastoma or other hepatoblastoma-directed therapy (eg, radiation therapy, biologic agents, local therapy [embolization, radiofrequency ablation, laser]) are not eligible
Patients who are currently receiving therapeutic anticoagulants (including aspirin, low molecular weight heparin, warfarin and others) are not eligible
",(C16169 = NO OR C16169 = YES) AND C16171 = NO AND C274 = NO AND C15477= NO AND C16299 = NO
NCI-2011-01987,NCT01013649,A Phase II-R and a Phase III Trial Evaluating Both Erlotinib (Ph II-R) and Chemoradiation (Ph III) as Adjuvant Treatment for Patients with Resected Head of Pancreas Adenocarcinoma,Exclusion,"Previous history of invasive malignancy (except non-melanoma skin cancer) unless the patient has been disease free for at least 2 years prior to study entry (or first day of chemotherapy for patients having started chemotherapy prior to first step registration); patients with a previous history of carcinoma in situ are eligible
Patients entering on the study after pancreaticoduodenectomy, who have not already started chemotherapy must not have had prior systemic chemotherapy for pancreas cancer; note that prior chemotherapy for a different cancer is allowable; for patients entering on the study who have already received up to 3 months of adjuvant chemotherapy as per the treating institution, patients must not have received adjuvant chemotherapy with agents other than gemcitabine, nab-paclitaxel, oxaliplatin, fluoropyrimidine, or irinotecan for the current pancreatic cancer; prior chemotherapy for a different cancer is allowable
Prior radiotherapy to the region of the study cancer that would result in overlap of radiation therapy fields",C16169 = YES AND (C16171 = NO OR (C16171 = YES AND C9005 = NO)) AND (C15477= NO OR (C15477= YES AND C54225 = YES))
NCI-2011-01992,NCT02085408,"Phase III Randomized Trial of Clofarabine as Induction and Post-Remission Therapy vs. Standard Daunorubicin & Cytarabine Induction and Intermediate Dose Cytarabine Post-Remission Therapy, Followed by Decitabine Maintenance vs. Observation in Newly-Diagnosed Acute Myeloid Leukemia in Older Adults (Age >/= 60 Years)",Inclusion,"Patients must be > 28 days from the start of induction or re-induction chemotherapy, or from the start of consolidation cycle 1 (if received) and < 90 days following recovery from most recent treatment; and they must have achieved and maintained a response to induction therapy (CR, CRi, or â€œmorphologic disease-free stateâ€)
Patients with secondary AML are eligible for enrollment onto the trial; secondary AML is defined as AML that has developed in a person with a history of antecedent blood count abnormalities, or myelodysplastic syndrome (MDS), or a myeloproliferative disorder (excluding chronic myeloid leukemia); or a history of prior chemotherapy or radiation therapy for a disease other than AML
* NOTE: Prior therapy of MDS with decitabine, low-dose cytarabine, or azacitidine is excluded
Patient must not have a concurrent active malignancy for which they are receiving treatment (other than myelodysplastic syndromes [MDS])
Patients who have received previous treatment for antecedent hematological disorders (AHD) with 5-azacitidine, decitabine, or low dose cytarabine will be excluded
Patients may not have received prior chemotherapy for AML with the exception of hydroxyurea for increased blast count or leukapheresis for leukocytosis; patients who have received a limited and short-term exposure of ATRA (all trans retinoid acid) while AML-M3 (acute promyelocytic leukemia) was being ruled out, and which has been discontinued, will be eligible 
Patients must have recovered from the effects of induction, re-induction, or consolidation chemotherapy (all toxicities =< grade I with the exception of reversible electrolyte abnormalities), and have no ongoing active infection requiring treatment
",(C16171 = NO OR (C16171 = YES) OR (C16124 = YES AND C15679 = YES))) AND (C16124 = YES AND (C288 = NO AND C981 = NO AND C408 = NO))
NCI-2011-02000,NCT01042522,"A Randomized Phase II Trial of Paclitaxel and Carboplatin vs. Bleomycin, Etoposide, and Cisplatin for Newly Diagnosed Advanced Stage and Recurrent Chemonaive Sex Cord-Stromal Tumors of the Ovary",Exclusion/ INCLUSION,"EXCLUSION
Patients who have received any prior cytotoxic chemotherapy or biologics for sex cord-stromal tumors (SCSTs)
Patients with a history of other invasive malignancies, with the exception of non-melanoma skin cancer, are excluded if there is any evidence of other malignancy being present within the last five years
Patients with medical history or conditions not otherwise previously specified which in the opinion of the investigator should exclude participation in this study; the investigator can consult the study chair or study co-chairs for uncertainty in this regard
Inclusion
Patients with a history of hypersensitivity reactions to prior chemotherapy administered for previous cancer diagnoses are eligible to participate in the study, unless the hypersensitivity reaction consisted of anaphylaxis not amenable to desensitization",((C16171 = NO OR (C16171 = YES AND C3794 = NO)) AND ((C16124 = YES AND (C15187 = NO OR (C15187 = YES AND C3794 = NO))
NCI-2011-02029,NCT01096368,Phase III Randomized Trial of Post-radiation Chemotherapy in Patients with Newly Diagnosed Ependymoma Ages 1 to 21 Years,Exclusion,No prior treatment other than surgical intervention and corticosteroids; patients are allowed to have had more than one attempt at resection prior to enrollment,(C16169 = NO OR (C16169 = YES))  AND C16171 = NO AND C15477= NO AND C16175 = NO AND (C16124 = YES AND C15187 = NO)
NCI-2011-02034,NCT01118026,Phase II Trial of Response-Adapted Therapy Based on Positron Emission Tomography (PET) for Bulky Stage I and Stage II Classical Hodgkin Lymphoma (HL),Inclusion,"Patients may have had one cycle only of ABVD prior to enrolling on study; no other prior treatment (chemotherapy or radiation therapy) for Hodgkin lymphoma is allowed; if patient has had one cycle of ABVD, in order to be eligible to enroll on Cancer and Leukemia Group B (CALGB) 50801, the patient must have had all of the following tests prior to starting the first cycle of ABVD:
* Left ventricular ejection fraction (LVEF) by echocardiogram (ECHO) or multi gated acquisition (MUGA)
* Pulmonary function tests (PFTs) (including diffusing capacity of the lung for carbon monoxide [DLCO]/forced vital capacity [FVC])
* CT scan (neck**, chest, abdomen, pelvis)
* FDG-PET/CT scan
* Chest X-ray, posterior-anterior (PA) & lateral
* Complete blood count (CBC), differential, platelets
* Erythrocyte sedimentation rate (ESR)
* Serum creatinine
* Glucose
* Aspartate aminotransferase (AST)
* Alkaline phosphatase
* Bilirubin
* Lactate dehydrogenase (LDH)
** Patients with a negative FDG-PET/CT scan do not need to have had a dedicated neck CT scan prior to starting the previous cycle of ABVD",(C16171 = NO OR (C16171 = YES = C9509) AND C15477 = NO
NCI-2011-02037,NCT01101451,"Randomized Phase III Clinical Trial of Adjuvant Radiation Versus Chemoradiation in Intermediate Risk, Stage I/IIA Cervical Cancer Treated With Initial Radical Hysterectomy and Pelvic Lymphadenectomy",Exclusion,"Patients with cervix cancer who have received any previous radiation or chemotherapy
Patients with a history of other invasive malignancies, with the exception of non-melanoma skin cancer, are excluded if there is any evidence of other malignancy being present within the last five years; patients are also excluded if their previous cancer treatment contraindicates this protocol therapy",C16171 = NO  AND C15477= NO 
NCI-2011-02073,NCT02589938,"A Phase III Prospective Randomized Trial of Acupuncture for Treatment
of Radiation-Induced Xerostomia in Patients with Head and Neck Cancer",Inclusion,"Must have received bilateral radiation therapy, and subsequently developed grade 2 or 3 xerostomia, according to modified Radiation Therapy Oncology Group (RTOG) scale:
* Grade 0 â€“ None
* Grade 1 â€“ Slight dryness of mouth
* Grade 2 â€“ Moderate dryness of mouth
* Grade 3 â€“ Complete dryness of mouth
* Grade 4 â€“ Fibrosis",C15477= YES  
NCI-2011-02515,NCT01051635,A Phase I Study of Indenoisoquinolines LMP400 and LMP776 in Adults with Relapsed Solid Tumors and Lymphomas,Inclusion,"Patients must have recovered to at least a grade =< 1 toxicity eligibility levels due to adverse events (AEs) and/or toxicity of prior chemotherapy or biologic therapy
* They must not have had chemotherapy or biologic therapy within 4 weeks (6 weeks for nitrosoureas and mitomycin C, or 2 months for UCN-01), or therapy with tyrosine kinase inhibitors within 5 times the half-life of the inhibitors prior to entering the study
* Patients must be >= 2 weeks since any prior administration of study drug in an exploratory Investigational New Drug (IND)/phase 0 study; patients must be >= 1 month since completion of any prior radiation (>= 2 weeks for palliative radiation therapy); however, patients receiving bisphosphonates for any cancer or undergoing androgen deprivation therapy for prostate cancer are eligible for this therapy
* Prior therapy with topoisomerase I inhibitors is allowed
Patients must have histologically documented (confirmed at the Laboratory of Pathology, National Cancer Institute [NCI]), relapsed solid tumor malignancy or Hodgkin's disease/non-Hodgkin lymphoma that is metastatic or unresectable for which standard curative measures do not exist, or are associated with minimal patient survival benefit ( THIS IS RELATED TO THE DISEASE, NOT PRIOR THERAPY)",C16171 = YES OR (C16124 = YES AND C15187 = YES)
NCI-2011-02539,NCT01226940,A Phase I Trial of Lenalidomide and Radiotherapy in Children with Diffuse Intrinsic Pontine Gliomas and High-Grade Gliomas,Exclusion/Inclusion,"EXCLUSION
Patients who have had prior chemotherapy for this tumor
INCLUSION
No prior chemotherapy or radiation therapy for HGG or DIPG is permitted; prior chemotherapy or radiation therapy for treatment of other malignancies is permitted","(C16171 = NO OR C16171 = YES AND C94764 = NO AND C4822= NO)) AND ((C15477= NO OR (C15477= YES AND C94764 = NO AND C4822= NO))
"
NCI-2011-02592,NCT01386385,"A Dose Finding Study Followed by Phase II Randomized, Placebo-Controlled Study of Veliparib (ABT-888) Added to Chemoradiotherapy with Carboplatin and Paclitaxel for Unresectable Stage III Non-small Cell Lung Cancer (NSCLC), (NCI Study Number 8811)",Inclusion,"Patients must not have a history of allergic reactions attributed to compounds of similar chemical or biologic composition to ABT-888, carboplatin, paclitaxel or other agents used in study
No other prior malignancy is allowed except for the following: adequately treated basal cell or squamous cell skin cancer, in situ cervical cancer, adequately treated stage I or II cancer from which the patient is currently in complete remission, or any other cancer from which the patient has been disease free for five years
Patients must not have received any prior systemic therapy (chemotherapy or other biologic therapy) for lung cancer
REGISTRATION #2 - PRIOR TO CONSOLIDATION CHEMOTHERAPY: Patients must have completed chemoradiotherapy per protocol and at least four weeks but no more than six weeks must have elapsed from the last day of induction therapy (the last day of radiation)
Patients must not have received prior chest radiation therapy for NSCLC",(C16171 = NO OR (C16171 = YES AND C12468 = NO)) AND (C16124 = YES AND C15187 = NO OR (C16124 = YES AND C15187 = YES AND C12468 = NO)) AND (C15477= NO OR (C15477= YES AND C25389 = YES AND C2926 = NO) OR (C15477= YES AND C25389 = NO AND C2926= NO))  
NCI-2011-02594,NCT01381718,"A Phase II Placebo-Controlled Trial of Modafinil to Improve
Neurocognitive Deficits in Children Treated for a Primary Brain Tumor",Exclusion,"Concurrent treatment with any medications or substances that are potent inhibitors or inducers of cytochrome P450 family 3, subfamily A, polypeptide 4 (CYP3A4), hepatic enzyme inducing antiepileptic drugs (EIAEDs), or other drugs known to affect the metabolism of modafinil; examples include, but are not limited to, itraconazole, ketoconazole, doxycycline, rifampin, St. John's wort, phenytoin, phenobarbital, diazepam, and tricyclic antidepressants
* If patients were previously taking EIAEDs, they must be off for > 2 weeks prior to study enrollment
Treatment with other stimulant medications within 14 days of registration; however, a diagnosis of attention-deficit hyperactivity disorder (ADHD) does NOT exclude a child from participation
History of grade 2 depression or anxiety or treatment with antidepressants, antipsychotics or monoamine oxidase inhibitor (MAO) inhibitors within 30 days of registration","NA 
"
NCI-2011-02599,NCT01190930,Treatment of Patients with Newly Diagnosed Standard Risk B-Lymphoblastic Leukemia (B-ALL) or Localized B-Lineage Lymphoblastic Lymphoma (B-LLy),Exclusion,"With the exception of steroid pretreatment (defined below) or the administration of intrathecal cytarabine, patients must not have received any prior cytotoxic chemotherapy for either the current diagnosis of B-ALL or B-LLy or for any cancer diagnosed prior to initiation of protocol therapy on AALL0932
* Patients receiving prior steroid therapy may be eligible for AALL0932",C16171 = NO OR (C16171 = YES AND C408 = YES AND C15750 = YES) 
NCI-2011-02611,NCT01231906,A Phase III Randomized Trial of Adding Vincristine-Topotecan-Cyclophosphamide to Standard Chemotherapy in Initial Treatment of Non-Metastatic Ewing Sarcoma,Inclusion,No prior chemotherapy or radiation therapy is allowed; patients should only have had a biopsy of the primary tumor without an attempt at complete or partial resection; patients will still be eligible if unplanned excision was attempted or accomplished as long as adequate imaging was obtained prior to surgery,C16171 = NO AND C15477= NO 
NCI-2011-02623,NCT01272037,"A Phase III, Randomized Clinical Trial of Standard Adjuvant Endocrine Therapy +/- Chemotherapy in Patients with 1-3 Positive Nodes, Hormone Receptor-Positive and HER2-Negative Breast Cancer with Recurrence Score (RS) of 25 or Less. RxPONDER: A Clinical Trial Rx for Positive Node, Endocrine Responsive Breast Cancer",Inclusion,"No other prior malignancy is allowed except for adequately treated basal cell (or squamous cell) skin cancer, in situ cervical cancer, or other cancer for which the patient has been disease-free for 5 years (THIS IS DISEASE)
Patients must not have received an aromatase inhibitor (AI) or a selective estrogen receptor modulator (SERM) such as tamoxifen or raloxifene within 5 years prior to registration
Patients must not have begun chemotherapy or endocrine therapy for their breast cancer prior to registration
Patients with a prior diagnosis of contralateral ductal carcinoma in situ (DCIS) are eligible if they underwent a mastectomy or lumpectomy with whole breast radiation; prior partial breast irradiation, including brachytherapy, is not allowed; patients with a prior diagnosis of ipsilateral DCIS or invasive breast cancer who received radiation to that breast are not eligible",(C16171 = NO OR (C16171 = YES AND PRIOR TREATMENT OF CURRENT CANCER = NO)) AND (C16175 = NO OR (C16175 = YES AND PRIOR TREATMENT OF CURRENT CANCER = NO)) AND (C16169 = NO OR C16169 = YES) AND ( C15477= NO OR C15477= YES)
