"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"14","the following medications are contraindicated or must be used with caution contraindicated cytochrome p450 family 2 subfamily c polypeptide 8 cyp2c8",1,"cyp3a4 inducers and",1,"of cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 inhibitors must discontinue the drug for 14 days prior to registration on the study for patients with nf2 mutation enrolled to gsk2256098 chronic concomitant treatment with strong cyp3a4 inducers is not allowed patients must discontinue the drug 14 days prior to the start of study treatment for patients with nf2 mutation enrolled to gsk2256098                                                                                                                                                                                                                                                                                                                         ",1
"16","ongoing or planned treatment with any of the following atorvastatin",1,"cyp1a2",1,"or inducers of cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 are ineligible strong inhibitors and inducers of ugt / pgp should be used with caution                                                                                                                                                                                                                                                                                                                                                            ",1
"20","inability to discontinue drugs that are",1,"inducers or strong",1,"or inducers of cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 are ineligible dihydropyridine calcium channel blockers are permitted for management of hypertension                                                                                                                                                                                                                                                                                                                                                               ",1
"26","vx 970 is primarily metabolized by cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 therefore concomitant administration with",1,"cyp3a4 and cyp2c19",1,"and / or inducers and substrates of cyp 3a4 / 5 or cyp1a2 that are sensitive or have a narrow therapeutic window at least three weeks prior to study registration                                                                                                                                                                                                                                                                                                                                         ",1
"31","receiving any medications or substances that are inducers or",1,"",NA,"or inducers of cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 should be avoided because the lists of these agents are constantly changing it is important to regularly consult a frequently updated medical reference for a list of drugs to avoid or minimize use of ongoing phenytoin should be either discontinued if clinically safe or transitioned to non enzyme inducing antiepileptics like levetiracetam with a 8 day washout period half life 18 22 hours time to steady state 4 8 days prior to first dose of vx 970 7 days prior to wbrt                                                                                                                                                                                                                                                                                              ",1
"32","receiving any medications or substances that are",1,"",NA,"or inducers of cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 should be avoided it is important to regularly consult a frequently updated medical reference for a list of drugs to avoid or minimize use of patients receiving any medications or substances that are inhibitors or inducers of cytochrome p450 3a cyp3a4 enzyme are ineligible as part of the enrollment / informed consent procedures the patient will be counseled on the risk of interactions with other agents and what to do if new medications need to be prescribed or if the patient is considering a new over the counter medicine or herbal product                                                                                                                                                                                                                                                                                    ",1
"33","participants must discontinue use of the following agents within 7 days prior to therapy",1,"",NA,"of cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 inhibitors must discontinue the drug for 14 days prior to registration on the study                                                                                                                                                                                                                                                                                                                                                                   ",1
"36","no",1,"",NA,"or inducers of cyp3a4 should be avoided                                                                                                                                                                                                                                                                                                                                                                     ",1
"37","re registration eligibility criteria step 2 no",1,"",NA,"of cytochrome p450 family 3 subfamily a polypeptide 4 gene cyp3a4 is not allowed on this study patients on strong cyp3a4 inhibitors must discontinue the drug for 14 days prior to registration on the study                                                                                                                                                                                                                                                                                                                                                        ",1
"38","the following medications or non drug therapies are also prohibited while on treatment in this study other anti cancer therapies other investigational drugs patients taking any medications or substances that are",1,"",NA,"or inducers of cytochrome p450 family 1 subfamily a polypeptide 2 cyp1a2 cyp1a3 cytochrome p450 family 2 subfamily c polypeptide 9 cyp2c9 cyp2c19 cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 udp glycosyltransferase 1 family polypeptide a1 ugt1a1 p glycoprotein or breakpoint cluster region pseudogene bcrp are ineligible as part of the enrollment / informed consent procedures the patient will be counseled on the risk of interactions with other agents and what to do if new medications need to be prescribed or if the patient is considering a new over the counter medicine or herbal product                                                                                                                                                                                                                                                                                      ",1
"40","patients should not require chronic use of",1,"",NA,"or inducers of cytochrome p450 family 3 subfamily a cyp3a or cytochrome p450 family 2 subfamily c polypeptide 8 cyp2c8 are ineligible current use of or intended ongoing treatment with herbal remedies e . g . st . johnï s wort or strong inhibitors or inducers of p glycoprotein pgp or breast cancer resistance protein 1 bcrp1 should also be excluded it is important to regularly consult a frequently updated list of these agents as part of the enrollment / informed consent procedures the patient will be counseled on the risk of interactions with other agents and what to do if new medications need to be prescribed or if the patient is considering a new over the counter medicine or herbal product prohibited strong inducers of cyp3a or cyp2c8 antibiotics rifamycin class agents e . g . rifampin rifabutin rifapentine anticonvulsant carbamazepine oxcarbazepine phenobarbital phenytoin s mephenytoin miscellaneous bosentan st . johnï s wort prohibited strong inhibitors of cyp3a or cyp2c8 antibiotics clarithromycin telithromycin troleandomycin antidepressant nefazodone antifungals itraconazole ketoconazole posaconazole voriconazole hyperlipidemia gemfibrozil antiretroviral ritonavir saquinavir atazanavir miscellaneous conivaptan                                                                                                                                                                                             ",1
"41","the use of cyp2c8 and cyp3a4 inhibitors / inducers while not prohibited in this study is discouraged whenever feasible concurrent use of",1,"",NA,"or inducers of cyp3a or cyp2c8 are ineligible current use of or intended ongoing treatment with herbal remedies e . g . st . johnï s wort or strong inhibitors or inducers of permeability glycoprotein pgp or breast cancer resistance protein 1 bcrp1 should also be excluded below are a few examples of the agents strong inducers of cyp3a or cyp2c8 antibiotics rifamycin class agents e . g . rifampin rifabutin rifapentine anticonvulsants carbamazepine oxcarbazepine phenobarbital phenytoin s mephenytoin miscellaneous bosentan st . john s wort strong inhibitors of cyp3a or cyp2c8 antibiotics clarithromycin telithromycin troleandomycin antidepressants nefazodone antifungals itraconazole ketoconazole posaconazole voriconazole hyperlipidemia gemfibrozil antiretroviral ritonavir saquinavir atazanavir miscellaneous conivaptan                                                                                                                                                                                                                                                                        ",1
"42","patients receiving any medications or substances that are inhibitors or inducers of nonsteroidal anti inflammatory drugs nsaids probenecid salicylates sulfonamides are ineligible concomitant drugs that are sensitive cyp450 substrates or",1,"",NA,"of cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 = < 7 days prior to registration use of cyp3a4 inducers are prohibited = < 7 days prior to registration use of cyp3a4 strong or moderate inhibitors are prohibited = < 7 days prior to registration                                                                                                                                                                                                                                                                                                                                      ",1
"48","patients who need chronic use of medications or substances that are",1,"",NA,"of cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 use of the following strong or moderate inhibitors are prohibited = < 7 days prior to registration strong inhibitors of cyp3a4 > = 5 fold increase in the plasma area under the curve auc values or more than 80 decrease in clearance indinavir crixivan nelfinavir viracept atazanavir reyataz ritonavir norvir clarithromycin biaxin biaxin xl itraconazole sporanox ketoconazole nizoral nefazodone serzone saquinavir fortovase invirase telithromycin ketek moderate inhibitors of cyp3a4 > = 2 fold increase in the plasma auc values or 50 80 decrease in clearance aprepitant emend erythromycin erythrocin e . e . s . ery tab eryc eryped pce fluconazole diflucan grapefruit juice verapamil calan calan sr covera hs isoptin sr verelan verelan pm diltiazem cardizem cardizem cd cardizem la cardizem sr cartia xt dilacor xr diltia xt taztia xt tiazac                                                                                                                                                                                                                                        ",1
"49","participants receiving any medications or substances that have antiviral activity against kshv or that are",1,"",NA,"that treat hiv other strong cyp3a inhibitors moderate cyp3a4 inhibitors should be used with caution but are not excluded if 2 moderate cyp3a4 inhibitors are used concurrently one must be discontinued at least 7 days 1 week prior to the initiation of chemotherapy p glycoprotein inhibitors if patients are taking any of these excluded medications they must be discontinued at least 7 days 1 week prior to the initiation of chemotherapyall concomitant medications must be reviewed by the study chair or co chair prior to enrollment by email because the lists of these agents are constantly changing it is important to regularly consult a frequently updated medical reference for a list of drugs to avoid or minimize use of                                                                                                                                                                                                                                                         ",1
"55","patients receiving any medications or substances that are potent inhibitors or inducers of cyp3a4 are ineligible the required washout period for",1,"",NA,"are not permitted within 7 days before and during the study and strong cyp3a4 inducers are not permitted within 12 days before and during the study every effort should be made to switch patients taking such agents or substances to other medications 1 week prior to starting therapy particularly patients with brain metastases who are taking enzyme inducing anticonvulsant agents patients who require potent cyp3a4 inducers or inhibitors and cannot switch medications must have their case reviewed by the coordinating center pi and may be enrolled only after discussion with and agreement from the coordinating center pi eligibility of patients receiving any medications or substances known to affect or with the potential to affect the activity or pharmacokinetics pk of cediranib will be determined following review of their case by the coordinating center pi                                                                                                                                                                                                                                                        ",1
"58","patients on drugs that are",1,"",NA,"and / or inducers of cyp3a4 sensitive cyp3a4 substrates and cyp3a4 substrates with a narrow therapeutic range are not eligible the use of aprepitant or fosaprepitant as an antiemetic is prohibited due to early drug interaction data demonstrating increased exposure to azd1775 the use of hydroxymethylglutary hmg coenzyme a co a inhibitors such as atorvastatin is prohibited                                                                                                                                                                                                                                                                                                                            ",1
"59","patients who are currently receiving drugs that are moderate to",1,"",NA,"of cyp3a4 or cyp1a2 within 14 days prior to registration note ixazomib is a substrate of cyp3a4 and cyp1a2                                                                                                                                                                                                                                                                                                                                                                 ",1
"62","current use of",1,"",NA,"of cyp3a4 or cyp1a2 note ixazomib is a substrate of cyp3a4 and cyp1a2                                                                                                                                                                                                                                                                                                                                                                 ",1
"64","treatment with",1,"",NA,"or inducers of cyp3a or cyp2c8 are ineligible                                                                                                                                                                                                                                                                                                                                                        ",1
"65","no treatment with",1,"",NA,"or inducers of cyp3a4 are ineligible strong inhibitors and inducers of ugt / pgp should be used with caution                                                                                                                                                                                                                                                                                                                                                                    ",1
"13","",NA,"",NA,"or strong cyp3a inducers                                                                                                                                                                                                                                                                                                                                                                                   ",1
"17","",NA,"",NA,"/ inducers should be documented and the principal investigator pi of the study shall be notified prior to dosing as part of the enrollment / informed consent procedures the patients will be counseled on the risk of interactions with other agents and what to do if new medications need to be prescribed or if the patient is considering a new over the counter medicine or herbal product                                                                                                                                                                                                                                                                                                   ",1
"19","",NA,"",NA,"should be avoided as part of the enrollment / informed consent procedures the patient will be counseled on the risk of interactions with other agents and what to do if new medications need to be prescribed or if the patient is considering a new over the counter medicine or herbal product                                                                                                                                                                                                                                                                                                         ",1
"22","",NA,"",NA,"should be avoided selection of alternate concomitant medications with no or minimal cyp3a4 enzyme inhibition potential is recommended as part of the enrollment / informed consent procedures the patient will be counseled on the risk of interactions with other agents and what to do if new medications need to be prescribed or if the patient is considering a new over the counter medicine or herbal product                                                                                                                                                                                                                                                                                                                          ",1
"24","",NA,"",NA,"e . g . boceprevir cobicistat danoprevir elvitegravir / rit fluvoxamine indinavir itraconazole ketoconazole lopinavir / rit nefazodone nelfinavir posaconazole ritonavir telaprevir telithromycin tipravavir / rit or voriconazole strong cyp3a4 inducers e . g . avasimibe phenytoin rifampin rifabutin potent inhibitors of cyp1a2 e . g . ciprofloxacin and / or drugs known to be cyp3a4 substrates with a narrow therapeutic range e . g . diergotamine ergotamine within 14 days prior to randomization moderate inhibitors or inducers of isoenzyme cyp3a4 should be avoided but if necessary can be used with caution                                                                                                                                                                                                                                                                                     ",1
"25","",NA,"",NA,"or inducers of cyp3a4 should be avoided medications that enhance glucuronidation i . e . phenytoin phenobarbital carbamazepine rifampin etc . should be avoided it is important to regularly consult a frequently updated medical reference for a list of drugs to avoid or minimize use of as part of the enrollment / informed consent procedures the patient will be counseled on the risk of interactions with other agents and what to do if new medications need to be prescribed or if the patient is considering a new over the counter medicine or herbal product                                                                                                                                                                                                                                                                                              ",1
"27","",NA,"",NA,"or inducers of cyp3a4 are ineligible                                                                                                                                                                                                                                                                                                                                                                              ",1
"28","",NA,"",NA,"or inducers of cytochrome p450 family 3 subfamily a cyp3a or cytochrome p450 family 2 subfamily c polypeptide 19 2c19 are ineligible each art regimen must be reviewed by the pi before determining eligibility to receive nelfinavir mesylate nfv sensitive substrates should be avoided of the antiretroviral drugs only delaviridine nevirapine cobicistat boosted antiretrovirals strong cyp3a4 inhibitor maraviroc sensitive cyp3a4 substrate and pis strong cyp3a4 inhibitor are excluded the following drugs are also prohibited strong inhibitors of cyp3a4 antibiotics clarithromycin erythromycin telithromycin troleandomycin hiv non nucleoside reverse transcriptase inhibitors delaviridine nevirapine protease inhibitors ritonavir indinavir lopinavir / ritonavir saquinavir cobicistat boosted antiretrovirals e . g . elvitegravir note clinical trials have demonstrated that there are no clinically significant drug drug interactions between nelfinavir and the following antiretrovirals efavirenz strong cyp3a4 inhibitor etravirine strong cyp3a4 inhibitor therefore these antiretrovirals will not be excluded antifungals itraconzaole ketoconazole voriconazole fluconazole posaconazole antidepressants nefazodone antidiuretic conivaptan gi cimetidine aprepitant hcv boceprevir telaprevir miscellaneous seville oranges grapefruit or grapefruit juice and / or pummelos star fruit exotic citrus fruits or grapefruit hybridsstrong inducers of cyp3a4 glucocorticoids cortisone > = 50 mg hydrocortisone > = 40 mg prednisone > = 10 mg methylprednisolone > = 8 mg dexamethasone > = 1 . 5 mg anticonvulsants phenytoin carbamazepine primidone phenobarbital and other enzyme inducing anti convulsant drugs eiacd antibiotics rifampin rifampicin rifabutin rifapentine miscellaneous st . johnï s wort modafinilstrong inhibitors of cyp2c9 antifungals fluconazole lists including medications and substances known or with the potential to interact with the cyp3a or 2c19drugs with kshv antiviral activity participants receiving any medications or substances that may interfere with kshv replication are ineligiblebecause the lists of these agents are constantly changing it is important to regularly consult a frequently updated list medical reference texts such as the physiciansï desk reference may also provide this information as part of the enrollment / informed consent procedures the participant will be counseled on the risk of interactions with other agents and what to do if new medications need to be prescribed or if the participant is considering a new over the counter medicine or herbal product lists include medications and substances known or with the potential to interfere with kshv replication",1
"29","",NA,"",NA,"and inducers concomitant use of strong inhibitors of cyp3a4 e . g . ketoconazole itraconazole clarithromycin ritonavir indinavir nelfinavir and saquinavir and inducers of cyp3a4 e . g . rifampin phenytoin carbamazepine phenobarbital st . john s wort are not permitted within two weeks prior to start of study treatment and for the duration of treatment with copanlisib                                                                                                                                                                                                                                                                                                                                    ",1
"30","",NA,"",NA,"patients must not have received strong cyp1a2 inhibitors ciprofloxacin fluvoxamine zafirlukast for at least 7 days prior to enrollment and must not receive them for the duration of the study                                                                                                                                                                                                                                                                                                                                                                ",1
"34","",NA,"",NA,"or inducers of hepatic microsomal isoenzymes                                                                                                                                                                                                                                                                                                                                                                                         ",1
"35","",NA,"",NA,"eg . itraconazole telithromycin clarithromycin protease inhibitors boosted with ritonavir or cobicistat indinavir saquinavir nelfinavir boceprevir telaprevir or moderate cyp3a inhibitors eg . ciprofloxacin erythromycin diltiazem fluconazole verapamil the required washout period prior to starting olaparib is 2 weeks as part of the enrollment / informed consent procedures the patient will be counseled on the risk of interactions with other agents and what to do if new medications need to be prescribed or if the patient is considering a new over the counter medicine or herbal product                                                                                                                                                                                                                                                                                                   ",1
"39","",NA,"",NA,"eg . itraconazole telithromycin clarithromycin protease inhibitors boosted with ritonavir or cobicistat indinavir saquinavir nelfinavir boceprevir telaprevir moderate cyp3a inhibitors eg . ciprofloxacin erythromycin diltiazem fluconazole verapamil strong cyp3a inducers eg . phenobarbital enzalutamide phenytoin rifampicin rifabutin rifapentine carbamazepine nevirapine and st johnï s wort or moderate cyp3a inducers eg . bosentan efavirenz modafinil a minimum washout period of 2 weeks prior to cycle 1 day 1 is required for strong inhibitors and at least one week for moderate inhibitors a minimum washout period of 4 weeks prior to cycle 1 day 1 is required for cyp3a inducers a minimum washout period of 5 weeks prior to cycle 1 day 1 is required for enzalutamide or phenobarbital dihydropyridine calcium channel blockers are permitted for management of hypertension                                                                                                                                                                                                                                                           ",1
"43","",NA,"",NA,"is 2 weeks and at least one week for moderate inhibitors the required washout period prior to starting olaparib is 5 weeks for enzalutamide or phenobarbital and 4 weeks for other agents                                                                                                                                                                                                                                                                                                                                          ",1
"44","",NA,"",NA,"or inducers of cyp3a4 or moderate inhibitors of cyp3a4 are ineligible the study team should check a frequently updated medical reference for a list of drugs to avoid or minimize use of as part of the enrollment / informed consent procedures the patient will be counseled on the risk of interactions with other agents and what to do if new medications need to be prescribed or if the patient is considering a new over the counter medicine or herbal product                                                                                                                                                                                                                                                                                                       ",1
"45","",NA,"",NA,"or inducers of cyp3a4 or moderate inhibitors of cyp3a4 are ineligible the study team should check a frequently updated medical reference for a list of drugs to avoid or minimize use of as part of the enrollment / informed consent procedures the patient will be counseled on the risk of interactions with other agents and what to do if new medications need to be prescribed or if the patient is considering a new over the counter medicine or herbal product dihydropyridine calcium channel blockers are permitted for management of hypertension patient drug information handout and wallet card should be provided to patients                                                                                                                                                                                                                                                                                 ",1
"46","",NA,"",NA,"and / or inducers of cyp2c9 cyp2c19 or cyp3a4 including enzyme inducing anti epileptic drugs eiaeds are not eligible for treatment under this protocol patients taking non eiaeds are permitted to take part in the study patients previously treated with any of the prohibited concomitant medications listed above may be enrolled if they have been off of the medication for > = 10 days prior to the first dose of bal101553                                                                                                                                                                                                                                                                                                                   ",1
"47","",NA,"",NA,"of cyp3a4 are not eligible moderate to strong inducers or inhibitors of cyp3a4 should be avoided from 14 days prior to enrollment to the end of the study note cyp3a4 inducing anti epileptic drugs and dexamethasone for cns tumors or metastases on a stable dose are allowed                                                                                                                                                                                                                                                                                                                                    ",1
"50","",NA,"",NA,"of cyp3a4 are not eligible note dexamethasone for cns tumors or metastases on a stable dose is allowed                                                                                                                                                                                                                                                                                                                                                                  ",1
"51","",NA,"",NA,"and / or inducers should be considered with caution alternative treatments that are less likely to affect mln0128 tak 228 metabolism if available should be considered if a subject requires treatment with 1 or more of the strong cyp3a4 and cyp2c19 inhibitors and / or inducers the study doctor should be consulted                                                                                                                                                                                                                                                                                                                                      ",1
"52","",NA,"",NA,"such as ketoconazole itraconazole voriconazole posaconazole nefazodone and clarithromycin are prohibited note moderate inhibitors of cyp3a4 should be used with caution navitoclax is a moderate inhibitor of cyp2c8 and a strong inhibitor of cyp2c9 caution should be exercised when dosing navitoclax concurrently with cyp2c8 and cyp2c9 substrates common cyp2c8 substrates include paclitaxel statins and repaglinide cyp2c9 substrates include celecoxib phenytoin and warfarin when possible investigators should switch to alternative medications or monitor the patients closely                                                                                                                                                                                                                                                                                                                ",1
"54","",NA,"",NA,"and / or inducers of cytochrome p450 cyp 3a4 cyp2c19 or cyp2c9 within 1 week preceding the first dose of mln0128 tak 228 if a subject requires treatment with strong inhibitors and / or inducers of cyp3a4 cyp2c19 and / or cyp2c9 alternative treatment must be considered if no alternative is available one such medication may be allowed after discussing with the study principle investigator                                                                                                                                                                                                                                                                                                                            ",1
"56","",NA,"",NA,"and / or inducers of cytochrome p450 cyp 3a4 cyp2c19 or cyp2c19 within 1 week preceding the first dose of study drug                                                                                                                                                                                                                                                                                                                                                                       ",1
"57","",NA,"",NA,"and / or inducers of cytochrome p450 cyp 3a4 or cyp2c19 within 1 week preceding the first dose of study drug                                                                                                                                                                                                                                                                                                                                                                       ",1
