"","Blank 1","Frequency","Blank 2","Frequency"
"66","patients must not have radiotherapy or major",1,"or radiation therapy                                                                                                                                                                                              ",1
"67","patients who have had major",1,"by 8 weeks as per surgeonï s discretion                                                                                                                                                                                           ",1
"68","step 1 registration must occur within 180 days of the initial",1,"or planning to undergo this procedure within the next 2 years after study registration                                                                                                                                                                                      ",1
"70","patients who have had or are planning to have the following invasive procedures are not eligible major surgical procedure laparoscopic procedure open biopsy or significant traumatic injury within 28 days prior to enrollment central line placement or subcutaneous port placement is not considered major",1,"within 28 days prior to registration patients must have recovered from any adverse effects of prior surgery to the satisfaction of the treating physician biopsies and central iv access placement are not considered major surgery                                                                                                                                                        ",1
"71","major surgical procedure within 28 days prior to cycle 1 day 1 and patients must have recovered from any effects of any major",1,"day 0 note patients must begin treatment within 36 days of definitive surgery                                                                                                                                                                     ",1
"72","patients who have had or are planning to have the following invasive procedures are not eligible major surgical procedure laparoscopic procedure or open biopsy within 28 days prior to enrollment central line placement or subcutaneous port placement is not considered major",1,"due to known medical comorbidities                                                                                                                                                                                          ",1
"73","major surgical procedure within 28 days prior to cycle 1 day 1 or anticipation of need for a major surgical procedure during the course of the study with the exception of the planned breast cancer",1,"within 4 weeks before randomization                                                                                                                                                                                                 ",1
"74","patients who have had or are planning to have the following invasive procedures are not eligible major surgical procedure laparoscopic procedure open biopsy or significant traumatic injury within 28 days prior to enrollment subcutaneous port placement or central line placement is not considered major",1,"radiotherapy or chemotherapy at least 4 weeks must have elapsed since the patient underwent any major surgery e . g . major laparotomy laparoscopy there is no delay required for minor procedures e . g . tumor fine needle aspiration fna or core biopsy venous access device placement                                                                                                                                               ",1
"3","",NA,"to = < grade 1 at least 14 days prior to registration                                                                                                                                                                                ",1
"4","",NA,"of isolated lesions for palliative intent is acceptable                                                                                                                                                                           ",1
"6","",NA,"or active drug therapy for pnet ssa permitted within 4 weeks prior to study treatment start                                                                                                                                                                                ",1
"7","",NA,"or trauma within 28 days prior to entering the study patients must have recovered from any effects of any major surgery and surgical wound should have healed prior to starting treatment                                                                                                                                                                   ",1
"11","",NA,"within this 180 day interval a second surgery is permitted in order to achieve gtr but even with a second surgery step 1 registration must occur within 180 days of the initial resection                                                                                                                                                           ",1
"12","",NA,"must not have occurred within 2 weeks prior to enrollment and patients must have recovered from any effects of any major surgery                                                                                                                                                                                ",1
"14","",NA,"external central lines must be placed at least 3 days prior to enrollment and subcutaneous ports must be placed at least 7 days prior to enrollment core biopsy within 7 days prior to enrollment fine needle aspirate within 7 days prior to enrollment surgical or other wounds must be adequately healed prior to enrollment note for purposes of this study bone marrow aspirate and biopsy are not considered surgical procedures and therefore are permitted within 14 days prior to start of protocol therapy                                                                        ",1
"15","",NA,"anticipation of need for a major surgical procedure during the course of the study                                                                                                                                                                  ",1
"16","",NA,"but must be placed at least 3 days prior to enrollment for external lines e . g . hickman or broviac catheter peripherally inserted central catheter picc and at least 7 days prior to enrollment for a subcutaneous port core biopsy within 7 days prior to enrollment fine needle aspirate within 7 days prior to enrollment surgical or other wounds must be adequately healed prior to enrollment note for purposes of this study bone marrow aspirate and biopsy are not considered surgical procedures and therefore are permitted within 14 days prior to start of protocol therapy                                                              ",1
"17","",NA,"that is part of the trial design                                                                                                                                                             ",1
"22","",NA,"external central lines must be placed at least 3 days prior to enrollment and subcutaneous ports must be placed at least 7 days prior to enrollment core biopsy within 7 days prior to enrollment fine needle aspirate within 7 days prior to enrollment note for purposes of this study bone marrow aspirate and biopsy are not considered surgical procedures and therefore are permitted within 14 days prior to start of protocol therapy                                                                                   ",1
