"","Blank 1","Frequency","Blank 2","Frequency"
"26","mcl patients must have disease that has relapsed and or is refractory to prior therapy which must have included a multiagent chemotherapy regimen and prior ibrutinib or other btk inhibitor therapy patients must have relapsed following or be ineligible for or refuse autologous stem cell",1,"patients who have received allogeneic hematopoietic stem cell transplant are eligible if the transplant occurred at least 90 days prior to registration patient has no prior acute graft versus host disease gvhd and within 48 hours of registration patient demonstrates at least 90 engraftment defined as anc anc > = 500 mcL measured over 3 consecutive days or 1 day with an anc > = 1 000 mcL or Platelets > = 50 000 mcL measured wherein the patient did not receive any Platelets transfusions within 7 days prior to laboratory assessment",1
"27","bcl6 dlbcl patients must have disease that has relapsed and or is refractory to prior therapy which must have included an anthracycline if not contraindicated patients must have relapsed following or be ineligible for or refuse autologous stem cell",1,"related immunosuppression for at least 2 weeks                                                ",1
"28","aids related non hodgkin lymphoma and other non hodgkin lymphoma failed standard first line therapy and failed autologous stem cell",1,"including cardiac renal liver and pulmonary requirements                                                                                          ",1
"30","patients are not eligible if they have had or are planned for solid organ",1,"or any stem cell infusion including donor lymphocyte infusion dli or boost infusion > = 84 days after infusion and no evidence of graft versus host disease gvhd autologous stem cell infusion including boost infusion > = 42 days                                                 ",1
"31","must not have received any prior stem cell",1,"and have no evidence of active graft versus host disease and are off systemic immunosuppressant medications for at least 2 months and have received hypomethylating agents hma therapy before or after transplant and meet other eligibility criteria of progression after at least 4 months of dnmti therapy are eligible to be enrolled in this clinical trial                                          ",1
"32","no evidence of active graft versus vs . host disease and > = 2 months must have elapsed since",1,"that requires use of immunosuppressives                                                                                             ",1
"33","patients with a history of allogeneic hematopoietic stem cell transplantation hsct will be eligible if they are more than 90 days removed from the date of stem cell infusion have no evidence of acute graft versus host disease gvhd or active chronic grade 2 4 gvhd and are off of all",1,"patients who are receiving cyclosporine tacrolimus or other agents to prevent graft versus host disease post bone marrow transplant are not eligible for this trial                                                                             ",1
"34","donor lymphocyte infusion within 8 weeks prior to treatment start if post",1,"or organ rejection post transplant are not eligible for this trial                                                                            ",1
"35","patients must meet institutional eligibility requirements for stem cell",1,"patients who are receiving cyclosporine tacrolimus or other agents to prevent either graft versus host disease post bone marrow transplant or organ rejection post transplant are not eligible for this trial at least 3 half lives must have elapsed after the last dose of gvhd medications meds                                                  ",1
"36","stem cell infusions with or without total body irradiation tbi allogeneic non autologous bone marrow or stem cell",1,"",NA
"37","patients who relapsed 6 months after bone marrow",1,"",NA
"38","patients must not have any history of organ",1,"",NA
"43","anti gvhd agents post",1,"",NA
"45","patients who are receiving cyclosporine tacrolimus or other agents to prevent either graft versus host disease post bone marrow",1,"",NA
"47","anti gvhd or agents to prevent organ rejection post",1,"",NA
