"","Blank 1","Frequency","Blank 2","Frequency"
"58","no prior malignancy of any type including ductal breast",1,"mucosal melanoma etc .                                                                                                                                         ",1
"59","patients must have recurrent or persistent endometrial cancer endometrioid adenocarcinoma serous adenocarcinoma undifferentiated",1,"in situ dcis within the past 5 years except for current diagnosis of breast cancer and any prior diagnosis of basal or squamous cell carcinoma of the skin or carcinoma in situ of the cervix patients with a prior history of breast cancer greater than 5 years from study screening may participate in this study                                                                                           ",1
"60","patients must have histologically proven ta",1,"mixed epithelial carcinoma or adenocarcinoma not otherwise specified nos histologic confirmation of the primary tumor is required                                                                                                                             ",1
"61","patients must not have pure squamous cell",1,"in situ cis or t1 stage urothelial cell carcinoma of the bladder within 90 days prior to registration                                                                                                                                   ",1
"62","patients with mixed urothelial",1,"or adenocarcinoma                                                                                                                                                  ",1
"63","upper age limit of = < 18 years of age for medullary thyroid",1,"and a glandular and / or squamous component will be eligible for the trial but the presence of other histologic variants pure adenocarcinoma or pure squamous cell carcinoma will make a patient ineligible                                                                                                                      ",1
"64","patients with a known concurrent malignancy that is progressing or requires active treatment exceptions include basal cell",1,"mtc renal cell carcinoma rcc and hepatocellular carcinoma hcc                                                                                                                                     ",1
"65","patients with a previous history of non breast malignancy are eligible only if they meet the following criteria for a cancer survivor 1 and 2 has undergone potentially curative therapy for all prior malignancies has been considered disease free for at least 1 year with the exception of basal cell or squamous cell",1,"of the skin or squamous cell carcinoma of the skin that has undergone potentially curative therapy or carcinoma in situ of the cervix                                                                                                                   ",1
"66","no concurrent active malignancies are allowed on study for > = 2 years prior to treatment start with the exception of currently treated basal cell or squamous cell",1,"of the skin or carcinoma in situ of the cervix                                                                                            ",1
"67","patients with concomitant or prior invasive malignancies within the past 5 years subjects with limited stage basal cell or squamous cell",1,"of the skin or carcinoma in situ of the cervix or breast                                                                                                                   ",1
"68","patients must not have poorly differentiated neuroendocrine",1,"of the skin carcinoma in situ of the breast or non muscle invasive bladder cancer are eligible as long as they received curative intent therapy                                                                                                             ",1
"69","patients with a history of acute myeloid leukemia aml or patients with a history of any other primary malignancy within 3 years prior to initiation of treatment on this study exceptions include patients with a history of malignancies other than aml that were treated curatively and have not recurred within 3 years prior to study entry resected basal and squamous cell carcinomas of the skin and completely resected",1,"high grade neuroendocrine carcinoma adenocarcinoid goblet cell carcinoid and small cell carcinoma                                                                                                                                        ",1
"70","patient must be disease free > = 3 years of prior malignancies with the exception of adequately treated non melanoma skin cancer adequately treated in situ",1,"in situ of any type                                                                                  ",1
"71","patient must have recurrent persistent or metastatic cervical cancer including squamous cell adenocarcinoma and adenosquamous histologies mesonephric",1,"low grade prostate carcinoma gleason grade = < 6 managed with observation that has been stable for at least 6 months                                                                                                            ",1
"72","malignancies other than the cervical cancer within 5 years prior to cycle 1 day 1 with the exception of those with a negligible risk of metastasis or death such as adequately controlled basal cell",1,"minimal deviation / adenoma malignum clear cell carcinoma and gastric type are excluded                                                                                                                             ",1
"73","histologically proven squamous cell",1,"or squamous cell carcinoma of the skin or carcinoma in situ of the breast                                                                                                           ",1
"74","squamous",1,"of the penis                                                                                                                                                    ",1
"75","concurrent malignancy other than squamous cell",1,"of the urethra                                                                                                                                                       ",1
"76","concurrent active malignancies in addition to that being studied other than cutaneous squamous cell",1,"scc or basal cell carcinoma of non penile skin that has required surgical or non surgical treatment in the last 3 years                                                                                                                               ",1
"77","participants with any concomitant or prior invasive malignancies are ineligible with the following exceptions treated limited stage basal cell or squamous cell",1,"or basal cell carcinoma                                                                                                                                         ",1
"78","included tumor types t cell and nk cell lymphomas including but not limited to cutaneous t cell lymphomas ctcl mycosis fungoides mf sezary syndrome ss peripheral t cell lymphoma ptcl alk positive and alk negative anaplastic large cell lymphoma alcl and nk cell lymphomas merkel cell",1,"of the skin carcinoma in situ of the breast or cervix prior cancer treated with curative intent with no evidence of recurrent disease 3 years following diagnosis and judged by the investigator to be at low risk of recurrence                                                                                              ",1
"79","patients with invasive lobular",1,"squamous cell carcinoma of the skin including keratoacanthomas vulvar squamous carcinoma and mixed histology tumors such as basosquamous carcinoma and squamous cell carcinoma of unknown primary consistent with skin origin other non melanoma skin cancers basal cell carcinoma malignant sweat gland tumors including porocarcinoma hidradenocarcinoma spiradenocarcinoma cylindrocarcinoma microcystic adnexal carcinoma and related entities squamoid eccrine ductal carcinoma cutaneous adenoid cystic carcinoma digital papillary adenocarcinoma primary cutaneous mucinous carcinoma endocrine mucin producing sweat gland carcinoma primary cutaneous signet ring cell carcinoma cutaneous apocrine gland carcinoma and extraocular sebaceous carcinoma adnexal carcinoma trichilemmal carcinoma extramammary pagetï s disease any other rare tumor of the skin with approval of principle investigator pi",1
"82","patients with known active cutaneous squamous cell",1,"of the skin or carcinoma in situ of the cervix breast or bladder patients with prior malignancies must be disease free for > = 5 years                                                                                                                    ",1
"83","phase ii only no other prior malignancies are allowed except for the following adequately managed stage 0",1,"includes keratoacanthoma or mixed keratoacanthoma subtype are not eligible patients who have fully excised lesions with dermatologic confirmation of absence of disease are eligible                                                                                                                            ",1
"8","",NA,"in situ i or ii basal cell or squamous cell carcinoma from which the patient is currently in complete remission any other cancer from which the patient has been disease free for three years adequately managed stage i or ii well differentiated thyroid or prostate cancer is also eligible wherein the patient is not required to be in complete remission                                                                              ",1
