"","Blank 1","Frequency","Blank 2","Frequency"
"22","patients on anticoagulant therapy with unstable dose of warfarin and / or having an out of therapeutic range",1,"is < 1 . 5 x mcLn or an in range inr usually between 2 and 3 if a patient is on a stable dose of therapeutic warfarin                                                                                                                                  ",1
"23","concurrent use of anti coagulants warfarin etc . other than low molecular weight heparin lmwh medication must be stopped before time of registration if patient has recently been on anti coagulants other than lmwh patient must have",1,"and partial thromboplastin time ptt = < 1 . 5 times institutional upper limit of normal                                                                                                                                               ",1
"24","patients on low molecular weight heparin or coumadin with a stable",1,"= < 1 . 5 x mcLn patients receiving anti coagulation therapy are permitted as long as they have a stable inr = < 3 . 0                                                                                                                                        ",1
"27","eligibility criteria for randomization step 1",1,"were observed in patients receiving vorinostat concomitantly with coumarin derivative anticoagulants                                                                                                                      ",1
"32","prothrombin time or",1,"> = 1 . 5                                                                                                                                                              ",1
"47","within 28 days prior to administration of study treatment coagulation parameters",1,"or partial thromboplastin time ptt test > = 1 . 3 x the laboratory mcLn = < 7 days before the first dose of study treatment                                                                                                                                  ",1
"55","patients must have prothrombin time pt /",1,"and partial thromboplastin time ptt = < 1 . 3 x institutional mcLn subjects receiving anticoagulation treatment may be allowed to participate with pt / inr / ptt established within the therapeutic range prior to randomization subjects will be eligible if it is determined by a hematologist that the cause is not associated with clinical bleeding e . g . deficiency of factor xii within 2 weeks of the first dose of study treatment                                                                                     ",1
"5","",NA,"and partial thromboplastin time ptt < 1 . 3 x upper limit of normal uln                                                                                                                                                ",1
"6","",NA,"= < 1 . 5 x institutional mcLn                                                                                                                                                           ",1
"8","",NA,"and partial thromboplastin time ptt = < 1 . 2 x institutional mcLn                                                                                                                                                  ",1
"12","",NA,"< 1 . 3 x mcLn                                                                                                                                                             ",1
"13","",NA,"= < 1 . 5 upper limit of normal uln                                                                                                                                                 ",1
"14","",NA,"= < 1 . 4                                                                                                                                                              ",1
"15","",NA,"> = 3 within the 4 weeks prior to drug administration                                                                                                                                      ",1
"16","",NA,"are eligible                                                                                                                                                      ",1
"17","",NA,"= < 1 . 5 and partial thromboplastin time ptt within 1 . 1 x mcLn or psychiatric illness / social situations that would limit compliance with study requirements interfere with subjectï s safety or obtaining informed consent therapeutic level dosing of warfarin can be used with close monitoring of prothrombin time pt / inr by the site exposure may be decreased due to enzyme induction when on treatment thus warfarin dosing may need to be adjusted based upon pt / inr consequently when discontinuing dabrafenib warfarin exposure may be increased and thus close monitoring via pt / inr and warfarin dose adjustments must be made as clinically appropriate prophylactic low dose warfarin may be given to maintain central catheter patency",1
"18","",NA,"= < 3 to be done / tested only for subjects on warfarin                                                                                                                                                ",1
"20","",NA,"or partial thromboplastin time ptt test > = 1 . 5 x the laboratory mcLn within 7 days before the first dose of study treatment                                                                                                                                   ",1
"21","",NA,"= < 1 . 5 and partial thromboplastin time ptt within 1 . 1 x mcLn or psychiatric illness / social situations that would limit compliance with study requirements interfere with subjectï s safety or obtaining informed consent                                                                                   ",1
"25","",NA,"= < 1 . 5 x upper limit of normal uln                                                                                                                                                     ",1
"28","",NA,"< 1 . 5 x mcLn unless patients are receiving anti coagulation therapy patients receiving anti coagulation therapy with an agent such as warfarin or heparin are allowed to participate if inr = < 3 . 0                                                                                                                              ",1
"29","",NA,"and partial thromboplastin time ptt < 1 . 3 upper limit of normal uln                                                                                                                                                 ",1
"30","",NA,"/ ptt = < 2 times normal timeline within 3 weeks prior to enrollment                                                                                                                                                     ",1
"31","",NA,"is less than or equal to 1 . 5 x mcLn or an in range inr usually between 2 and 3 if a patient is on a stable dose of therapeutic warfarin and a partial thromboplastin time ptt less than or equal to 1 . 5 times the upper limit of normal                                                                                                          ",1
"34","",NA,"and activated partial thromboplastin time aptt = < 1 . 5 x mcLn or on stable dose of therapeutic anticoagulation such as low molecular weight heparin warfarin or rivaroxaban                                                                                                                                      ",1
"35","",NA,"= < 1 . 4 and prothrombin time pt = < 40 seconds unless due to lupus anticoagulant in patients not meeting these parameters clearance by hematology will be required prior to undergoing a biopsy                                                                                                                      ",1
"36","",NA,"= < 1 . 5 x mcLn this applies only to patients who do not receive therapeutic anticoagulation patients receiving therapeutic anticoagulation such as low molecular weight heparin or warfarin should be on a stable dose                                                                                                                               ",1
"37","",NA,"and activated partial thromboplastin time aptt within 1 . 25 x mcLn institutional limits except where a lupus anti coagulant has been confirmed or except patients on anticoagulation                                                                                                                            ",1
"38","",NA,"and activated partial thromboplastin time aptt = < 1 . 5 x mcLn                                                                                                                                                      ",1
"39","",NA,"or prothrombin time pt = < 1 . 5 x mcLn unless subject is receiving anticoagulant therapy not requiring laboratory monitoring as long as pt or partial thromboplastin time ptt is within therapeutic range of intended use of anticoagulants therapeutic coumadin is not acceptable                                                                                                                       ",1
"40","",NA,"or prothrombin time pt = < 1 . 5 x mcLn unless patient is receiving anticoagulant therapy as long as pt or partial thromboplastin time ptt is within therapeutic range of intended use of anticoagulants                                                                                                                                ",1
"41","",NA,"and partial thromboplastin time ptt = < 2 . 0 x institutional upper limit of normal uln unless the patient is on anticoagulant therapy within 28 days prior to registration if the patient is receiving anticoagulant therapy pt and a ptt must be within therapeutic range of intended use of anticoagulants                                                                                                         ",1
"42","",NA,"and partial thromboplastin time ptt = < 1 . 5 x institutional mcLn unless the subject is on anticoagulant therapy if the subject is receiving anticoagulant therapy pt and activated ptt aptt must be within therapeutic range of intended use of anticoagulants                                                                                                                     ",1
"43","",NA,"and partial thromboplastin time ptt = < 1 . 5 x institutional unless the subject is on anticoagulant therapy if the subject is receiving anticoagulant therapy pt and activated partial thromboplastin time aptt must be within therapeutic range of intended use of anticoagulants                                                                                                                    ",1
