"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"4","known central nervous system cns or",1,"spinal cord patients who have a history of brain / central nervous system cns metastasis are eligible for the study provided that all the following criteria are met brain / cns",1,"there is no limit on number of brain metastases for wbrt the minimum size as measured on t1 weighted gadolinium enhanced mri must be as follows according to the number of brain metastases for a single solitary lesion the size must be > = 10 mm for 2 or more lesions the size of at least 2 of the lesions must be > = 5 mm patients may also have the following provided the size requirements above are met progressive parenchymal brain metastasis following stereotactic radiosurgery for 1 3 brain metastases with at least 1 new measurable brain lesion progressive parenchymal brain metastasis following surgical resection of 1 3 brain metastases with at least 1 measurable brain lesion                                                                                                                                                                                   ",1
"6","at least 1 measurable unirradiated parenchymal",1,"",NA,"or carcinomatous meningitis or epidural disease are excluded from this clinical trial subjects with brain metastases previously treated with whole brain radiation or radiosurgery or subjects with epidural disease previously treated with radiation who are asymptomatic and have remained stable for 4 weeks and do not require steroid treatment for at least 2 weeks before starting study treatment are eligible neurosurgical resection of brain metastases or brain biopsy is permitted if completed at least 3 months before starting study treatment baseline brain imaging with contrast enhanced ct or mri scans for subjects with known brain metastases is required to confirm eligibility                                                                                                                                                                                                                            ",1
"8","the participant has active",1,"",NA,"or epidural disease participants with brain metastases previously treated with whole brain radiation or radiosurgery or participants with epidural disease previously treated with radiation or surgery who are asymptomatic and do not require steroid treatment for at least 4 weeks before starting study treatment are eligible participants with treated brain metastasis should not take enzyme inducing anticonvulsive therapies eiacds within 2 weeks of registration though non enzyme inducing anticonvulsive drugs such as levetiracetam are allowed neurosurgical resection of brain metastases or brain biopsy is permitted if completed at least 3 months before starting study treatment baseline brain imaging with contrast enhanced computed tomography ct or mri mri scans for participants with known brain metastases is required to confirm eligibility                                                                                                                                                                                                         ",1
"9","all patients must undergo a ct or mri of the",1,"",NA,"or previously treated brain metastases that are stable i . e . not requiring corticosteroids at the time of registration will be eligible                                                                                                                                                                                                                                                                                         ",1
"10","subjects with inactive central nervous system cns metastasis are eligible inactive cns metastasis is defined as no signs of cerebral edema after successful definitive treatment of",1,"",NA,"surgical resection whole brain irradiation stereotactic radiation therapy or a combination of these with stable or improved radiographic appearance on mri mri scan at least 1 month after completion of treatment                                                                                                                                                                                                                                                                           ",1
"11","study participants with",1,"",NA,"are excluded unless these have been definitively treated and are radiographically stable for at least 1 month the study participant must also demonstrate a stable physical exam and must have discontinued systemic steroids for treatment of edema related to brain metastases or treatment for over 7 days                                                                                                                                                                                                                                                                                  ",1
"12","presence of symptomatic",1,"",NA,"at time of study consent process patients with history of treated brain metastases are eligible if they are not symptomatic at the time of study enrollment                                                                                                                                                                                                                                                                                                       ",1
"16","no current symptomatic untreated or uncontrolled",1,"",NA,"should be excluded from this clinical trial exception patients with brain metastases will be allowed on study if they have clinically controlled neurologic symptoms defined as surgical excision and / or radiation therapy followed by 21 days of stable neurologic function and no evidence of central nervous system cns disease progression as determined by computed tomography ct or mri mri within 21 days prior to the first dose of study drug                                                                                                                                                                                                                                                          ",1
"18","no symptomatic untreated or uncontrolled",1,"",NA,"unless 1 metastases have been locally treated and have remained clinically controlled and asymptomatic for at least 14 days following treatment and prior to registration and 2 patient has no residual neurological dysfunction and has been off corticosteroids for at least 24 hours prior to sub study registration                                                                                                                                                                                                                                               ",1
"21","stage 1 solid tumor and stage 2 endometrial and ovarian cancer participants with known central nervous system cns metastatic lesions which are symptomatic and / or growing patients previously treated for these conditions that are asymptomatic in the absence of corticosteroid therapy are allowed to enroll",1,"",NA,"even if treated                                                                                                                                                                                                                                                                                                                                ",1
"22","patients must not have",1,"",NA,"cns imaging will not be mandated for asymptomatic patients with no history of cns metastases                                                                                                                                                                                                                                                ",1
"23","no radiation therapy other than to the",1,"",NA,"unless brain metastases have been treated and patient is asymptomatic with no residual neurological dysfunction and has not received enzyme reducing anti epileptic drugs or corticosteroids for at least 7 days prior to registration                                                                                                                                                                                                                                                                                              ",1
"25","patients are ineligible if they have any currently active cns metastases patients who have treated",1,"",NA,"which must be completed 7 days prior to start of chemotherapy                                                                                                                                                                                                                                                                                                     ",1
"28","patients with previously treated",1,"",NA,"with either surgical resection or stereotactic radiosurgery srs could be eligible patients must not have taken any steroids = < 10 days prior to randomization for the purpose of managing their brain metastases patients with only whole brain irradiation for treatment of cns metastases will be ineligible                                                                                                                                                                                                                                                                   ",1
"29","the subject has active",1,"",NA,"with either surgical resection or stereotactic radiosurgery srs could be eligible to proceed patients crossing over from dabrafenib / trametinib to nivolumab nivo / ipilimumab ipi must not have taken any steroids = < 10 days prior to registration for the purpose of managing their brain metastases patients with only whole brain irradiation for treatment of cns metastases are ineligible                                                                                                                                                                                                                                                         ",1
"30","active",1,"",NA,"or cranial epidural disease unless adequately treated with radiotherapy and / or surgery including radiosurgery and stable for at least 2 weeks before the first dose of study treatment eligible subjects must be neurologically asymptomatic and without corticosteroid treatment at the time of the start of study treatment                                                                                                                                                                                                                                                                                   ",1
"32","history or evidence upon physical examination of central nervous system cns disease including primary",1,"",NA,"may participate provided they are stable without evidence of progression by imaging for at least 3 months prior to the first dose of trial treatment and any neurologic symptoms have returned to baseline have no evidence of new or enlarging brain metastases and are not using steroids for at least 7 days prior to trial treatment                                                                                                                                                                                                                                                                        ",1
"40","patient does not have known",1,"",NA,"or epidural disease subjects with brain metastases previously treated with whole brain radiation or radiosurgery or subjects with epidural disease previously treated with radiation or surgery who are asymptomatic and do not require steroid treatment for at least 2 weeks before starting study treatment are eligible neurosurgical resection of brain metastases or brain biopsy is permitted if completed at least 3 months before starting study treatment baseline brain imaging with contrast enhanced ct or mri mri scans for subjects with known brain metastases is required to confirm eligibility                                                                                                                                                                                                                                        ",1
"46","patients who present with symptomatic",1,"",NA,"are allowed if metastases have been treated and there is no mri mri evidence of progression for at least 12 weeks after treatment is complete and within 28 days prior to the first dose of nivolumab administration there must also be no requirement for immunosuppressive doses of systemic corticosteroids > = 10 mg / day prednisone equivalents for at least 2 weeks prior to study drug administration                                                                                                                                                                                                                                                        ",1
"48","patients with a history of treated",1,"",NA,"or evidence of leptomeningeal carcinomatosis patients with asymptomatic brain metastases are eligible if off of steroids for at least 7 days prior to registration without development of symptoms                                                                                                                                                                                                                                                                          ",1
"50","extensive active",1,"",NA,"and / or epidural disease or history of cerebrovascular accident cerebrovascular accident cva stroke transient ischemic attack tia or subarachnoid hemorrhage within six months prior to the first date of study treatment                                                                                                                                                                                                                                                                         ",1
"52","progressive",1,"",NA,"with either surgical resection or stereotactic radiosurgery that have been stable on head mri mri or contrast computed tomography ct scan for at least 4 weeks following treatment and within 4 weeks prior to randomization are eligible patients must not have taken any steroids = < 14 days prior to randomization for the purpose of managing their brain metastases patients with only whole brain irradiation for treatment of cns metastases will be ineligible                                                                                                                                                                                                                                         ",1
"53","patients with unstable",1,"",NA,"outside a 5 mm margin around either hippocampus must be visible on contrast enhanced mri mri performed = < 21 days prior to step 1 registration an allowed exception regarding ability to image brain metastases would be that patients who had undergone radiosurgery or surgical resection and are planning adjuvant wbrt do not have to have visible disease but do need a pre surgery mri or computed tomography ct scan demonstrating brain metastases however the brain metastases could not have been within 5 mm of either hippocampus                                                                                                                                                                                                                                             ",1
"54","subjects with symptomatic",1,"",NA,"or primary brain tumors must have completed treatment surgery or radiation therapy > = 4 weeks prior to start of treatment                                                                                                                                                                                                                                                                                                             ",1
"55","patients must not have history of",1,"",NA,"or leptomeningeal metastases must be excluded unless they qualify for enrollment as described below because of poor prognosis and concerns regarding progressive neurologic dysfunction that would confound the evaluation of neurologic and other adverse events participants with brain metastases are permitted if metastases have been treated and there is no mri mri evidence of progression for at least 4 weeks or more after treatment is complete and within 4 weeks prior to the first dose of nivolumab administration                                                                                                                                                                                                                                                   ",1
"56","disease related criteria patients must not have known",1,"",NA,"spinal cord compression or evidence of symptomatic brain metastases or leptomeningeal disease as noted on computed tomography ct or mri mri scans should not be included on this study screening imaging to rule out brain metastases is not required for screening but should be performed prior to study enrollment if clinically indicated patients with treated brain metastases and resolution of any associated symptoms must demonstrate stable post therapeutic imaging for at least 6 months following therapy prior to starting study drug                                                                                                                                                                                                                                                ",1
"57","patients must not have known",1,"",NA,"spinal cord compression or evidence of symptomatic brain metastases or leptomeningeal disease as noted on computed tomography ct or mri mri scans should not be included on this study since neurologic dysfunction may confound the evaluation of neurologic and other adverse events patients with treated brain metastases and resolution of any associated symptoms must demonstrate stable post therapeutic imaging for at least 6 months following therapy prior to starting study drug                                                                                                                                                                                                                                                          ",1
"58","prior radiotherapy for patients with",1,"",NA,"or leptomeningeal metastases are excluded from this clinical trial note patients with previously treated brain metastases must have stable neurologic status and mri mri imaging following local therapy surgery or radiation for at least 4 weeks with no requirement for immunosuppressive doses of systemic corticosteroids > = 10 mg / day prednisone equivalents for at least 2 weeks prior to study drug administration stable low dose dexamethasone allowed at discretion of protocol chair                                                                                                                                                                                                                                                      ",1
"60","clinical or radiologic evidence of new untreated and / or progressive",1,"",NA,"testing optional                                                                                                                                                                                                                                                                                                                             ",1
"65","for patients with known and treated",1,"",NA,"should be excluded from this clinical trial however patients with previously treated and stable brain metastases are eligible as long as they are no longer requiring steroids completed radiation therapy more than 2 weeks prior to the first dose of study regimen and have no seizures or worsening neurologic symptoms                                                                                                                                                                                                                                                                               ",1
"66","patients who have a history of",1,"",NA,"are allowed provided that the patient is clinically asymptomatic and stable patients with a prior history of symptomatic brain metastases are eligible provided the brain metastases have been treated the patient is asymptomatic from the brain metastases at enrollment corticosteroids prescribed for the management of brain metastases have been discontinued at least 7 days prior to registration the brain metastases are stable on pre registration imaging                                                                                                                                                                                                                                                               ",1
"67","patients may have",1,"",NA,"spinal cord compression or evidence of symptomatic brain metastases or leptomeningeal disease as noted on computed tomography ct or mri mri scans should be excluded from this clinical trial screening brain mri or ct if mri contraindicated will be required for patients with recurrent nsclc tnbc or sclc brain mri or ct if mri contraindicated is required for pdac if clinically suspected by patient s symptoms or neurological exam should patient found to have brain metastasis treatment of brain metastasis must precede the participation in this study for patients with known and treated brain metastases is allowed in this study if they fulfill the following criteria the lesions have improved or remained stable radiographically and clinically for at least 6 weeks after completion of brain irradiation or stereotactic brain radiosurgery and off steroids for at least 6 weeks                                                                                                                                                                                       ",1
"68","patients must have at least one measurable cns lesion that is asymptomatic untreated and does not require local therapy at the time of enrollment measurable cns disease is defined as a",1,"",NA,"from primary solid tumor including but not limited to lung breast colorectal cancer but excluding melanoma choriocarcinoma renal cell carcinoma or gliomas                                                                                                                                                                                                                                                                                                 ",1
"69","symptomatic",1,"",NA,"are eligible provided the brain metastases have been treated the patient is asymptomatic from the brain metastases corticosteroids prescribed for the management of brain metastases have been discontinued at least 7 days prior to registration                                                                                                                                                                                                                                                                                           ",1
"71","patients with known active central nervous system cns metastases are ineligible subjects with previously treated",1,"",NA,"who are asymptomatic and have not received steroid therapy in the 14 days prior to registration are eligible anti seizure medications are allowed provided they are non enzyme inducing e . g . topiramate levetiracetam gabapentin                                                                                                                                                                                                                                                                                          ",1
"72","patients must have had no prior radiation therapy with the exception of cns irradiation of",1,"",NA,"are allowed provided that no leptomeningeal disease is present intracranial disease is controlled by prior local therapies craniotomy stereotactic radiosurgery whole brain irradiation as evidenced by brain mri 4 weeks post treatment indicating no new intracranial disease stable or decreasing dose of steroids provided patient on = < 20 mg of prednisone or its equivalent daily                                                                                                                                                                                                                                                                          ",1
"74","patients with symptomatic uncontrolled",1,"",NA,"or the presence of leptomeningeal disease and all patients with infratentorial tumors note patients with brain metastasis after definitive therapy with surgery or stereotactic radiation and stable off steroids for > = 4 weeks are eligible as are patients with asymptomatic brain metastasis as long as less than 1 cm and thus deemed as not requiring therapy by the primary physician and the lesions s are not infratentorial                                                                                                                                                                                                                                                          ",1
"76","patients with gliomas or",1,"",NA,"must either meet the additional criteria and enroll as part of the progressive brain metastases cohort or have clinically controlled neurologic symptoms defined as surgical excision and / or radiation therapy followed by 14 days of stable neurologic function prior to registration patients with previously incidentally discovered or asymptomatic brain metastasis es must receive surgical excision and / or radiation therapy prior to registration patients with progressive brain metastases following prior treatment are not eligible for the standard cohort but may be considered for the progressive brain metastases cohort                                                                                                                                                                                                                                        ",1
"78","leptomeningeal or",1,"",NA,"cohort s1416 is one study with two cohorts patients who have progressive brain metastases after surgical excision and / or intracranial radiation will be in the progressive brain metastases cohort and will require a baseline mri mri patients with previously treated brain metastases stable disease and stable neurologic function for 14 days prior to trial registration will be in the standard cohort and may obtain mri of the brain at the physician s discretion randomization and treatment is the same for both cohorts in addition to all of the previous eligibility criteria patients with progressive brain metastases who do not satisfy the conditions to enroll in the standard cohort neurologic stability for 14 days following surgery and / or radiation therapy must also meet the following criteria to enroll as part of the brain metastases cohort patients with progressive brain metastases must have a baseline brain mri within 28 days prior to registration brain metastases must be progressive and > = 10 mm in longest dimension on radiographic imaging after prior intracranial radiation ir therapy i . e . whol brain radiation therapy wbrt stereotactic radiosurgery srs gamma knife gk or local equivalent patients must not have evidence of diffuse leptomeningeal disease on brain mri or by previously documented cerebrospinal fluid csf cytology discrete dural metastases are permitted there must be no evidence of hemorrhage or impending herniation on baseline brain imaging patients with contraindication to gadolinium enhanced mri imaging are not eligible patients must be on a stable or decreasing dose of steroids for > = 7 days prior to registration if patient had an open brain biopsy at least 28 days must have elapsed between biopsy and registration patients enrolling in the progressive brain metastases cohort can have received up to 3 prior lines of cytotoxic chemotherapy for metastatic disease note that for enrollment in the standard cohort patients must have had = < 1 prior cytotoxic regimen for metastatic disease",1
"79","patients with known symptomatic untreated central nervous system including",1,"",NA,"should be excluded however patients with known brain metastases may participate in this clinical trial if they are clinically stable without evidence of progression by imaging for at least four weeks prior to the first dose of trial treatment and any neurologic symptoms have returned to baseline have no evidence of new or enlarging brain metastases and are on a stable or decreasing dose of steroids for at least 14 days prior to trial treatment                                                                                                                                                                                                                                                      ",1
"84","patients with known primary central nervous system cns malignancy or symptomatic cns metastases are excluded with the following exceptions patients with asymptomatic untreated cns disease may be enrolled provided all of the following criteria are met there are no more than 3 lesions = < 1 cm in size each evaluable or measurable disease outside the cns no metastases to",1,"",NA,"will be excluded from trial secondary to poor prognosis however subjects who have had treatment for their brain metastasis and whose brain disease is stable without steroid therapy for at least 3 months may be enrolled                                                                                                                                                                                                                                                                                             ",1
"90","patients with clinically or radiologically unstable",1,"",NA,"leptomeningeal carcinomatosis or spinal cord compression unless 1 metastases have been locally treated including stereotactic body radiation therapy sbrt whole brain radiotherapy wbrt and surgical resection and have remained clinically controlled and asymptomatic for at least 14 days following treatment and prior to registration and 2 patient has no residual neurological dysfunction and has been off corticosteroids for at least 24 hours prior to registration                                                                                                                                                                                                                                                           ",1
"119","patients with known active or history of",1,"",NA,"unless brain metastases have been treated and patient is asymptomatic with no residual neurological dysfunction and has not received enzyme reducing anti epileptic drugs or corticosteroids for at least 14 days prior to registration                                                                                                                                                                                                                                                                                             ",1
"3","",NA,"",NA,"prior to enrollment is acceptable .                                                                                                                                                                                                                                                                                                                         ",1
"19","",NA,"",NA,"are eligible if these lesions have been previously treated and the patients have no clinical or radiographic evidence of progression within 30 days prior to enrollment .                                                                                                                                                                                                                                                                                                       ",1
"20","",NA,"",NA,"prior to registration after induction systemic therapy .                                                                                                                                                                                                                                                                                                                 ",1
"27","",NA,"",NA,"or primary brain tumors must have completed treatment surgery or radiation therapy > = 28 days prior to registration and have stable disease at time of registration metastatic brain parenchymal disease must have been treated and patient must be off steroids for 7 days prior to registration patients must have a ct or mri scan of the brain to evaluate for central nervous system cns disease within 42 days prior to registration                                                                                                                                                                                                                                                          ",1
"31","",NA,"",NA,"should be excluded from this clinical trial because of their poor prognosis and because they often develop progressive neurologic dysfunction that would confound the evaluation of neurologic and other adverse events                                                                                                                                                                                                                                                                                                  ",1
"33","",NA,"",NA,"spinal cord compression or leptomeningeal carcinomatosis should be excluded from this clinical trial patients whose brain metastases have been treated may participate provided they show radiographic stability defined as 2 brain images both of which are obtained after treatment to the brain metastases these imaging scans should both be obtained at least four weeks apart and show no evidence of intracranial progression in addition any neurologic symptoms that developed either as a result of the brain metastases or their treatment must have resolved or be stable either without the use of steroids or are stable on a steroid dose of = < 10 mg / day of prednisone or its equivalent and anti convulsants for at least 14 days prior to the start of treatment                                                                                                                                                                                                    ",1
"34","",NA,"",NA,"spinal cord compression or evidence of symptomatic brain metastases or leptomeningeal disease as noted on computed tomography ct or mri mri scans are excluded from this clinical trial while screening brain mri is not required it should be performed if clinically indicated at the discretion of the treating investigator should patient found to have brain metastasis treatment of brain metastasis must precede the participation in this study                                                                                                                                                                                                                                                              ",1
"35","",NA,"",NA,"is allowed in this study if they fulfill all of the following criteria the lesions have remained radiologically stable for at least six weeks after completion of brain irradiation or stereotactic brain radiosurgery and must remain stable at the time of study entry there is no mass effect present radiologically and no steroids requirement for symptom control for more than 4 weeks                                                                                                                                                                                                                                                                ",1
"38","",NA,"",NA,"if all lesions have been treated with stereotactic radiation therapy craniotomy or gamma knife therapy with no evidence of progression demonstrated by identical imaging modality for 2 consecutive assessments / scans mri mri or ct scans at least 4 weeks apart and have not required steroids for at least 14 days prior to registration                                                                                                                                                                                                                                                                           ",1
"39","",NA,"",NA,"is allowed however any lesion present at the time of whole brain radiotherapy or included in the stereotactic radiotherapy field or within 2 mm of the treated lesion will not be considered untreated unless it is new or documented to have progressed unequivocally since treatment                                                                                                                                                                                      ",1
"41","",NA,"",NA,"for whom complete surgical resection is clinically appropriate                                                                                                                                                                                                                                                                                                                          ",1
"42","",NA,"",NA,"may participate provided they are stable without evidence of progression by imaging for at least four weeks prior to the first dose of trial treatment and any neurologic symptoms have returned to baseline have no evidence of new or enlarging brain metastases                                                                                                                                                                                                                                                                           ",1
"43","",NA,"",NA,"this exception only applies to sr1 patients any patients over age 11 with distant metastases to brain stage iv disease would be considered poor risk and therefore not eligible for this trial                                                                                                                                                                                                                                                                                     ",1
"45","",NA,"",NA,"a scan to confirm the absence of brain metastases is not required the patient can receive a stable dose of corticosteroids before and during the study as long as these were started at least 4 weeks prior to enrollment patients with spinal cord compression unless considered to have received definitive treatment for this and evidence of clinically stable disease for 28 days                                                                                                                                                                                                                                                                  ",1
"47","",NA,"",NA,"who require corticosteroids or non enzyme inducing anticonvulsants must be on a stable dose of corticosteroids and seizure free for 1 month prior to enrollment patients with known brain metastases should have completed brain irradiation whole brain or gamma knife more than 4 weeks before starting the protocol patients on enzyme inducing anticonvulsants are not eligible note that patients should have had their steroids tapered to low dose i . e . < 1 . 5 mg of dexamethasone / day due to the potential for higher dexamethasone doses to induce cyp3a4                                                                                                                                                                                                                                      ",1
"49","",NA,"",NA,"who require corticosteroids or anticonvulsants must be on a stable dose of corticosteroids and seizure free for 1 month prior to enrollment patients with known brain metastases should have had brain irradiation whole brain or gamma knife more than 4 weeks before starting the protocol note that patients should have had their steroids tapered to low dose i . e . < 1 . 5 mg of dexamethasone / day                                                                                                                                                                                                                                                          ",1
"51","",NA,"",NA,"that are symptomatic or requiring corticosteroids except inhaled subjects must also be off of enzyme inducing anticonvulsants for > = 4 weeks                                                                                                                                                                                                                                                                                                              ",1
"59","",NA,"",NA,"or metastases causing spinal cord compression that are symptomatic or untreated or not stable for > = 3 months must be documented by imaging or requiring corticosteroids subjects on a stable dose of corticosteroids > = 1 month or who have been off of corticosteroids for at least 2 weeks can be enrolled with approval of the cancer therapy evaluation program ctep medical monitor subjects must also be off of enzyme inducing anticonvulsants for > = 4 weeks                                                                                                                                                                                                                                                    ",1
"61","",NA,"",NA,"should be excluded from this clinical trial imaging or spinal fluid analysis to exclude central nervous system cns involvement is not required unless there is clinical suspicion by the treating investigator                                                                                                                                                                                                                                                                                                ",1
"62","",NA,"",NA,"may be enrolled provided all the criteria listed above are met as well as the following radiographic demonstration of improvement upon the completion of cns directed therapy and no evidence of interim progression between the completion of cns directed therapy and radiographic screening for the current study no stereotactic radiation or whole brain radiation within 28 days prior to cycle 1 day 1 screening cns radiographic study > = 4 weeks from completion of radiotherapy and > = 2 weeks from discontinuation of corticosteroids                                                                                                                                   ",1
"63","",NA,"",NA,"are excluded from this clinical trial with the exception of patients whose brain metastatic disease status has remained stable for > = 2 months after treatment of the brain metastases without steroids or anti seizure medications these patients may be enrolled at the discretion of the principal investigator                                                                                                                                                                                                                                                                                 ",1
"64","",NA,"",NA,"or carcinomatous meningitis are excluded from this clinical trial with the exception of patients whose brain metastatic disease status has remained stable for > = 2 months after treatment of the brain metastases patients should be on stable doses of anti seizure medications these patients may be enrolled at the discretion of the principal investigator                                                                                                                                                                                                                                                                          ",1
"70","",NA,"",NA,"are excluded from this clinical trial with the exception of patients whose brain metastatic disease status has remained stable for > = 3 months after treatment of the brain metastases without steroids or anti seizure medications these patients may be enrolled at the discretion of the principal investigator                                                                                                                                                                                                                                                                                 ",1
"73","",NA,"",NA,"are excluded from this clinical trial note patients with stable brain metastases after treatment for at least 3 months prior to enrolling on this trial could participate in the study patients should be off or on a stable dose of steroids                                                                                                                                                                                                                                                                                     ",1
"75","",NA,"",NA,"either remote or current or presence of carcinomatous meningitis are not eligible                                                                                                                                                                                                                                                                                                                      ",1
"77","",NA,"",NA,"or carcinomatous meningitis are excluded from this clinical trial with the exception of patients whose brain metastatic disease status has remained stable for > = 1 month after treatment of the brain metastases patients should not be on anti seizure medications these patients may be enrolled at the discretion of the principal investigator                                                                                                                                                                                                                                                                            ",1
"82","",NA,"",NA,"or carcinomatous meningitis are excluded from this clinical trial with the exception of patients with brain metastatic disease that has previously been treated and remained stable on mri > = 2 months after treatment without steroids or anti epileptic medications these patients may be enrolled at the discretion of the principal investigator                                                                                                                                                                                                                                                                             ",1
"83","",NA,"",NA,"or carcinomatous meningitis are excluded from this clinical trial with the exception of patients whose brain metastatic disease status has remained stable for > = 1 month after treatment of the brain metastases patients on anti seizure medications or steroid therapy may be enrolled at the discretion of the principal investigator                                                                                                                                                                                                                                                                              ",1
"85","",NA,"",NA,"should be excluded from this clinical trial previously treated brain metastases neurologically stable and no ongoing or anticipated need for steroid therapy are eligible                                                                                                                                                                                                                                                                                                         ",1
"86","",NA,"",NA,"should be excluded from early clinical trials                                                                                                                                                                                                                                                                                                                          ",1
"87","",NA,"",NA,"or spinal cord compression should be excluded from this clinical trial                                                                                                                                                                                                                                                                                                                    ",1
"88","",NA,"",NA,"are excluded                                                                                                                                                                                                                                                                                                                               ",1
"89","",NA,"",NA,"should be excluded from this clinical trial a scan to confirm the absence of brain metastasis is not required                                                                                                                                                                                                                                                                                                              ",1
"91","",NA,"",NA,"should be excluded from this clinical trial except as those described below                                                                                                                                                                                                                                                                                                                     ",1
