"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"94","obtained within 30 days of registration total",1,"= < 2 . 5 x institutional upper limit of",1,"uln except patients with gilbertï s syndrome within 28 days prior to registration                                                                                                                                                       ",1
"108","within 2 weeks prior to initiation of study treatment total",1,"= < 1 . 5 x the upper limit of",1,"uln obtained = < 21 days prior to registration                                                                                                                                                           ",1
"133","total or direct",1,"less than or equal to 1 . 5 x upper limit of",1,"uln = < grade 1 if total bilirubin is 2 to 3 mg / dl but direct bilirubin is normal then the patient will be considered eligible                                                                                                                                         ",1
"137","patients with abnormal liver function will be eligible and will be grouped according to the criteria below group a normal hepatic function",1,"= < 5 x upper limit of",1,"uln ctcae grade 1                                                                                                                                                               ",1
"140","if no known liver metastases total",1,"= < 3 . 0 x upper limit of",1,"assessed within seven 7 days prior to the start of therapy                                                                                                                                                           ",1
"154","randomized phase ii arms k and l",1,"< 1 . 5 times institutional upper limit of",1,"within 21 days prior to study entry                                                                                                                                                               ",1
"171","within 2 weeks prior to screening step registration and within 4 weeks prior to treatment step registration total",1,"> = 1 . 5 x upper limit of",1,"uln within 21 days prior to registration                                                                                                                                                             ",1
"172","within 6 weeks prior to randomization total",1,"< 2 x the institutional upper limit of",1,"uln or = < 2 . 5 x upper limit of normal uln with gilbertï s syndrome                                                                                                                                                   ",1
"173","participants not on the hodgkin lymphoma expansion cohort total",1,"= < 1 . 5 within 30 days prior to registration it is highly recommended but not required that total bilirubin be = < 1 . 5 upper limit of",1,"uln for the laboratory unless resulting from hemolysis                                                                                                                                                             ",1
"174","participants on the hodgkin lymphoma expansion cohort total",1,"less than or equal to 1 . 5 x institutional / laboratory upper limit of",1,"uln or = < 1 . 5 x institutional mcLn if the patient has liver metastases                                                                                                                                                        ",1
"211","tumor biopsy sequencing total",1,"> = 2 times the upper limit of",1,"uln institutional limits                                                                                                                                                                ",1
"212","treatment total",1,"= < 1 . 5 ï upper limit of",1,"uln within 4 weeks prior to randomization                                                                                                                                                                 ",1
"232","serum direct",1,"within = < 1 . 5 times the upper limit of",1,"institutional upper limit of normal uln                                                                                                                                                                       ",1
"3","",NA,"less than or equal to the institution s upper limit of",1,"uln for age within 7 days prior to enrollment                                                                                                                                                         ",1
"6","",NA,"< 1 . 5 upper limit of",1,"institutional limits patients with gilbertï s syndrome with total bilirubin up to 2 . 5 mg / dl is allowed                                                                                                                                                    ",1
"9","",NA,"= < the upper limit of",1,"institutional limits may be elevated if direct bilirubin normal                                                                                                                                                              ",1
"10","",NA,"below",1,"institutional limits within 14 days prior to registration                                                                                                                                                                      ",1
"12","",NA,"< 4 x institutional upper limit of",1,"with direct bilirubin within normal limits except for participants with gilbertï s disease                                                                                                                                                        ",1
"14","",NA,"sum of conjugated conjugated = < 1 . 5 x upper limit of",1,"limits or < 2 . 5 x the mcLn for patients with gilbertï s disease                                                                                                                                                             ",1
"15","",NA,"within = < 1 . 5",1,"limits at each study site local laboratory                                                                                                                                                                      ",1
"16","",NA,"= < 2 . 5 times mcLn except for participants who are on atazanavir or indinavir provided that the participantï s direct bilirubin is within",1,"limits                                                                                                                                                                            ",1
"17","",NA,"< 1 . 5 times upper limit of",1,"for age                                                                                                                                                                   ",1
"18","",NA,"= < 1 . 5 times upper limit of institutional",1,"for age within 14 days of registration and within 7 days of the start of treatment                                                                                                                                                      ",1
"19","",NA,"= < upper limit of",1,"uln for age and institution                                                                                                                                                                 ",1
"20","",NA,"if no known liver metastases total bilirubin < 1 . 5 x institutional upper limit of",1,"uln and ast = < mcLn group b mild hepatic dysfunction b1 bilirubin = < mcLn and ast > = mcLn b2 bilirubin > = mcLn but = < 1 . 5 x mcLn and any ast group c moderate hepatic dysfunction bilirubin > = 1 . 5 x mcLn to = < 3 x mcLn and any ast group d severe hepatic dysfunction bilirubin > = 3 x mcLn and up to investigators discretion and any ast patients with active hemolysis should be excluded no distinction will be made between liver dysfunction due to metastases and liver dysfunction due to other causes registration laboratory investigations will be used to assign a patient to a hepatic function group liver function tests should be repeated within 24 hours prior to starting initial therapy and may result in the patients group assignment being altered if different to registration test results",1
"21","",NA,"= < 1 . 5 times the institutional upper limit of",1,"uln or direct bilirubin = < mcLn for patients with total bilirubin levels > = 1 . 5 mcLn                                                                                                                                                 ",1
"24","",NA,"must be < 1 . 5 x the upper limit of",1,"uln in absence of gilbert disease total bilirubin = < 3 x mcLn with gilbert also if hyperbilirubinemia is clearly attributed to liver metastases total bilirubin = < 3 x mcLn is permitted                                                                                                                                    ",1
"25","",NA,"= < mcLn institutional upper limit of",1,"in the absence of gilbertï s disease                                                                                                                                                                 ",1
"26","",NA,"= < 1 . 5 x mcLn institutional upper limit of",1,"uln unless elevated secondary to lymphomatous involvement of liver or biliary system or due to other hiv medications e . g . indinavir tenofovir or atazanavir if secondary to lymphomatous involvement an initial upper limit of total bilirubin 5 mg / dl 85 . 5 um / l should be utilized for direct bilirubin > = 1 . 2 mg / dl 20 . 5 um / l                                                                                               ",1
"27","",NA,"= < 1 . 5 x mcLn upper limit of",1,"unless the elevation of bilirubin is thought to be secondary to gilbertï s syndrome or combined antiretroviral therapy cart if however the elevated bilirubin is felt to be secondary to antiretroviral therapy the total bilirubin must be = < 3 . 5 mg / dl provided that the direct bilirubin is normal and the ast and alanine aminotransferase alt = < 3 x the upper limit of normal also if the elevated bilirubin is thought to be secondary to chl the same criteria for hyperbilirubinemia should be applied however 1 prior cycle of cyclophosphamide is permitted in attempt to make the participant eligible patients should not be excluded from study participation unless dosing cannot be safely established                                              ",1
"29","",NA,"= < 1 . 25 x institutional upper limit of",1,"uln unless due to gilbertï s disease or disease related hemolysis then = < 3 . 0 x mcLn                                                                                                                                                 ",1
"30","",NA,"must be = < upper limit of",1,"uln if however the participant has gilbertï s disease or unconjugated hyperbilirubinemia that is considered to be secondary to with atazanavir or indinavir therapy then the total bilirubin must be = < 3 x mcLn                                                                                                                                  ",1
"32","",NA,"= < 1 . 5 ï institutional upper limit of",1,"uln or = < 2 . 5 x mcLn for patients with gilbertï s syndrome                                                                                                                                                     ",1
"33","",NA,"must be = < mcLn upper limit of",1,"uln except subjects with known gilbertï s syndrome within 2 weeks of the first dose of study treatment                                                                                                                                                   ",1
"34","",NA,"= < 1 . 5 mg / dl",1,"uln patients with gilbertï s syndrome may have serum bilirubin > = 1 . 5 ï mcLn                                                                                                                                                   ",1
"35","",NA,"= < 1 . 5 x local institutional upper limit of",1,"unless due to gilbertï s syndrome                                                                                                                                                              ",1
"36","",NA,"= < 3 x upper limit of",1,"except elevated total bilirubin < 1 . 5 x mcLn due to gilbertï s disease or similar syndrome involving slow conjugation of bilirubin measured within 28 days prior to randomization                                                                                                                                         ",1
"37","",NA,"within 1 . 5 x the upper limit of",1,"= < 3 mg / dl in case of gilbertï s syndrome                                                                                                                                                         ",1
"38","",NA,"within = < 1 . 5 x institutional upper limit of",1,"uln or = < 2 . 5 x mcLn with gilbertï s disease                                                                                                                                                       ",1
"39","",NA,"= < x 1 . 5 upper limit of institutional",1,"patients with gilbertï s syndrome may have direct bilirubin > = 2 . 5 x mcLn                                                                                                                                                   ",1
"40","",NA,"= < grade 1 note if total bilirubin is 2 to 3 mg / dl but direct bilirubin is",1,"direct bilirubin or those with known gilbertï s syndrome obtained within 4 weeks prior to randomization                                                                                                                                                    ",1
"41","",NA,"= < 1 . 5 x mcLn note if total bilirubin is 2 3 mg / dl but direct bilirubin is",1,"uln unless gilbertï s syndrome or disease infiltration of the liver is present                                                                                                                                                        ",1
"42","",NA,"= < grade 1 if bilirubin is 2 3 mg / dl but direct bilirubin is",1,"except in patients with documented gilbertï s disease who must have a total bilirubin = < 3 . 0 mg / dl must be obtained within 8 weeks prior to screening for protocol therapy                                                                                                                                   ",1
"43","",NA,"< 2 mg / dl or serum total bilirubin = < 3 note the above stipulation for",1,"uln for subjects with known gilbertï s disease or similar syndrome with slow conjugation of bilirubin total bilirubin = < 3 . 0 mg / dl                                                                                                                                           ",1
"44","",NA,"",NA,"uln with the exception of < 2 . 9 mg / dl for patients with gilbertï s disease                                                                                                                                                  ",1
"45","",NA,"",NA,"direct bilirubin or those with known gilbertï s syndrome                                                                                                                                                           ",1
"46","",NA,"",NA,"uln unless documented gilbertï s syndrome for which bilirubin = < 3 x institutional mcLn is permitted                                                                                                                                  ",1
"47","",NA,"",NA,"uln for the laboratory lab unless the patient has a bilirubin elevation > = mcLn to 1 . 5 x mcLn due to gilbertï s disease or similar syndrome involving slow conjugation of bilirubin                                                                                                                               ",1
"48","",NA,"",NA,"uln = < 3 x mcLn for subjects with gilbertï s disease or with atazanavir or indinavir induced unconjugated hyperbilirubinemia without ast or alanine aminotransferase alt elevation and must have a total bilirubin less than 3 . 0 mg / dl within 2 weeks prior to enrollment                                                                                                             ",1
"49","",NA,"",NA,"uln or = < 3 x mcLn for participants with gilbertï s disease or with atazanavir or indinavir induced unconjugated hyperbilirubinemia without ast or alt elevation and must have a total bilirubin less than 3 . 0 mg / dl within 2 weeks prior to enrollment                                                                                                               ",1
"50","",NA,"",NA,"uln except in case of gilbertï s disease                                                                                                                                                             ",1
"51","",NA,"",NA,"uln unless isolated hyperbilirubinemia attributed to gilbertï s syndrome                                                                                                                                                            ",1
"52","",NA,"",NA,"uln an exception to this may be allowed for participants with gilbertï s syndrome with documented approval by the protocol chair                                                                                                                                               ",1
"53","",NA,"",NA,"uln patients with gilbertï s syndrome may have serum bilirubin > = 1 . 5 mcLn                                                                                                                                                     ",1
"54","",NA,"",NA,"uln unless due to gilbertï s syndrome or hemolysis in which case = < 3 . 0 x mcLn is allowed                                                                                                                                                ",1
"55","",NA,"",NA,"uln or < 3 x institutional mcLn for gilbertï s syndrome or hiv protease inhibitors or < 5 x mcLn and direct bilirubin < 0 . 7 mg / dl for patients on atazanavir containing hiv regimen                                                                                                                                 ",1
"57","",NA,"",NA,"for the lab unless the patient has a bilirubin elevation > = mcLn to 1 . 5 x mcLn due to gilbertï s disease or similar syndrome involving slow conjugation of bilirubin within 28 days before randomization                                                                                                                                 ",1
"58","",NA,"",NA,"unless history of gilbertï s syndrome                                                                                                                                                                ",1
"59","",NA,"",NA,"institutional limits this will not apply to patients with confirmed gilbertï s syndrome persistent or recurrent hyperbilirubinemia predominantly unconjugated bilirubin in the absence of evidence of hemolysis or hepatic pathology who will be allowed in consultation with their physician                                                                                                                                 ",1
"60","",NA,"",NA,"uln if elevated total bilirubin is due gilbertï s disease or disease related hemolysis then total bilirubin = < 3 . 0 x local institutional mcLn                                                                                                                                         ",1
"61","",NA,"",NA,"uln except patients with gilbertï s syndrome who can have total bilirubin < 3 mg / dl                                                                                                                                                   ",1
"62","",NA,"",NA,"uln except for patients with known gilbertï s syndrome who must have normal direct bilirubin                                                                                                                                                     ",1
"63","",NA,"",NA,"uln unless suspected leukemic involvement of the liver                                                                                                                                                               ",1
"64","",NA,"",NA,"uln except for patients with known gilbertï s syndrome                                                                                                                                                            ",1
"67","",NA,"",NA,"uln within 30 days of day 1 of study note patients with elevated bilirubin secondary to gilbertï s disease are eligible to participate in the study                                                                                                                                          ",1
"68","",NA,"",NA,"uln = < 3 x institutional mcLn if the patient has gilbert s syndrome                                                                                                                                                      ",1
"69","",NA,"",NA,"for age with the exception of those with gilbert syndrome                                                                                                                                                            ",1
"73","",NA,"",NA,"uln with the exception of patients with gilbert syndrome                                                                                                                                                             ",1
"74","",NA,"",NA,"uln except in subjects with gilbert syndrome who must have a total bilirubin < 3 . 0 x mcLn                                                                                                                                                  ",1
"75","",NA,"",NA,"uln unless patient has gilbert disease                                                                                                                                                               ",1
"76","",NA,"",NA,"uln with exception of patients with gilbert syndrome                                                                                                                                                             ",1
"77","",NA,"",NA,"uln with the exception of patients with gilbert syndrome who are required to have = < 3 x mcLn                                                                                                                                                  ",1
"78","",NA,"",NA,"with the exception of those with gilbert syndrome                                                                                                                                                             ",1
"80","",NA,"",NA,"uln except gilbert s syndrome who must have a total bilirubin < 3 . 0 mg / dl                                                                                                                                                  ",1
"81","",NA,"",NA,"uln except in the case of gilbert disease                                                                                                                                                             ",1
"82","",NA,"",NA,"uln patients with gilbert s syndrome with a total bilirubin < 3 . 0 mg / dl                                                                                                                                                  ",1
"83","",NA,"",NA,"then patient will be considered eligible                                                                                                                                                         ",1
"84","",NA,"",NA,"hepatic function does not apply if liver dysfunction is due to leukemia infiltration                                                                                                                                               ",1
