"","Blank 1","Frequency","Blank 2","Frequency"
"10","no history of the following prior brain metastases leptomeningeal disease seizures class 3 or 4 congestive heart failure uncontrolled hypertension systolic",1,"bp of > = 140 mmhg or a diastolic bp of > = 90 mmhg patients with hypertension may not be on more than three antihypertensive medications for management of their blood pressure medications that combine two anti hypertensives into one are considered as two medications it is strongly recommended that patients who require three antihypertensive medications for baseline management of pre existing hypertension be actively followed by a cardiologist or blood pressure specialist for management of bp while on protocol                                          ",1
"14","participants may not have any evidence of ongoing inadequately controlled hypertension defined as a systolic",1,"sbp > = 140 mmhg or diastolic blood pressure dbp > = 90 mmhg at the screening visit are ineligible patients with an initial clinic blood pressure bp > = 140 / 90 mmhg may be included if sbp < 140 mmhg and dbp < 90 mmhg is confirmed in two subsequent bp measurements on the same day                                                                             ",1
"15","patients with systolic",1,"bp = < the 95th percentile for age height and gender measured within 7 days prior to enrollment please note that 3 serial blood pressures should be obtained and averaged to determine baseline bp patients with hypertension controlled on antihypertensive medications will be allowed if otherwise eligible                                                                                          ",1
"18","uncontrolled",1,"of > = 150 mmhg or diastolic pressure > = 100 mmhg on anti hypertensive medications                                                                                                                      ",1
"19","hypertension patients 3 17 years of age must have a",1,"and hypertension systolic blood pressure sbp > = 140 mm hg or diastolic blood pressure dbp > = 90 mm hg within 14 days prior to registration patients are permitted to be receiving multiple anti hypertensive medications unless otherwise indicated in the study all blood pressure measurements within the 14 days prior to registration and on day 1 of cycle 1 must be sbp = < 140 and dbp = < 90 an exception can be made by a healthcare provider for a patient with a single blood pressure elevation who upon rechecking has a normal blood pressure                                       ",1
"20","patients must not have uncontrolled hypertension defined as systolic",1,"that is = < 95th percentile for age height and gender at the time of registration the normal blood pressure by height age and gender tables can be accessed in the generic forms section of the pediatric brain tumor consortium pbtc membersï webpage patients who are > = 18 years of age must have a blood pressure that is < 140 / 90 mm of hg at the time of registration note if a blood pressure bp reading prior to registration is above the 95th percentile for age height and gender it must be rechecked and documented to be = < the 95th percentile for age height and gender prior to patient registration               ",1
"21","adult patients with hypertension not controlled by medical therapy hypertension defined as systolic",1,"> = 140 mm hg and / or diastolic blood pressure > = 90 mm hg which cannot be controlled by anti hypertensive therapy                                                                                                         ",1
"22","adequate",1,"> = 150 mmhg or diastolic pressure > = 90 mmhg despite optimal medical management pediatric patients must have blood pressure bp within normal limits wnl for age note blood pressure within the upper limit of normal is defined as blood pressure = < the 95th percentile for age height and gender and not be receiving medication for treatment of hypertension                                                                ",1
"23","patients not achieving adequate",1,"defined as a blood pressure bp = < the 95th percentile for age height and gender measured adequate blood pressure can be achieved using medication for treatment of hypertension                                                                                                            ",1
"24","inability to home monitor",1,"in spite of antihypertensive therapy for control of blood pressure                                                                                                                            ",1
"26","history of uncontrolled hypertension defined as",1,"                                                                                                                                     ",1
"28","uncontrolled high",1,"of > = 150 mmhg or diastolic pressure > = 90 mmhg on anti hypertensive medications                                                                                                                      ",1
"29","patients with uncontrolled hypertension are ineligible uncontrolled hypertension is defined as follows patients aged = < 17 years greater than 95th percentile systolic and diastolic",1,"> = 150 / 95 mmhg or systolic blood pressure > = 180 mmhg when diastolic blood pressure < 90 mmhg on at least 2 repeated determinations on separate days within 3 months prior to study enrollment                                                                                               ",1
"30","participants with uncontrolled sustained hypertension which will be defined as systolic",1,"i . e . systolic blood pressure > = 150 mm hg diastolic blood pressure > = 95 mm hg pulmonary hypertension uncontrolled asthma or oxygen o2 saturation < 90 by pulse oximetry on room air significant valvular disease severe regurgitation or stenosis by imaging independent of symptom control with medical intervention or history of valve replacement medically significant symptomatic bradycardia history of arrhythmia requiring an implantable cardiac defibrillator                                                      ",1
"32","uncontrolled hypertension despite medical therapy",1,"i . e . systolic blood pressure > = 160 mmhg diastolic blood pressure > = 90 mmhg                                                                                                                      ",1
"34","patients who are receiving anti hypertensive medications for control of",1,"based on age and height which is not controlled by one anti hypertensive medication patients aged > = 17 years systolic blood pressure > = 140 mmhg and / or diastolic blood pressure > = 90 mmhg that is not controlled by one anti hypertensive medication                                                                   ",1
"35","no uncontrolled hypertension systolic",1,"> = 140 and diastolic blood pressure > = 90 even with use of anti hypertensive medications                                                                                                              ",1
"36","low resting systolic",1,"i . e . systolic blood pressure > = 180 mm hg diastolic blood pressure > = 95 mm hg pulmonary hypertension uncontrolled asthma or oxygen o2 saturation < 90 by abg arterial blood gas analysis or pulse oximetry on room air significant valvular disease severe regurgitation or stenosis by imaging independent of symptom control with medical intervention or history of valve replacement medically significant symptomatic bradycardia                                                        ",1
"37","use of any other",1,"should be < 140 / 90 in accordance with american heart association definition of hypertension                                                                                                                      ",1
"38","patients with hypertension on medical management must have systolic",1,"readings blood pressure cuffs will be provided to patients randomized to arm iii                                                                                                                  ",1
"40","patients with known significant active cardiovascular or pulmonary disease at the time of study entry are ineligible including uncontrolled hypertension i . e . systolic",1,"at the time of enrollment are not eligible for this trial                                                                                                                     ",1
"9","",NA,"= < 160 millimeters of mercury mmhg or diastolic = < 100 mmhg patients with hypertension must be adequately controlled with appropriate anti hypertensive therapy or diet                                                                                                           ",1
"11","",NA,"< 90 mmhg                                                                                                                                    ",1
"12","",NA,"lowering medication for treatment of hypertension within 30 days of enrollment except calcium channel blockers and diuretics                                                                                                                     ",1
"13","",NA,"< 150 mmhg or diastolic pressure < 90 mmhg at study entry                                                                                                                     ",1
"16","",NA,"readings when randomized to cediranib containing arm                                                                                                                        ",1
"25","",NA,"> = 180 mm hg diastolic blood pressure > = 95 mm hg use of anti hypertensive agents to control hypertension before cycle1 day 1 is allowed pulmonary hypertension uncontrolled asthma or oxygen o2 saturation < 90 by arterial blood gas analysis or pulse oximetry on room air qt syndrome or torsades de pointes significant valvular disease severe regurgitation or stenosis by imaging independent of symptom control with medical intervention or history of valve replacement medically significant symptomatic bradycardia history of arrhythmia requiring an implantable cardiac defibrillator baseline prolongation of the rate corrected qtc qtc e . g . repeated demonstration of qtc interval > = 480 msecs or history of congenital long",1
"31","",NA,"readings if receiving cediranib                                                                                                                           ",1
"39","",NA,"sbp > = 160 mmhg and / or diastolic blood pressure dbp > = 90 mmhg despite antihypertensive medication history of cerebrovascular accident cva within 6 months myocardial infarction or unstable angina within 6 months new york heart association class ii or greater congestive heart failure serious and inadequately controlled cardiac arrhythmia significant vascular disease e . g . aortic aneurysm history of aortic dissection clinically significant peripheral vascular disease                                                       ",1
"41","",NA,"sbp > = 160 mmhg and / or diastolic blood pressure dbp > = 90 mmhg despite antihypertensive medication history of cerebrovascular accident cva within 6 months see additional requirement for adjuvant protocols myocardial infarction or unstable angina within 6 months see additional requirement for adjuvant protocols new york heart association grade ii or greater congestive heart failure serious and inadequately controlled cardiac arrhythmia significant vascular disease e . g . aortic aneurysm history of aortic dissection clinically significant peripheral vascular disease                                           ",1
