"","Blank 1","Frequency","Blank 2","Frequency"
"37","patient must not have human epidermal growth factor 2 positive her2",1,"renal cell carcinoma with the exception of another vegf inhibitor food and drug administration fda approved for advanced rcc i . e . pazopanib bevacizumab sorafenib or axitinib if a patient develops metastatic disease within six months of discontinuation of adjuvant therapy this will constitute one prior systemic therapy for advanced or metastatic renal cell carcinoma rcc if a patient develops metastatic disease and more than six months has elapsed since discontinuation of adjuvant therapy this will not constitute prior systemic therapy for advanced or metastatic rcc patients may have also received prior immunotherapy patients must not have received a met / hepatocyte growth factor hgf inhibitor or sunitinib as prior therapy at least 14 days must have elapsed since completion of prior systemic therapy patients must have recovered from all associated toxicities at the time of registration                                                                                                                                                     ",1
"38","patient must not have received prior endocrine therapy for",1,"or locally advanced disease that progressed after at least one prior therapy note patients who have actionable molecular targets e . g . epidermal growth factor receptor egfr anaplastic lymphoma kinase alk c ros oncogene 1 ros1 mutations must have received when indicated prior appropriate targeted therapy using food and drug administration fda approved agents                                                                                                                                                                                                                                               ",1
"39","cohort 2 patients must have had a complete resection of all sites of",1,"disease unless enrolling in the progressive brain metastases cohort note that endocrine and immunotherapies do not count as cytotoxic regimens                                                                                                                                                                                                                                                                             ",1
"40","patients must have a locally advanced and unresectable or",1,"disease locally advanced disease is defined as disease not amenable to local therapy such as surgery and / or radiation                                                                                                                                                                                                                                                                                     ",1
"41","dose expansion patients must have histologically or cytologically confirmed invasive adenocarcinoma of the breast human epidermal growth factor receptor 2 her2 negative that is locally advanced /",1,"disease unless the patient meets the criteria below                                                                                                                                                                                                                                                                                      ",1
"42","patients with current local loco regional relapse and / or distant",1,"disease within 3 months of the past dose of systemic therapy are eligible                                                                                                                                                                                                                                                                         ",1
"43","no prior cytotoxic chemotherapy for",1,"or non metastatic                                                                                                                                                                                                                                                                   ",1
"44","locally advanced / unresectable as determined by local surgeon or",1,"disease mri mri or computed tomography ct scan within 90 days prior to registration patients with t1 disease must have re resection confirming = < t1 disease within 90 days prior to registration                                                                                                                                                                                                                                                       ",1
"45","patients may have received up to one prior systemic therapy for advanced or",1,"disease and newly diagnosed patients with residual tumor following surgical debulking will be eligible pheo / pgl patients with recurrent or progressive disease will be eligible newly diagnosed patients with pheo / pgl that is metastatic at diagnosis and / or unresectable will be eligible patients with pheo / pgl with localized non metastatic resectable disease will not be eligible renal cell cancer associated with hlrcc patients with localized resectable hlrcc associated renal cell cancer will not be eligible patients with metastatic and / or unresectable hlrcc associated renal cell cancer will be eligible                                                                                                                                                                    ",1
"46","non small cell lung cancer nsclc",1,"disease sites that are technically amenable to stereotactic body radiation therapy sbrt or resection at least one disease site must be amenable to radiation some examples of what constitutes specific radiation treatment sites defining distinct metastatic disease sites are as follows a a lesion in each adrenal gland represents 2 of 3 sites of metastatic disease allowed to be treated on protocol b similarly to nrg study rtog 0631 disease in 2 contiguous vertebral bodies with up to 6 cm of paraspinal extension can represent one site of disease in the spine non contiguous lesions in vertebral bodies separated by one vertebral body free of disease should be viewed as 2 sites of treatment and c two lesions in such close proximity to one another that treatment with one isocenter is more accurate and safer in the liver lungs or other similar anatomic locations should be viewed as one site of metastatic disease treatment .                                                                                                                                    ",1
"47","patients must have had = < 1 prior cytotoxic regimen for",1,"disease at first presentation primary disease must be treatable with local therapy in the form of sbrt or hypofractionated radiation . if the primary disease is found in the peripheral or central lung parenchyma without nodal disease for instance sbrt may be employed at the discretion of the treating institution . if primary disease is more advanced with involvement of the mediastinum t4 tumor n1 n3 disease etc . these volumes should be technically treatable with hypofractionated radiation surgery should only be used for metastatic tumors that can be completely resected by lobectomy segmentectomy or wide wedge resection .                                                                                                                                                                                                ",1
"48","baseline chest computed tomography ct must be performed within 1 month 30 days of randomization to ensure no evidence of disease if clinically indicated additional imaging studies must be performed to rule out",1,"disease or primary disease must be determined by radiation oncologist to be treatable with radiation .                                                                                                                                                                                                                                                                                       ",1
"49","locally advanced or",1,"disease invading the esophagus stomach intestines or mesenteric lymph nodes if not a candidate for surgery for these lesions .                                                                                                                                                                                                                                                                                        ",1
"50","patients must have had one and only one prior regimen of systemic therapy for",1,"disease after first line systemic therapy requiring more than 3 radiation / surgery plans to cover these distinct metastatic disease entities .                                                                                                                                                                                                                                                                            ",1
"51","prior systemic therapy and chemoradiotherapy for treatment of resectable borderline resectable or locally advanced unresectable disease is allowed and does not count toward prior therapy for",1,"outside of the supratentorial region are ineligible                                                                                                                                                                                                                                                              ",1
"52","patients who received systemic therapy with gemcitabine / nab paclitaxel for resectable or borderline / locally advanced unresectable disease and progressed with",1,"disease in the cerebrospinal fluid csf or spine must have mri mri of spine and csf obtained lumbar puncture or through ommaya external ventricular drain evd or shunt with negative cytology patients with csf that is positive for tumor cells or metastatic disease found on mri are ineligible                                                                                                                                                                                                                                                    ",1
"53","patients must have a current diagnosis of breast cancer non small cell lung cancer or colorectal cancer the current diagnosis may be an initial diagnosis or recurrence and / or progression of previously diagnosed disease cancer may be",1,"and measurable asps will also be eligible if they show clinical evidence of disease progression including history and increasing physical symptoms on study documentation will include a physicianï s rationale that supports evidence of clinical disease progression i . e . increasing tumor pain                                                                                                                                                                                                                                                           ",1
"54","patients with t1 disease must have cross sectional imaging of abdomen / pelvis demonstrating no evidence of nodal involvement or",1,"disease metastatic disease refers to disease outside the gastrointestinal gi tract not simply a multifocal primary tumor testing performed by the laboratory of pathology national cancer institute nci unless previously conducted by a clia / college of american pathologists cap external laboratory analysis will include evaluation of 4 exons of kit 9 11 13 17 and 3 exons of pdgfra 12 14 18                                                                                                                                                                                                  ",1
"56","have recurrent or refractory / unresectable disease for which there is no known curative therapy wild type gist patients with recurrent or progressive disease will be eligible newly diagnosed patients with resectable localized disease will not be eligible newly diagnosed patients with",1,"unresectable progressive or if complete tumor resection is not considered to be feasible without substantial risk or morbidity                                                                                                                                                                                                                                                                                   ",1
"57","patients must have measurable disease at baseline and 3 or fewer discrete extracranial",1,"disease at the time of registration based on clinician assessment of imaging the treating physician will determine if incidental lesions on imaging require workup to exclude metastatic disease if based on review of images the treating physician determines the patient to be stage iii then the patient is eligible                                                                                                                                                                                                                                                  ",1
"58","for de novo stage iv nsclc patients patients with",1,"disease i . e . must be m0 patients must not have locally recurrent disease                                                                                                                                                                                                                                                                                         ",1
"59","at least one site of",1,"meningioma                                                                                                                                                                                                                                                                                                        ",1
"61","patients with more than 3 discrete locations of extra cranial",1,"or unresectable and for which standard curative measures or other therapy definitely capable of extending life expectancy does not exist                                                                                                                                                                                                                                                                            ",1
"62","subjects must have bi dimensionally measurable disease defined as at least one lesion that can be accurately measured in at least two planes this disease must be located primarily in the supratentorial region patients with significant disease that is",1,"or unresectable for which standard curative or palliative measures do not exist or are no longer effective and for which there is expectation of response to the combination of carboplatin / paclitaxel i . e . lung ovarian breast melanoma head and neck endometrial urothelial testicular esophageal carcinoma of unknown primary for indications not listed eligibility based on disease must be verified by the principal investigator before they are considered                                                                                                                                                                                                                           ",1
"63","patients for who clinical suspicion is present of",1,"or unresectable for which standard curative measures do not exist or are associated with minimal patient survival benefit                                                                                                                                                                                                                                                             ",1
"66","patients must have a histologically or cytologically confirmed measurable gist without Platelets derived growth factor receptor alpha polypeptide pdgfra or kit proto oncogene receptor tyrosine kinase kit mutations gist may be newly diagnosed or recurrent provided that it meets criteria for progressive or",1,"histologically or cytologically confirmed uveal melanoma if histologic or cytologic confirmation of the primary is not available confirmation of the primary diagnosis of uveal melanoma by the treating investigator can be clinically obtained as per standard practice for uveal melanoma pathologic confirmation of diagnosis will be performed at columbia university memorial sloan kettering cancer center mskcc or vanderbilt university medical center                                                                                                                                                                                                                                            ",1
"67","patients will be eligible if tumor is",1,"unresectable progressive or recurrent and for which standard curative measures do not exist or are no longer effective patients with a liver mass raised alpha fetoprotein level > = 500 ng / ml and positive serology for hepatitis consistent with a diagnosis of hepatocellular carcinoma will be eligible without the need for pathologic confirmation of the diagnosis patients with prostate cancer renal cell cancer neuroendocrine tumors lung cancer colorectal cancers soft tissue sarcomas glioma and thyroid cancer are excluded in the normal and mild cohorts due to a lack of efficacy in these tumor types in phase 2 studies patients with breast pancreatic bladder head and neck cancers as well as melanoma and other malignancies are eligible note patients with prostate cancer renal cell cancer lung cancer colorectal cancers soft tissue sarcomas glioma and thyroid cancer are allowed to enroll in the moderate and severe cohorts provided the patients sign a separate consent form which outlines the lack of efficacy observed in prior studies are consented to the study by a protocol specified designee who is not their longitudinal oncologist patients with neuroendocrine tumors are still excluded from the moderate and severe cohorts note as romidepsin is approved for patients with relapsed or refractory peripheral t cell lymphoma ptcl or cutaneous t cell lymphoma ctcl these patients would be eligible without the requirement of having ï relapsed within 6 months of last treatmentï",1
"68","known",1,"and for which standard curative measures do not exist                                                                                                                                                                                                                                                                                       ",1
"69","no evidence of residual involved lymph node disease or",1,"or unresectable and for which standard treatment that prolongs survival does not exist or is no longer effective                                                                                                                                                                                                                                                                              ",1
"71","patients must not have",1,"or unresectable non small cell lung cancer head and neck cancer urothelial transitional cell carcinoma or breast cancer whose disease has progressed after at least one line of standard therapy                                                                                                                                                                                                                                                                         ",1
"72","definitive evidence of",1,"endometrial cancer eligible histologies for the experimental cohort are endometrioid or serous eligible histologies for the exploratory cohort are carcinosarcoma clear cell mixed adenosquamous and any other rare sub type of endometrial cancer                                                                                                                                                                                                                                                                    ",1
"75","patients must have histologically or cytologically confirmed diagnosis of malignancy that is",1,"unresectable progressive or recurrent and for which standard curative or palliative measures do not exist or are no longer effective patients with hepatocellular carcinoma do not require biopsy confirmation a liver mass with raised alpha fetoprotein level > = 500 ng / ml consistent radiographic changes and serology and viral deoxyribonucleic acid dna / ribonucleic acid rna measurements consistent with chronic hepatitis will be sufficient to identify hepatocellular carcinoma without the need for pathologic confirmation of the diagnosis patients with hepatocellular carcinoma must still however have disease that has failed standard therapy having chronic hbv or c will not exclude patients from participating                                                                                                                                                                           ",1
"76","patients enrolled on the dose escalation for intermittent abt 888 portion of the study must histologically or cytologically confirmed diagnosis of malignancy that is",1,"alveolar soft part sarcoma that is not curable by surgery diagnosis of malignancy must be confirmed by the department of pathology at the institution where the patient is enrolled prior to patient enrollment                                                                                                                                                                                                                                                                      ",1
"77","phase i adult patients with histologically confirmed solid tumor malignancy that is",1,"or unresectable and for which standard curative or palliative measures do not exist or are associated with minimal patient survival benefit as defined the lymphoid malignancies branch physicians or if the patient refuses standard of care treatment enrollment of patients with tumors that can be safely biopsied is encouraged                                                                                                                                                                                                                                       ",1
"78","patients must have histologically confirmed malignancy that is radiologically evaluable and",1,"malignant melanoma                                                                                                                                                                                                                                                                                                ",1
"79","patients must have histologically documented confirmed at the laboratory of pathology national cancer institute nci relapsed solid tumor malignancy or hodgkin s disease / non hodgkin lymphoma that is",1,"or unresectable and for which standard curative measures do not exist or are no longer effective                                                                                                                                                                                                                                                                                    ",1
"81","patients must have histologically or cytologically confirmed at original diagnosis or subsequent recurrence or progression lymphoma chronic lymphocytic lymphoma cll or solid tumor patients with lymphoma or cll must have radiologically or clinically evaluable disease and be refractory to standard therapy as defined by relapse within 6 months of last treatment see note below patients with solid tumors must have radiologically or clinically evaluable disease that is",1,"or unresectable for which standard curative or palliative treatments do not exist or are no longer effective hepatocellular carcinoma hcc patients are not required to have histologically or cytologically confirmed malignancy patients are considered eligible based on tumor markers and / or imaging assessment patients with the following tumor types will be excluded from the normal and mild cohorts pancreatic cancer patients colorectal cancer patients braf v600e melanoma patients who have failed braf inhibitors note patients with pancreatic cancer colorectal cancer and braf v600e melanoma patients who have failed braf inhibitors are allowed to enroll in the moderate and severe cohorts provided the patients 1 sign a separate consent form which outlines the extremely limited activity observed in prior studies and 2 are consented to the study by a protocol specified designee who is not their longitudinal oncologist                                                                                                                                                      ",1
"82","histologically confirmed epithelial ovarian primary peritoneal or fallopian tube malignancy that is",1,"cancer that is refractory to standard therapy or relapsed after standard therapy patients must have histologically confirmed malignancy that is metastatic or unresectable and for which standard curative or palliative measures do not exist or are no longer effective                                                                                                                                                                                                                                                                 ",1
"83","patients must have histologically or cytologically confirmed soft tissue sarcoma that is",1,"disease from any solid tumor in dose expansion patients must have histologically or cytologically confirmed metastatic melanoma renal cell carcinoma ovarian cancer or colorectal cancer                                                                                                                                                                                                                                                                         ",1
"84","patients must have histologically documented",1,"mcLms or unresectable primary mcLms                                                                                                                                                                                                                                                                                     ",1
"86","patients except those with hepatocellular carcinoma must have histologically or cytologically confirmed at original diagnosis or subsequent recurrence or progression solid tumor or lymphoma that is",1,"or locally recurrent uveal melanoma because histologic or cytologic confirmation of primary uveal melanoma is not always possible confirmation of the clinical diagnosis of uveal melanoma by the treating investigator is allowed clinical diagnosis of uveal melanoma is often made by an ophthalmologist not by tissue diagnosis if an ophthalmologist diagnosed and treated a patient for uveal melanoma in the past it is sufficient for a clinical diagnosis                                                                                                                                                                                                                                 ",1
"88","patients must have histologically confirmed by the national cancer institute nci pathology department solid tumor malignancy or lymphoma that is",1,"disease as above                                                                                                                                                                                                                                     ",1
"89","study participants must have histologically or cytologically confirmed unresectable or",1,"or unresectable and for which standard curative or palliative measures do not exist or are no longer effective participants with uncontrolled kaposi sarcoma are permitted ks must be increasing despite haart and hiv suppression for > = 2 months or stable ks despite haart for > = 3 months for participants in the 24 participant solid tumor cohort only those histologies not known to respond to single agent nivolumab such as pancreas prostate and microsatellite stable mss colorectal cancer will be excluded for participants in the relapsed refractory hiv chl expansion cohort participants must have histologically confirmed relapsed / refractory defined as relapsed / refractory to one or greater lines of therapy hiv associated classical hodgkin lymphoma                                                                                                                                                                             ",1
"90","patients must have histologically confirmed malignancy that is",1,"or unresectable and for whom either standard curative or palliative measures do not exist or are no longer effective or for whom anti pd l1 / cytotoxic t lymphocyte antigen ctla 4 is appropriate                                                                                                                                                                                                                                                            ",1
"91","patients must have a histologically or cytologically confirmed solid malignancy that is",1,"histologically confirmed non small cell lung cancer nsclc                                                                                                                                                                                                                                                                                             ",1
"92","estrogen receptor er and / or progesterone receptor pr positive histologically confirmed adenocarcinoma of the breast with staining of > = 1 cells will be considered positive receptor status may be based on any time during treatment prior to study randomization and from any site i . e . primary recurrent or",1,"or unresectable malignancy of the following types a non small cell lung cancer nsclc b triple negative breast cancer tnbc defined by estrogen receptor er < 1 progesterone receptor pr < 1 and her2 1 or less by immunohistochemistry ihc if her 2 expression is 2 a negative fluorescence in situ hybridization fish testing is required c pancreatic adenocarcinoma pdac or d small cell lung cancer sclc                                                                                                                                                                                                                                    ",1
"93","for dose escalation cohort patients must have histologically confirmed malignancy that is",1,"histologically or cytologically confirmed non squamous nsclc                                                                                                                                                                                                                                                                                              ",1
"94","patients with advanced or",1,"urothelial carcinoma urothelial cancer derived from the bladder ureter or upper tract is permitted                                                                                                                                                                                                                                                                                       ",1
"95","pathologically confirmed",1,"or locally advanced disease not amenable to surgical resection note a designation of type i or type ii should be made by the local pathologist if possible mixed histologies containing type i or type ii will be allowed provided that they contain > = 50 of the papillary component                                                                                                                                                                                                                                             ",1
"96","in dose escalation patients must have histologically or cytologically confirmed",1,"melanoma from unknown primary are allowed                                                                                                                                                                                                                                                                                                ",1
"97","patients must have histologically or cytologically confirmed advanced leiomyosarcoma of the uterus ulms advanced mcLms is defined as",1,"or unresectable malignancy that is refractory to standard therapy or for which no standard therapy exists and where irinotecan is deemed a reasonable treatment option                                                                                                                                                                                                                                                                              ",1
"99","patients must have histologically or cytologically confirmed advanced incurable cancers of the esophagus liver stomach small bowel pancreas bile duct colon or rectum and be eligible to receive chest abdominal and / or pelvic radiation therapy rt for palliation documentation of this is required in physician note concomitant systemic therapy is not allowed during administration of palliative rt palliative rt can be considered for advanced primary tumors or",1,"and for which curative measures do not exist pathology must be reviewed and confirmed at mayo clinic department of pathology the histology can be confirmed from tissue that was taken at the time of diagnosis a biopsy at the time of recurrence prior to enrollment on study is not required                                                                                                                                                                                                                                           ",1
"100","histologically confirmed",1,"or unresectable and for which standard of care therapy does not exist or is no longer effective                                                                                                                                                                                                                                                                                ",1
"101","participants must have histologically confirmed solid tumor malignancy that is",1,"histologically confirmed low or intermediate grade klimstra criteria pancreatic neuroendocrine tumor pnet with radiological evidence of disease progression since last treatment                                                                                                                                                                                                                                                                                  ",1
"102","dose escalation patients must have histologically or cytologically confirmed solid tumor malignancy that is",1,"disease and patients with an in breast recurrence are not eligible up to 4 prior lines in the recurrent setting for patients with triple negative breast cancer are allowed                                                                                                                                                                                             ",1
"105","patients must have histologically confirmed solid tumor that is",1,"setting no additional requirements for tumor size or nodal involvement is needed c if the treatment is in the neoadjuvant setting the tumor must also be high risk locally advanced rectal cancer defined as t3 4 n and / or at risk for a positive radial margin as determined by the surgeon                                                                                                                                                                                                                ",1
"107","histologically confirmed non squamous nsclc with incurable advanced or",1,"or locally advanced unresectable                                                                                                                                                                                                                                                                                               ",1
"109","patients must have histologically or cytologically confirmed papillary histology renal cell carcinoma which is",1,"",NA
"110","histologically confirmed melanoma of cutaneous primary",1,"",NA
"112","histologically confirmed high grade serous or endometrioid ovarian peritoneal or fallopian tube malignancy that is",1,"",NA
"113","histologically or pathologically confirmed malignancy hematologic or solid tumor that is",1,"",NA
"114","patients must have unresectable or",1,"",NA
"115","for the dose escalation cohort patients must have histologically or cytologically confirmed malignancy that is",1,"",NA
"116","for the dose expansion cohort participants must have histologically or cytologically confirmed diagnosis of either ovarian fallopian tube or primary peritoneal cancer of high grade serous histology which has recurred despite standard therapy up to 3 prior lines in the platinum resistant setting i . e . up to 3 lines after patients have become platinum resistant patients may have received unlimited lines while platinum sensitive triple negative breast cancer tnbc which has recurred despite standard therapy recurrent tnbc needs to have",1,"",NA
"117","patients must have histologically or cytologically confirmed a low lying i . e . = < 6 cm from the anal verge rectal adenocarcinoma eligible for concurrent chemoradiation therapy to rectal tumor b if the treatment is palliative in the",1,"",NA
"118","patients must have histologically confirmed epithelioid hemangioendothelioma which is",1,"",NA
