"","Blank 1","Frequency","Blank 2","Frequency"
"123","patient is receiving another",1,"or biologic agent > = 7 days prior to study registration in the event that a subject has received an investigational or biologic agent and has experienced > = grade 2 myelosuppression then at least three 3 weeks must have elapsed prior to registration if the investigational or biologic agent has a prolonged half life > = 7 days then at least three 3 weeks must have elapsed prior to registration                                                                                                      ",1
"124","patients who have previously received temsirolimus another mtor inhibitor or any other",1,"agents patients are eligible to enroll 4 weeks after completion of prior agent                                                                                                                                                                 ",1
"128","patients may not have received any other",1,"or biologic agent has a prolonged half life then at least three 3 weeks interval is required                                                                                                                 ",1
"129","have received any",1,"agent unless specified in protocol                                                                                                                                                                       ",1
"130","patients may not be planning to receive any other",1,"agent s                                                                                                                                                                             ",1
"131","participants who received",1,"agent or using an investigational device within 4 weeks of the first dose of treatment                                                                                                                                                        ",1
"133","participants who received any other chronic defined as more than 50 of the time in the last 6 months systemic immunomodulatory agents replacement doses of steroids for adrenal insufficiency are permitted or treatment with prednisone = < 5 mg / day receipt of",1,"agents if the patient received a previous investigational or other agent or treatment a washout period of 4 weeks is required                                                                                                                                                          ",1
"134","concurrent administration of any other",1,"agent within 3 weeks prior to initiation of study therapy                                                                                                                                                                          ",1
"137","patients must not be planning to receive any other",1,"agent within 21 days prior to registration                                                                                                                                                                             ",1
"139","use of any",1,"agent for the treatment of cancer                                                                                                                                                                           ",1
"141","any other",1,"agents and may not have participated in a study of an investigational agent or using an investigational device within five half lives of the compound or 3 months whichever is greater                                                                                                                                               ",1
"142","patients should not have received any other",1,"agents within 4 weeks of study entry                                                                                                                                                                       ",1
"144","patients must not be receiving or planning to receive any other",1,"new drug within the past 30 days or planning to receive such during the study period                                                                                                                                                                  ",1
"145","concurrent anticancer therapy including other",1,"agents other than investigational antiretroviral agents for hiv within the 4 weeks before randomization unless approved by the study chair                                                                                                                                                              ",1
"146","concomitant therapy with any anticancer agents immunosuppressive agents other",1,"agents or who have received pomalidomide in the past                                                                                                                                                                      ",1
"147","patients must not have received radiation therapy non cytotoxic agents or",1,"agents within the 4 weeks before randomization enrollment other than investigational antiretroviral agents for hiv and investigational or approved agents for hcv are also exclusionary                                                                                                                 ",1
"148","participants should not have received any other",1,"agents while on study or within four weeks prior to registration                                                                                                                                                                    ",1
"152","patients who have received any other",1,"agents within 4 weeks prior to enrollment investigational antiretroviral agents for hiv are acceptable                                                                                                                                                                 ",1
"3","",NA,"agents during the course of protocol treatment                                                                                                                                                                     ",1
"5","",NA,"agents while on study or within four weeks prior to randomization                                                                                                                                                                    ",1
"6","",NA,"product within 4 weeks prior to randomization                                                                                                                                                                           ",1
"7","",NA,"agents all investigational agents other than ibrutinib must have been discontinued at least 4 weeks prior to beginning treatment prior ibrutinib therapy must have been discontinued at least 2 weeks prior to beginning therapy                                                                                                                                             ",1
"8","",NA,"anticancer therapies                                                                                                                                                                          ",1
"11","",NA,"agents or systemic corticosteroids within 14 days prior to registration                                                                                                                                                                ",1
"13","",NA,"agents within the past 28 days prior to cycle 1 day 1                                                                                                                                                                   ",1
