"","Blank 1","Frequency","Blank 2","Frequency"
"20","patients must have newly diagnosed active multiple myeloma mm except where otherwise indicated below that assessment is required within 14 days all tests for establishing baseline disease status must be completed within 28 days prior to registration for patients with no prior",1,"and concomitant temozolomide at least 28 days but no more than 49 days prior to starting treatment on this study patients must have received at least 80 of planned temozolomide and radiation therapy with no grade 3 or grade 4 toxicity except lymphopenia attributed to the temozolomide arm 2 patients may not have received any other prior chemotherapy immunotherapy or therapy with biologic agent including immunotoxins immunoconjugates antisense peptide receptor antagonists interferons interleukins til lak or gene therapy or hormonal therapy for their brain tumor prior gliadel wafers are allowed glucocorticoid therapy is allowed                                                                                                                                                                                    ",1
"21","patients must have at least one of the following recurrent / progressive disease at any time prior to enrollment regardless of response to frontline",1,"regimens                                                                                                                                                                                                                                                                                     ",1
"22","a minimum of 6 weeks must have elapsed after 131i mibg",1,"either with all or with a portion of the neoadjuvant chemotherapy regimen therapy must be food and drug administration fda approved targeted anti her2 therapy but additional therapies are allowed as are non trastuzumab regimens if administered in the context of an institutional review board irb approved clinical trial                                                                                                                                                                                                                         ",1
"23","all cytokines or hematopoietic growth factors must be discontinued a minimum of 7 days prior to protocol",1,"nsclc post at least two lines of therapy or granulosa cell ovarian cancer post at least one line of therapy patients must have measurable disease                                                                                                                                                                                                                                                         ",1
"24","more than 4 prior chemotherapy regimens note repeat use of regimens count as 1 prior regimen switching front line",1,"eligible subjects must have had 1 line of systemic cytotoxic treatment this may be adjuvant therapy with documented progression within 12 months of completion or 1 line of cytotoxic therapy for metastatic disease note eligible patients are allowed up to 2 lines of systemic cytotoxic treatment of which only 1 line is allowed for metastatic disease the acceptance of progression within 12 months of adjuvant is part inclusion to not require patient to re challenge with chemotherapy chemo if they progressed soon after adjuvant therapy prior hormonal therapy for metastatic / recurrent disease is also allowed prior targeted therapy not directed against cmet or vascular endothelial growth factor vegf pathways is allowed                                                                                                                                                                             ",1
"25","patients must start",1,"patients must be off anti androgen therapy for at least 30 days                                                                                                                                                                                                                                                                              ",1
"26","laboratory values must be no older than seven 7 days prior to the start of",1,"or history of clinically significant autoimmune disease as defined by previously requiring immunosuppressive therapy                                                                                                                                                                                                                                                                          ",1
"28","patients must have completed planned local",1,"must have been completed at least 21 days prior to enrollment no concomitant anti lymphoma therapy including systemic corticosteroids for the purpose of treatment of lymphoma are allowed topical steroids are allowed                                                                                                                                                                                                                                                            ",1
"29","note concomitant treatment with ongoing trastuzumab herceptin or other targeted / biologic agents is allowed concomitant treatment with any other type of chemotherapy or hormonal",1,"chemotherapy immunotherapy biologic therapy or combination regimens all adverse events associated with prior treatment must have resolved to = < grade 1 prior to registration                                                                                                                                                                                                                                                               ",1
"30","patients must not have received prior ai",1,"chemotherapy biotherapy hormonal therapy or investigational agent prior to study entry                                                                                                                                                                                                                                                                            ",1
"31","patients going on arm 1 or combination dose cohort must not have received prior radiation",1,"with anti angiogenic agents is permitted                                                                                                                                                                                                                                                                                       ",1
"32","patients going on arm 2 must have received planned treatment with radiation",1,"with belinostat                                                                                                                                                                                                                                                                                           ",1
"33","patients may have an unlimited number of prior",1,"chemotherapy hormonal therapy directed at the tumor immunotherapy or biologic therapy                                                                                                                                                                                                                                                                                 ",1
"34","patients with her 2 positive tumors must have received neoadjuvant trastuzumab or trastuzumab pertuzumab or other approved anti her 2",1,"for prostate cancer will not need to discontinue this therapy to be eligible however patients with prostate cancer will need to have metastatic prostate cancer that has progressed despite hormonal therapy castrate testosterone levels occur within hours after castration and within 2 to 3 weeks of a luteinizing hormone releasing hormone agonist the current standard is to continue androgen suppression despite progressive disease                                                                                                                                                                                                                      ",1
"35","phase ii histologically confirmed colorectal adenocarcinoma post at least two lines of",1,"within 3 weeks prior to the start of therapy with the exception of physiological replacement doses of cortisone acetate or equivalent                                                                                                                                                                                                                                                                  ",1
"37","no ongoing anti androgen",1,"including other investigational agents with the exception of hormone therapy for prostate cancer                                                                                                                                                                                                                                                                               ",1
"38","active as defined by requiring immunosuppressive",1,"for multiple myeloma where a line of therapy for myeloma is defined as 1 or more planned cycles of single agent or combination therapy as well as a planned series of treatment regimens administered in a sequential manner e . g . lenalidomide bortezomib and dexamethasone induction therapy for 4 cycles followed by autologous stem cell transplantation and then lenalidomide maintenance therapy would be considered 1 line of prior therapy a new line of therapy begins when a planned therapy is modified to include other treatment agents alone or in combination as a result of disease progression disease relapse or treatment related toxicity e . g . a patient is progressing in the face of lenalidomide maintenance therapy and has bortezomib and dexamethasone added into their regimen a new line of therapy also begins when a planned treatment free interval is interrupted by the need to start treatment due to disease relapse / progression e . g . a patient with relapsed myeloma achieves a partial response after a planned 8 cycles of cyclophosphamide bortezomib and dexamethasone enjoys an 8 month period off therapy but then experiences disease progression requiring re initiation of therapy                                                                                       ",1
"39","relapsed or refractory after at least 1 front line",1,"prior treatment with interferon in the adjuvant setting is allowed though prior treatment with ipilimumab in the adjuvant setting is not prior radiation therapy is allowed though must have included no more than 3000 centigray cgy to fields including substantial marrow                                                                                                                                                                                                     ",1
"40","all prior",1,"is allowed if given < 3 months prior to initiation of this protocol therapy a diagnostic study using < 10 mci of radioactive iodine rai is not considered radioactive iodine therapy no external beam radiation therapy < 4 weeks prior to initiation of therapy on this protocol no chemotherapy or targeted therapy e . g . tyrosine kinase inhibitor is allowed < 4 weeks prior to the initiation of therapy                                                                                                                                                                                                            ",1
"41","patients may have received prior systemic",1,"was completed > = 6 months prior to study enrollment                                                                                                                                                                                                                                                                             ",1
"42","treatment for this cancer including surgery radiation",1,"requirements at least one prior therapy using an agent with the potential for prolonged remission generally includes interleukin 2 checkpoint blocking antibodies or adoptive cell therapy at least 4 weeks from last dose of prior chemotherapy or immunomodulator therapy with resolution of the acute toxicities for patients coming off molecularly targeted therapy at least 2 weeks since last dose and recovery from laboratory and constitutional toxicities patients must meet entry eligibility criteria at least 2 weeks from completion of prior radiation therapy with no residual radiation toxicities at least 4 weeks from last dose of prior investigational therapy with recovery to meet baseline eligibility criteria not receiving any current anticancer therapy note any patient whose tumors carry a b raf proto oncogene serine / threonine kinase braf v600 mutation should either be excluded or may be included after experiencing progression following treatment with braf inhibitor regimen or if they consent and agree to forgo food and drug administration fda approved therapies that increase median survival                                                                                                                        ",1
"46","patients on bisphosphonates for any cancer or on hormone",1,"within 30 days prior to initiation of protocol therapy                                                                                                                                                                                                                                                                                    ",1
"49","1 prior line of systemic",1,"chemotherapy with delayed toxicity extensive radiation therapy immunotherapy biologic therapy or vaccine therapy within the last 3 weeks prior to first dose of dabrafenib and / or trametinib chemotherapy regimens without delayed toxicity within the last 2 weeks preceding the first dose of study treatment biologics will not be allowed within 30 days prior to or during navitoclax administration                                                                                                                                                                                                            ",1
"50","study participants must have completed any prior treatment at least 3 weeks prior to treatment on this protocol prior treatments may have included chemotherapy however may not have included braf or mek inhibitors or immunotherapies interleukin 2 ipilimumab anti programmed death pd 1 antibodies etc . excluding vaccine",1,"interleukin il 2 interferon immunosuppressive agents or chronic use of systemic corticosteroids used in the management of cancer or non cancer related illnesses                                                                                                                                                                                                                                                              ",1
"52","no recent treatment for thyroid cancer as defined as no radioactive iodine",1,"for treatment of endometrial carcinoma all hormonal therapy must be discontinued at least one week prior to the first date of study therapy                                                                                                                                                                                                                                                                 ",1
"54","prior administration of anthracyclines is acceptable if",1,"e . g . interferons                                                                                                                                                                                                                                                                                   ",1
"55","current use of statin",1,"radiotherapy unless palliative doses which must be discussed with study principal investigator surgery anti angiogenic therapy or interferon > = 28 days before study entry                                                                                                                                                                                                                                                            ",1
"57","chronic systemic or regular inhaled corticosteroid use within 7 days prior to initiation of protocol",1,"chemotherapy with delayed toxicity extensive radiation therapy immunotherapy biologic therapy or vaccine therapy within the last 3 weeks prior to day 1 of cycle 1 patients are permitted to be on dabrafenib and trametinib standard of care at start of therapy without wash out period prior to day 1 of cycle 1 dosing will change to protocol determined dose levels on day 1 of cycle 1                                                                                                                                                                                                                     ",1
"58","immunosuppressive",1,"to index lesions > = 28 days prior to registration on this protocol if there has been documented progression by recist criteria prior radiation therapy to the non index lesions is allowed if > = 28 days prior to registration on this protocol prior rai therapy is allowed if > = 90 days prior to registration on this protocol and evidence of progression as defined above has been documented in the interim a diagnostic study using < 10 mci of rai is not considered rai therapy prior chemotherapy is allowed if > = 28 days prior to registration on this protocol patient may have received any number of prior lines of therapy no prior use of sorafenib or an mammalian target of rapamycin mtor including phosphoinositide 3 kinase pi3k or protein kinase b akt inhibitor for the treatment of thyroid cancer                                                                                                                                         ",1
"59","patients who have had immunotherapy chemotherapy or radiotherapy within 14 days prior to the first dose of navitoclax or prior systemic anti cancer",1,"for any stage of disease stages i iv and must have progressed during or following their most recent line of therapy for patients whose prior systemic therapy was for stage i iii disease only i . e . patient has not received any treatment for stage iv or recurrent disease the prior systemic therapy must have been a platinum based chemotherapy regimen and disease progression on the platinum based chemotherapy must have occurred within one year from the last date that patient received that therapy for patients whose prior therapy was for stage iv or recurrent disease the patient must have received at least one line of a platinum based chemotherapy regimen or checkpoint inhibitor therapy e . g . nivolumab or pembrolizumab pre screening prior to progression on current treatment to be eligible for pre screening current treatment must be for stage iv or recurrent disease and patient must have received at least one dose of the current regimen patients must have previously received or currently be receiving a platinum based chemotherapy regimen or checkpoint inhibitor therapy e . g . nivolumab or pembrolizumab patients on first line platinum based treatment are eligible upon receiving cycle 1 day 1 infusion note patients will not receive their sub study assignment until they progress and the s1400 notice of progression is submitted",1
"60","patients who have received any of the following concomitant",1,"for cancer treatment concurrent use of hormones for non cancer related conditions e . g . insulin for diabetes and hormone replacement therapy is acceptable                                                                                                                                                                                                                                                       ",1
"62","concurrent systemic corticosteroids cytokines and immunomodulatory",1,"patients must have recurred or progressed following at least one platinum based chemotherapy regimen patients may have received an unlimited number of prior therapy regimens patients may not have received all of the five choices in the ï standard therapyï arm any hormonal therapy directed at the malignant tumor must be discontinued at least one week prior to registration any other prior therapy directed at the malignant tumor including chemotherapy and radiation therapy must be discontinued at least 4 weeks prior to registration any investigational agent must be discontinued at least 28 days prior to registration                                                                                                                                                                                             ",1
"63","all patients must have completed any prior chemotherapy targeted",1,"at least 14 days since the completion of cytotoxic therapy with the exception of hydroxyurea which is permitted up to 24 hours prior to the start of protocol therapy or maintenance chemotherapy or intrathecal chemotherapy methotrexate strongly preferred administered at the time of the required diagnostic lumbar puncture to establish baseline cns status                                                                                                                                                                                                                                        ",1
"64","patients who received prior systemic anti cancer",1,"= < 6 months except as a radiosensitizer                                                                                                                                                                                                                                                                                   ",1
"65","there is no limitation in the number of prior lines of",1,"with or without prior endocrine therapy for advanced disease note in either setting treatment with any prior endocrine therapy must be completed > = 2 weeks prior to course 1 day 1 c1d1 of study treatment with the exception of exemestane which is permitted in the advanced disease setting within = < 4 weeks immediately prior to c1d1 prior adjuvant exemestane is allowed if the disease free interval is > = 12 months from the discontinuation of exemestane prior faslodex everolimus palbociclib or other cyclin dependent kinase cdk inhibitor e . g . ribociclib abemaciclib use are allowed and must have been completed > = 2 weeks prior to c1d1 failure to adhere to this washout guideline will result in a protocol violation                                                                                                                         ",1
"66","prior treatment patients may have received prior radiation",1,"patients with acute lymphoblastic leukemia may receive intrathecal therapy                                                                                                                                                                                                                                                        ",1
"67","patients must either be eligible to be screened at progression on prior treatment or to be pre screened prior to progression on current treatment patients will either consent to the screening consent or the pre screening consent not both these criteria are screening at progression on prior treatment to be eligible for screening at progression patients must have received at least one line of systemic",1,"is allowed < 6 months prior to initiation of therapy on this protocol a diagnostic study using < 10 millicurie mci of rai is not considered rai therapy no external beam radiation therapy < 4 weeks prior to initiation of therapy on this protocol previous treatment with radiation for any indication is allowed if the investigator judges that the previous radiation does not significantly compromise patient safety on this protocol no chemotherapy or targeted therapy e . g . tyrosine kinase inhibitor is allowed < 4 weeks prior to the initiation of therapy on this protocol                                                                                                                                                                                  ",1
"68","patients must have progressed in the opinion of the treating investigator following the most recent line of",1,"radiation therapy major surgery other investigational or anti cancer therapy that is considered disease directed                                                                                                                                                                                                                                                                     ",1
"69","patients must not be planning to receive any concurrent chemotherapy immunotherapy biologic or hormonal",1,"other than corticosteroids e . g . cyclosporine a tacrolimus etc . within 28 days of the first dose of study drug                                                                                                                                                                                                                                                                     ",1
"71","no waiting period for patients who relapse while receiving standard maintenance",1,"chemotherapy anti endocrine therapy anti her2 or other standard targeted therapy for metastatic breast cancer must be given or planned to be given if given before study entry it cannot have exceeded a duration of 12 months at the time of registration note sequencing of ablative therapy surgery or sbrt relative to systemic therapy for patients randomized to arm 2 is at the discretion of the treating physician                                                                                                                                                                                                        ",1
"72","cytotoxic",1,"therapy i . e . within 6 months of last platinum therapy patients who received greater than two prior platinum containing regimens will not be eligible                                                                                                                                                                                                                                                            ",1
"73","no prior taxane",1,"or any other form of immunosuppressive therapy within 7 days prior to the first dose of trial treatment                                                                                                                                                                                                                                                                  ",1
"74","patients must meet at least one of the following criteria disease progression any time after non steroidal aromatase inhibitor ai use in the advanced disease setting relapse while on or within = < 12 months of end of adjuvant non steroidal ai",1,"is allowed however it should be noted that lumbar puncture and intrathecal therapy at initial diagnosis of apl is not recommended                                                                                                                                                                                                                                                           ",1
"75","patients who are currently receiving other anti cancer agents are not eligible except leukemia patients receiving hydroxyurea which may be continued until 24 hours prior to start of protocol",1,"for advanced or metastatic disease including chemotherapy or egfr tyrosine kinase inhibitor therapy including gefitinib erlotinib afatinib or any experimental egfr tyrosine kinase inhibitors tki agents prior chemotherapy for non metastatic disease i . e . adjuvant therapy or concurrent chemo radiotherapy is allowed as long as > = 12 months has passed since completion of therapy adjuvant egfr directed therapy is not allowed local therapy i . e . palliative radiotherapy is allowed as long as a period of 7 days has passed since the last dose was received and the patient has recovered from any associated toxicity at the time of registration                                                                                                                                                                             ",1
"76","no recent treatment for thyroid cancer as defined as no prior rai",1,"consolidation biologic / targeted non cytotoxic agents or extended therapy maintenance / consolidation administered after surgical or non surgical assessment patients are allowed to have received but are not required to have received one to two cytotoxic regimens for management of recurrent or persistent disease for the purposes of this study poly adenosine diphosphate adp ribose polymerase parp inhibitors given for recurrent or progressive disease will be considered cytotoxic parp inhibitors given as maintenance therapy in continuation with management of primary disease will not be considered as a separate cytotoxic regimen if two cytotoxic regimens had been received for management of recurrent or persistent disease one of these regimens would have had to contain either a platinum or a taxane agent                                                                                                                          ",1
"77","at least 2 weeks have passed since prior chemotherapy biological",1,"for brain metastasis including radiosurgery and surgical resection patients must have completed prior therapy by at least 14 days prior to step 2 for surgical resection and 7 days for radiosurgery                                                                                                                                                                                                                                                          ",1
"78","concurrent systemic immunosuppressant",1,"radiotherapy except palliative radiation therapy of 30 gray gy or less or major surgery must have been completed > = 4 weeks prior to start of treatment all adverse events due to prior therapy have resolved to a grade 1 or better except alopecia and lymphopenia by start of treatment palliative radiation therapy must have been completed at least 2 weeks prior to start of treatment the radiotherapy must not be to a lesion that is included as measurable disease note prostate cancer patients may continue their luteinizing hormone releasing hormone lhrh agonist note patients may receive non protocol treatment after biopsy if clinically indicated until they receive notification of results however lack of response must be documented prior to registration to step 1 new non protocol treatment will not be permitted as intervening therapy after registration to step 0 the decision to stop the intervening non protocol treatment will be left up to the treating physician if patient has an amoi however patients will need to be off such therapy for at least 4 weeks before receiving any match protocol treatment note for patients entering the study via a designated outside laboratory no intervening systemic non protocol treatment is permitted after step 0 registration all other eligibility requirements still apply to these patients including the washouts for prior therapy noted above in this section the time restrictions outlined and the eligibility criteria for the intended subprotocol                                               ",1
"79","patients must be registered within 365 days of the initial metastatic breast cancer diagnosis first line standard systemic",1,"are ineligible                                                                                                                                                                                                                                                                            ",1
"80","ovarian cancer patients must be resistant to platinum",1,"transarterial embolization radiofrequency ablation or cryoablation treatment must be completed at least 28 days prior to initiation of study therapy radiation therapy is also allowed and must be completed at least 28 days prior to initiation of study therapy lesions treated via radiation or liver directed therapy may not be used as target lesions unless they demonstrate growth over a minimum of 3 months on subsequent imaging                                                                                                                                                                               ",1
"81","has a diagnosis of immunodeficiency or is receiving systemic steroid",1,"with belinostat or azd1775                                                                                                                                                                                                                                                                                       ",1
"83","patients may receive up to a maximum of 5 days of pre treatment with atra prior to administration of protocol",1,"for sarcoma including adjuvant systemic therapy                                                                                                                                                                                                                                                                                   ",1
"84","treatment with hydroxyurea corticosteroids any route and intrathecal cytarabine prior to beginning protocol directed",1,"or any anti leukemic therapy are not eligible for this protocol with the exception of cytarabine for the treatment of tmd                                                                                                                                                                                                                                                                  ",1
"85","patients must not have received any prior systemic anticancer",1,"patients = < 30 days from the last dose of cytarabine used for treatment of tmd                                                                                                                                                                                                                                                                             ",1
"86","patients are allowed to have received up to three prior cytotoxic regimens for treatment of their epithelial ovarian fallopian tube or primary peritoneal cancer they must have had one prior platinum based chemotherapeutic regimen for management of primary disease possibly including intra peritoneal",1,"with biologic agent including immunotoxins immunoconjugates antisense peptide receptor antagonists interferons interleukins tumor infiltrating lymphocytes til lymphokine activated killer lak or gene therapy or hormonal therapy for their brain tumor prior gliadel wafers are allowed glucocorticoid therapy is allowed                                                                                                                                                                                                                            ",1
"87","no planned concomitant non protocol directed anti cancer",1,"such as everolimus or palbociclib nor her2 directed therapy in addition to endocrine therapy                                                                                                                                                                                                                                                                       ",1
"88","patients may have had prior",1,"or patient is currently receiving or has received adjuvant endocrine therapy in the past and adjuvant endocrine therapy was initiated > = 2 years prior to diagnosis of metastatic disease note patients who developed metastatic disease while still receiving adjuvant endocrine therapy must have a planned change in the type of endocrine agent used for subsequent metastatic disease treatment patient is not receiving blocking adjuvant therapy such as toremifene or tamoxifen or patient is receiving blocking adjuvant therapy but will stop this therapy a minimum of 60 days prior to fes pet / ct while still complying with the study timeline                                                                                                                                                                               ",1
"89","concurrent neoplasia requiring cytotoxic",1,"such as chemotherapy or radiation therapy or anti tumor experimental therapy for pancreatic cancer                                                                                                                                                                                                                                                                               ",1
"90","any prior",1,"at the time of enrollment                                                                                                                                                                                                                                                                                  ",1
"92","exclusion criteria for stratum c patients who are receiving any other anti cancer or investigational drug",1,"patients who have declined first line therapy or for whom first line therapy would be clinically inappropriate will be considered eligible for the trial                                                                                                                                                                                                                                                           ",1
"93","the study will be limited to patients who are chemotherapy naive patients may have received prior systemic or liver directed local therapies for advanced uveal melanoma as long as those treatments do not involve chemotherapy this includes but is not limited to immunotherapy targeted",1,"prior chemotherapy must have included a first line platinum based regimen with or without intravenous consolidation chemotherapy patients may have received an unlimited number of platinum based therapies in the recurrent setting patients may have received up to 1 non platinum based line of therapy in the recurrent setting prior hormonal therapy will not be considered to count as this non platinum based line patients may not have had a prior anti angiogenic agent in the recurrent setting prior use of bevacizumab in the upfront or upfront maintenance setting is allowed patients may not have previously received a poly adenosine diphosphate adp ribose polymerase parp inhibitor prior hormonal based therapy for ovarian primary peritoneal or fallopian tube cancer is acceptable                                                                                                                                                                     ",1
"94","history of prior",1,"no more than 1 prior non platinum based therapy in the platinum resistant / refractory setting hormonal therapies used as single agents i . e . tamoxifen aromatase inhibitors will not count towards this line limit                                                                                                                                                                                                                                                 ",1
"95","> = 1 prior systemic",1,"with a bisphosphonate or denosumab unless it has been started more than 4 weeks prior to the first dose of the study regimen patients who are already enrolled in this study can initiate bone modifying therapy after the first set of re staging scans > = 8 weeks from cycle 1 day 1                                                                                                                                                                                                                                    ",1
"96","children who have previously received chemotherapy radiation",1,"with mtor inhibitors except for rapalog treatment as part of graft versus host gvh prophylaxis or treatment                                                                                                                                                                                                                                                                           ",1
"98","patientsï post operative treatment must have included at least 80 of standard radiation and concomitant temozolomide patients may not have received any other prior chemotherapy immunotherapy or",1,"must have stopped within 1 month prior to enrollment                                                                                                                                                                                                                                                                                  ",1
"99","patient must not be planning to receive molecular targeted",1,"chemotherapy targeted therapy or any investigational therapy for pancreatic cancer                                                                                                                                                                                                                                                                            ",1
