"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"25","",NA,"",NA,"defined as at least one lesion that can be accurately measured in at least one dimension disease x rays scans or physical examinations used for tumor measurement must have been completed within 28 days prior to registration if there is clinical suspicion for bone metastases at the time of enrollment at the discretion of the investigator bone scan should be performed at baseline within 42 days prior to registration all disease must be assessed and documented on the baseline tumor assessment form                                                                                                                ",1
"26","",NA,"",NA,"patients must have a chest / abdominal / pelvis computed tomography ct scan or positron emission tomography pet / ct of diagnostic quality conventional or spiral prior to registration if the patient is unable to undergo ct with iv contrast due to allergic reaction or renal insufficiency a non contrast ct may be performed all scans needed for assessment of measurable disease must be performed within 28 days prior to registration non measurable disease must be assessed within 42 days prior to registration all disease must be assessed and documented on the baseline tumor assessment form                                                                                                ",1
"29","",NA,"",NA,"must have been completed within 28 days prior to registration ct scans or mris used to assess non measurable disease must have been completed within 42 days prior to registration all disease must be assessed and documented on the baseline tumor assessment form                                                                                                                                        ",1
"31","",NA,"",NA,"documented by computed tomography ct or mri mri within 28 days prior to registration the ct from a combined positron emission tomography pet / ct may be used only if it is of diagnostic quality non measurable disease must be assessed within 42 days prior to registration all known sites of disease must be assessed and documented on the baseline tumor assessment form response evaluation criteria in solid tumors recist 1 . 1                                                                                                                       ",1
"32","",NA,"",NA,"per response evaluation criteria in solid tumors recist 1 . 1 residual disease can either be confirmed with fine needle aspiration fna or if measurable disease is present no fna needs to be obtained or                                                                                               ",1
"34","",NA,"",NA,"photograph with a ruler included and physician measurements must be kept in the patientï s chart as source documentation all measurable lesions must be assessed within 28 days prior to registration tests to assess non measurable disease must be performed within 42 days prior to registration all disease must be assessed and documented on the baseline tumor assessment form recist 1 . 1                                          ",1
"38","",NA,"",NA,"as per recist version 1 . 1                                                                                                                                                                                            ",1
"39","",NA,"",NA,"as defined in recist v . 1 . 1 all disease must be assessed and documented on the s1609 baseline tumor assessment form                                                                                                                                                         ",1
"40","",NA,"",NA,"at study entry note a measurable node must have an ldi longest diameter greater than 1 . 5 cm a measurable extranodal lesion should have an ldi greater than 1 . 0 cm all tumor measurements must be recorded in millimeters or decimal fractions of centimeters                                                                                                                                                     ",1
"41","",NA,"",NA,"by recist v1 . 1 or evaluable disease with bone metastases demonstrated by tc99 bone scan patients with bone metastases only are allowed note nodes > = 1 . 5 cm not > = 2 cm in the short axis are considered measurable per the prostate cancer working group 3 pcwg3                                                                                                                                                ",1
"42","",NA,"",NA,"by recist v1 . 1 with at least one measurable target lesion                                                                                                                                                                                     ",1
"44","",NA,"",NA,"per response evaluation criteria in solid tumors recist 1 . 1 contrast enhanced computed tomography ct scans of the neck chest abdomen and pelvis are required a whole body positron emission tomography pet / ct scan with diagnostic quality images and intravenous iodinated contrast may be used in lieu of a contrast enhanced ct of the chest abdomen and pelvis imaging of the head and neck is required only if the patient has a head / neck primary contrast may be omitted if the treating investigator believes that exposure to contrast poses an excessive risk to the patient if skin lesions are being followed as measurable disease photograph with a ruler included and physician measurements must be kept in the patients chart as source documentation all measurable lesions must be assessed within 28 days prior to registration tests to assess non measurable disease must be performed within 42 days prior to registration all disease must be assessed and documented on the baseline tumor assessment form recist 1 . 1                          ",1
"45","",NA,"",NA,"by mri mri imaging within 21 days of starting treatment                                                                                                                                                                              ",1
"46","",NA,"",NA,"per recist 1 . 1 computed tomography ct scans or mri mri s used to assess measurable disease must have been completed within 28 days prior to registration if the only measurable disease is cutaneous or subcutaneous lesions must be at least 10 mm in greatest dimension and able to be serially recorded using calipers and photographs tests used to assess non measurable disease must have been performed within 42 days prior to registration all disease must be assessed and documented on the baseline tumor assessment form                                                                                                            ",1
"48","",NA,"",NA,"outside of biopsy site present per immune related ir recist criteria                                                                                                                                                                                          ",1
"49","",NA,"",NA,"for parts b1 b6 d1 d5 e3 and e4 melanoma patients in part b7 must have either measurable or evaluable disease neuroblastoma patients in parts b8 and d6 must be evaluable for mibg response without evidence of recist measurable lesions                                                                                                                                                       ",1
"50","",NA,"",NA,"parts b and c patients must have measurable disease on imaging                                                                                                                                                                                 ",1
