"","Blank 1","Frequency","Blank 2","Frequency"
"62","general inclusion criteria for subprotocols karnofsky >",1,"50 for patients > = 16 years of age and lansky > = 60 for patients = < 16 years of age patients who are unable to walk because of paralysis but who are up in a wheelchair will be considered ambulatory for the purpose of assessing the performance score                                                                                              ",1
"63","patients must have a performance status corresponding to ecog scores 0 1 or 2 use karnofsky for patients >",1,"16 years of age or lansky performance score lps for = < 16 years of age assessed within two weeks of enrollment must be > = 70 patients who are unable to walk because of neurologic deficits but who are up in a wheelchair will be considered ambulatory for the purpose of assessing the performance score                                                                                    ",1
"72","patients must have a performance status corresponding to ecog scores of 0 or 1 use karnofsky for patients >",1,"< 2 for adults kps > = 50 for pediatric patients > = 10 years of age and lansky performance status > = 50 for pediatric patients = < 10 years of age                                                                                                              ",1
"74","patients must have a karnofsky performance level of >",1,"< 2 or karnofsky > = 60 in patients > = 16 years of age lansky > = 60 for patients = < 16 years of age                                                                                                                    ",1
"75","off treatment >",1,"< 2 or karnofsky > = 50 if > = 16 years of age or children < 16 years old must have a lansky performance of > = 50                                                                                                                  ",1
"76","chemotherapy within 5 years prior to registration hormonal therapy is allowable if the disease free interval is >",1,"< 2 patients > = 16 years of age must have a karnofsky performance level of > = 70 or ecog = < 2 and children < 16 years old must have a lansky performance of > = 70                                                                                                          ",1
"78","patients must be post menopausal post menopausal will be defined as women meeting any of the following criteria >",1,"30 for patients > = 16 years of age or a lansky performance scale of > = 30 for patients = < 16 years of age and life expectancy > = 8 weeks                                                                                                        ",1
"81","phase i >",1,"14 years                                                                                                                                             ",1
"85","age phase 1 part a patients must be >",1,"5 years                                                                                                                              ",1
"86","parts a c patients must be >",1,"16 years yrs . of age or lansky performance score lps for = < 16 years of age > = 60 assessed within two weeks prior to registration                                                                                                                ",1
"87","parts b1 b6 b8 d1 d6 e3 e4 patients must be >",1,"60 years of age or < 60 years of age and amenorrheic for > = 12 months prior to day 1 if uterus / ovaries are intact or < 60 years of age and the last menstrual period 6 12 months prior to day 1 if intact uterus / ovaries and meets biochemical criteria for menopause follicle stimulating hormone fsh and estradiol within institutional standard for postmenopausal status or < 60 years of age without a uterus and meets biochemical criteria for menopause fsh and estradiol within institutional standards for postmenopausal status or < 60 years of age and history of bilateral oophorectomy surgery must have been completed at least 4 weeks prior to day 1 or prior radiation castration with amenorrhea for at least 6 months",1
"88","part b7 patients must be >",1,"50 for patients > = 12 years of age for children < 12 years of age the lansky play scale > = 50 can be substituted                                                                                                                      ",1
"89","hgb >",1,"3 years and = < 18 years of age at the time of study enrollment if able to swallow whole capsules                                                                                                                          ",1
"91","patients with body mass index bmi < 3rd percentile for age as defined by who criteria for patients 1 2 years of age and centers for disease control and prevention cdc criteria for patients >",1,"16 years yrs of age or lansky performance score lps for < 16 years of age > = 60 assessed within two weeks prior to registration                                                                                                                  ",1
"92","cohort 1 patients must have measurable disease according to response evaluation criteria in solid tumors recist 1 . 1 note patients in cohort 1 will be stratified as follows stratum 1 patients >",1,"16 years of age or lansky performance score lps for = < 16 years of age assessed within two weeks of enrollment must be > = 60                                                                                                                 ",1
"93","efficacy phase patients must be",1,"than 12 months and = < 21 years of age at the time of study enrollment phase 2 part b and part c patients must be > = than 12 months and = < 30 years of age at the time of study enrollment                                                                                             ",1
"94","patient must have completed cancer treatment >",1,"12 months and = < 30 years of age at the time of study enrollment                                                                                                                       ",1
"95","patients must be >",1,"8 g / dl for patients = < 16 years of age > = 9 g / dl for patients > = 16 years of age note no transfusions are permitted 7 days prior to laboratory studies to determine eligibility                                                                                                        ",1
"96","infants must be >",1,"14 years > = 18 years in germany                                                                                                                                        ",1
"98","standard risk 2 patients must be >",1,"2 years of age are not eligible                                                                                                        ",1
"99",">",1,"11 years of age but < 18 years stratum 2 patients > = 11 years of age but < 50 years                                                                                            ",1
"104","ecog performance status for part i arm a b 0 1 karnofsky >",1,"< 40 years of age at the time of enrollment                                                                                                                                   ",1
"110","ecog performance status of 0 1 or a kps of >",1,"2 years prior to study enrollment                                                                                                                                     ",1
"117","ecog performance status of 0 1 or karnofsky >",1,"18 years of age                                                                                                                                          ",1
"120","have an ecog performance status of 0 or 1 karnofsky >",1,"36 weeks gestational age at the time of enrollment                                                                                                                                     ",1
"131","ecog / kps of 0 or 1 karnofsky >",1,"6 years at the nci clinical center > = 18 years at other participating sites                                                                                                                                 ",1
"136","ecog performance status 0 1 karnofsky >",1,"11 and < 25 years of age at enrollment                                                                                                                                  ",1
"141","patients must have an ecog performance status of 0 1 or 2 karnofsky >",1,"11 and < 25 years old at enrollment                                                                                                                                         ",1
"154","kps of 70 100 ecog performance status",1,"70 for part ii arm c 0 2 karnofsky > = 60                                                                                                                         ",1
"161","ecog performance status 0 2 karnofsky >",1,"70 or ecog = < 1                                                                                                                                          ",1
"165","ecog / kps of 0 2 karnofsky >",1,"< 1 karnofsky > = 60                                                                                                                                         ",1
"176","ecog performance status ps 0 3 restricted to ecog ps 0 2 if >",1,"70 or ecog performance status = < 1                                                                                                                                       ",1
"178","ecog performance status ps",1,"< 2 karnofsky > = 60 is required for eligibility those patients with lower performance status based solely on bone pain secondary to multiple myeloma are eligible                                                                                                                    ",1
"194","patients must have ecog performance status",1,"< 2 karnofsky > = 60 exception will be made for patients with ecog performance status = < 3 and karnofsky performance scale > = 50 who require the use of wheelchairs walkers or canes as well as assistance with daily routines secondary to disabilities caused by ecd cerebellar or brain disease that has been stable for > = 3 months                                                                                  ",1
"199","ecog performance status must be",1,"< 2 or karnofsky performance score > = 50                                                                                                                                      ",1
"207","ecog performance status of",1,"70 ecog ecog performance status 0 1                                                                                                                                         ",1
"3","",NA,"< 2 karnofsky or lansky > = 70                                                                                                                                       ",1
"4","",NA,"< 1 karnofsky > = 60 and life expectancy greater than 6 months furthermore enrollment of patients with greater than 10 measurable lesions is discouraged                                                                                                                      ",1
"5","",NA,"70 years of age                                                                                                                                ",1
"6","",NA,"< 2 karnofsky > = 60 unless due to neurologic deficits caused by cns lymphoma with the following exceptions patients with ecog performance status ps = 4 where neurologic deficits are unlikely to resolve with tumor resolution and may cause clinical management problems are excluded                                                                                                  ",1
"7","",NA,"0 2                                                                                                                                            ",1
"8","",NA,"< 2 phase i = < 1 phase ii                                                                                                                                      ",1
"9","",NA,"< 1 and a life expectancy of at least 3 months                                                                                                                                 ",1
"10","",NA,"< 1 within 90 days prior to step 1 registration                                                                                                                                    ",1
