"","Blank 1","Frequency","Blank 2","Frequency"
"181","within 2 weeks prior to screening step registration and within 4 weeks prior to treatment step registration",1,"within normal institutional limits                                                                                                                                                                                                                                                                                                                                                                                     ",1
"197","within 2 weeks prior to initiation of study treatment",1,"= < 1 . 5 x mcLn obtained = < 21 days prior to registration                                                                                                                                                                                                                                                                                                                                                                          ",1
"214","re registration",1,"= < 1 . 5 times mcLn                                                                                                                                                                                                                                                                                                                                                                                  ",1
"215","within 14 days of registration calculated calc .",1,"< 1 . 5 x mcLn                                                                                                                                                                                                                                                                                                                                                                                   ",1
"220","patients with a serum",1,"kinase = < 2 . 5 x the mcLn within 30 days prior to enrollment                                                                                                                                                                                                                                                                                                                                                                          ",1
"237","blood",1,"< 1 . 5 x mcLn the values must be obtained within 48 hours prior to randomization                                                                                                                                                                                                                                                                                                                                                                       ",1
"247","body surface area bsa normalized",1,"= < 2 . 0 x mcLn                                                                                                                                                                                                                                                                                                                                                                                  ",1
"254","measured",1,"= < 1 . 5 x mcLn measured within 28 days prior to randomization                                                                                                                                                                                                                                                                                                                                                                        ",1
"255","within less than or equal to 14 days prior to registration serum",1,"= < 1 . 5 times the mcLn                                                                                                                                                                                                                                                                                                                                                                                ",1
"269","general inclusion criteria for subprotocols",1,"= < 1 . 5 x the institutional mcLn                                                                                                                                                                                                                                                                                                                                                                                ",1
"2","",NA,"= < 2 times mcLn timeline within 3 weeks prior to enrollment                                                                                                                                                                                                                                                                                                                                                                            ",1
"4","",NA,"= < 2 . 0 x local institutional mcLn                                                                                                                                                                                                                                                                                                                                                                               ",1
"5","",NA,"= < 2 x upper limit of normal for age                                                                                                                                                                                                                                                                                                                                                                              ",1
"6","",NA,"= < twice upper limit institutional normal                                                                                                                                                                                                                                                                                                                                                                                  ",1
"7","",NA,"< 1 . 5 times institutional upper limit of normal within 21 days prior to study entry                                                                                                                                                                                                                                                                                                                                                                        ",1
"8","",NA,"< 1 . 5 institutional upper limit of normal or                                                                                                                                                                                                                                                                                                                                                                               ",1
"10","",NA,"= < 1 . 5 x upper limit of normal uln within 14 days prior to study registration                                                                                                                                                                                                                                                                                                                                                                       ",1
"11","",NA,"> = 2 times the upper limit of normal                                                                                                                                                                                                                                                                                                                                                                               ",1
"12","",NA,"= < institutional upper limit of normal or                                                                                                                                                                                                                                                                                                                                                                                 ",1
"14","",NA,"= < 1 . 5 x institutional / laboratory upper limit of normal uln                                                                                                                                                                                                                                                                                                                                                                           ",1
"15","",NA,"cr < 1 . 5 upper limit of normal uln                                                                                                                                                                                                                                                                                                                                                                               ",1
"16","",NA,"= < 1 . 5 x institutional upper limit of normal                                                                                                                                                                                                                                                                                                                                                                              ",1
"17","",NA,"= < 1 . 5 x institutional upper limit of normal uln                                                                                                                                                                                                                                                                                                                                                                       ",1
"18","",NA,"= < 1 . 5 mg / dl within 14 days prior to study entry                                                                                                                                                                                                                                                                                                                                                                         ",1
"19","",NA,"should be = < 1 . 5 mg                                                                                                                                                                                                                                                                                                                                                                      ",1
"21","",NA,"= < 2 mg / dl                                                                                                                                                                                                                                                                                                                                                                                  ",1
"22","",NA,"= < 1 . 5 mg / dl                                                                                                                                                                                                                                                                                                                                                                                 ",1
"23","",NA,"level = < uln within 28 days prior to registration                                                                                                                                                                                                                                                                                                                                                                              ",1
"24","",NA,"= < 1 . 5 x uln obtained within 28 days prior to registration                                                                                                                                                                                                                                                                                                                                                                          ",1
"25","",NA,"of = < 1 . 5 mg / dl if creatinine > = 1 . 5 mg / dl creatinine clearance must be > = 60 ml / minute                                                                                                                                                                                                                                                                                                                                                           ",1
"26","",NA,"< 2 . 0 mg / dl                                                                                                                                                                                                                                                                                                                                                                                 ",1
"27","",NA,"less than 1 . 4 mg / dl                                                                                                                                                                                                                                                                                                                                                                                 ",1
"28","",NA,"> = 3 . 0 mg / dl and patients on active dialysis for renal dysfunction are excluded                                                                                                                                                                                                                                                                                                                                                                    ",1
"29","",NA,"< 2 . 0 mg / dl 176 . 8 umol / liter                                                                                                                                                                                                                                                                                                                                                                      ",1
"30","",NA,"= < uln within 14 days prior to registration                                                                                                                                                                                                                                                                                                                                                                               ",1
"31","",NA,"< 1 . 5 mg / dl = 132 umol / l or                                                                                                                                                                                                                                                                                                                                                                            ",1
"33","",NA,"< 1 . 7 mg / dl                                                                                                                                                                                                                                                                                                                                                                                  ",1
"34","",NA,"level = < uln within 21 days prior to registration                                                                                                                                                                                                                                                                                                                                                                       ",1
"35","",NA,"= < 2 . 0 x uln                                                                                                                                                                                                                                                                                                                                                                           ",1
"36","",NA,"< 2 . 0 x uln within 28 days prior to registration                                                                                                                                                                                                                                                                                                                                                                            ",1
"37","",NA,"< 2 mg / dl                                                                                                                                                                                                                                                                                                                                                                                    ",1
"38","",NA,"= < 1 . 6 mg / dl                                                                                                                                                                                                                                                                                                                                                                                 ",1
"39","",NA,"= < 2 . 0 x uln within 28 days prior to registration                                                                                                                                                                                                                                                                                                                                                                           ",1
"40","",NA,"< 1 . 5 mg / dl                                                                                                                                                                                                                                                                                                                                                                                 ",1
"41","",NA,"< 2 x institutional mcLn or creatinine clearance cc > = 50 ml / min determined by 24 hour collection or estimated by cockcroft gault formula                                                                                                                                                                                                                                                                                                                                                              ",1
"42","",NA,"= < the uln and measured or calculated creatinine clearance > = 60 cc / min using the cockroft gault formula                                                                                                                                                                                                                                                                                                                                                               ",1
"43","",NA,"= < uln and measured of calculated creatinine clearance > = 60 cc / min using the cockroft gault formula                                                                                                                                                                                                                                                                                                                                                          ",1
"44","",NA,"clearance crcl > = 30 ml / min measured by a 24 hour urine collection or estimated by the cockcroft and gault formula within 14 days prior to registration                                                                                                                                                                                                                                                                                                                                                            ",1
"45","",NA,"institutional mcLn within 14 days prior to registration or creatinine clearance cc > = 50 ml / min within 14 days prior to registration determined by 24 hour collection or estimated by cockcroft gault formula                                                                                                                                                                                                                                                                                                                                                     ",1
"46","",NA,"< 1 . 5 mg / dl or calculated creatinine clearance > = 50 ml / min by cockcroft gault formula within 14 days prior to registration                                                                                                                                                                                                                                                                                                                                                             ",1
"47","",NA,"clearance by cockcroft gault formula > = 30 ml / min obtained within 2 weeks prior to registration                                                                                                                                                                                                                                                                                                                                                                      ",1
"48","",NA,"clearance by cockroft gault formula > = 30 ml / min obtained within 2 weeks prior to registration                                                                                                                                                                                                                                                                                                                                                               ",1
"49","",NA,"< 1 . 5 mg / dl or calculated creatinine clearance > = 50 ml / min within 30 days prior to registration estimated by the cockcroft gault formula                                                                                                                                                                                                                                                                                                                                                           ",1
"51","",NA,"= < 1 . 5 mg / dl = < 133 umol / l or calculated creatinine clearance cockcroft gault formula > = 50 ml / min or 24 hour urine creatinine clearance > = 50 ml / min                                                                                                                                                                                                                                                                                                                                                 ",1
"52","",NA,"= < the uln or measured or calculated creatinine clearance > = 50 ml / min using the following cockcroft gault formula within 28 days prior to sub study registration                                                                                                                                                                                                                                                                                                                                                          ",1
"54","",NA,"= < 1 . 5 mg / dl or calculated creatinine clearance cc > = 50 ml / min determined by 24 hour urine collection or estimated by cockcroft gault formula within 21 days prior to registration                                                                                                                                                                                                                                                                                                                                                   ",1
"55","",NA,"clearance > = 60 ml / min the serum creatinine value used in the calculation must have been obtained within 28 days prior to registration use the modified cockcroft gault formula                                                                                                                                                                                                                                                                                                                                                         ",1
"56","",NA,"clearance of > = 50 ml / min using the cockcroft gault formula must be obtained within 8 weeks prior to screening for protocol therapy                                                                                                                                                                                                                                                                                                                                                               ",1
"57","",NA,"clearance of > = 50 ml / min using the cockcroft gault formula                                                                                                                                                                                                                                                                                                                                                                     ",1
"58","",NA,"clearance > = 30 ml / min within 28 days of registration to be eligible for the study this will be determined by cockroft gault calculation and 24 hour urine creatinine clearance measurement please note renal function measured by 24 hour urine creatinine clearance in screening and post operatively are required                                                                                                                                                                                                                                                                                                                                  ",1
"59","",NA,"= < 2 . 0 mg / dl or creatinine clearance calculated clearance permitted > = 40 ml / min by cockcroft gault formula                                                                                                                                                                                                                                                                                                                                                                 ",1
"61","",NA,"= < 1 . 5 mg / dl to receive weekly cisplatin patients whose serum creatinine is between 1 . 5 and 1 . 9 mg / dl are eligible for cisplatin if the estimated creatinine clearance ccr is > = 30 ml / min for the purpose of estimating the ccr the formula of cockcroft and gault for females should be used                                                                                                                                                                                                                                                                                                                          ",1
"62","",NA,"clearance > = 60 ml / min by the modified cockcroft gault formula timeline within 3 weeks prior to enrollment                                                                                                                                                                                                                                                                                                                                                                     ",1
"63","",NA,"clearance must be > = 60 ml / min using the cockcroft gault formula within 4 weeks prior to randomization                                                                                                                                                                                                                                                                                                                                                                    ",1
"64","",NA,"clearance crcl > = 50 ml / min / 1 . 73 m 2 according to the cockcroft gault formula within 14 days prior to registration                                                                                                                                                                                                                                                                                                                                                              ",1
"65","",NA,"clearance crcl > = 50 ml / min within 14 days prior to registration as determined by 24 hour collection or estimated by cockcroft gault formula                                                                                                                                                                                                                                                                                                                                                               ",1
"69","",NA,"clearance crcl > = 50 ml / min . as estimated by the cockcroft and gault formula estimated creatinine clearance is based on actual body weight                                                                                                                                                                                                                                                                                                                                                         ",1
"70","",NA,"clearance > = 51 ml / min calculated using cockcroft gault formula                                                                                                                                                                                                                                                                                                                                                                    ",1
"71","",NA,"= < 1 . 5 mg / dl or calculated creatinine clearance cockcroft gault formula > = 50 ml / min or 24 hour urine creatinine clearance > = 50 ml / min within 30 days of day 1 of study                                                                                                                                                                                                                                                                                                                                               ",1
"72","",NA,"= < 1 . 5 times mcLn or calculated creatinine clearance > = 70 ml / min                                                                                                                                                                                                                                                                                                                                                                       ",1
"76","",NA,"= < 1 . 5 x mcLn or calculated or measured creatinine clearance > = 60 ml / min / 1 . 73 m 2 for patients with creatinine above institutional normal                                                                                                                                                                                                                                                                                                                                                         ",1
"77","",NA,"= < upper limit of normal uln or calculated creatinine clearance > = 60 ml / min                                                                                                                                                                                                                                                                                                                                                                        ",1
"78","",NA,"= < 1 . 5 times institutional upper limit of normal uln or calculated creatinine clearance > = 60 ml / min                                                                                                                                                                                                                                                                                                                                                                   ",1
"79","",NA,"= < 1 . 2 x mcLn or creatinine clearance > = 60 ml / min obtained within 14 days prior to study entry                                                                                                                                                                                                                                                                                                                                                                ",1
"80","",NA,"clearance > = 30 ml / min obtained within 28 days prior to randomization                                                                                                                                                                                                                                                                                                                                                                        ",1
"81","",NA,"= < 1 . 5 mg / dl or measured or calculated creatinine clearance > = 50 ml / min                                                                                                                                                                                                                                                                                                                                                                    ",1
"84","",NA,"= < 1 . 5 x mg / dl or measured or calculated creatinine clearance > = 50 ml / min creatinine measurements must be obtained within 28 days prior to registration                                                                                                                                                                                                                                                                                                                                                        ",1
"85","",NA,"clearance > = 50 ml / min estimated creatinine clearance for patients > = 18 years old will be estimated by the jelliffe equation modified for body surface area bsa patients with creatinine clearance estimated > = 70ml / min by this formula are eligible if the creatinine clearance estimated by the jelliffe method is > = 50 ml / min but = < 70 ml / min then a second method to confirm a creatinine clearance of > = 50 ml / min is required methods of estimating gfr gfr that can be used for this confirmation consist of a 12 or 24 hour urine creatinine clearance or a nuclear creatinine clearance test if the confirmatory creatinine clearance is < 50 ml / min then the patient is not eligible if the confirmatory creatinine clearance is > = 50 ml / min the patient is eligible if the cause of the patientï s renal dysfunction is tumor obstructing the ureters then eligibility can be determined by the study chair even if it does not meet these minimal requirements for patients < 18 years old it is strongly suggested that a radioisotope estimation of gfr be obtained if a radioisotope test is not possible an estimated creatinine clearance using either a 12 or 24 hour urine creatinine clearance or the schwartz formula can be used patients will be considered eligible if the creatinine clearance is > = 70 ml / min if the creatinine clearance estimated by the schwartz formula or urine creatinine clearance is > = 50 ml / min but = < 70 ml / min then a second method to confirm a creatinine clearance of > = 50 ml / min is required methods of estimating gfr that can be used for this confirmation consist of a 12 or 24 hour urine creatinine clearance if the schwartz formula or radioisotope method was used as the primary method or a radioisotope estimation of gfr if the schwartz formula or urine creatinine clearance method was used as the primary method if the confirmatory creatinine clearance is < 50 ml / min then the patient is not eligible if the confirmatory creatinine clearance is > = 50 ml / min the patient is eligible",1
"86","",NA,"= < 1 . 5 x upper limit of normal uln or serum creatinine clearance crcl > = 40 ml / min obtained within 4 weeks prior to randomization                                                                                                                                                                                                                                                                                                                                                           ",1
"89","",NA,"= < 1 . 5 mg / dl or creatinine clearance > = 40 ml / min / 1 . 73 m 2 unless lymphoma related                                                                                                                                                                                                                                                                                                                                                              ",1
"92","",NA,"= < 1 . 5 x mcLn or measured or calculated creatinine clearance crcl > = 60 ml / min for subject with creatinine levels > = 1 . 5 x institutional mcLn gfr gfr can also be used in place of creatinine or crcl creatinine clearance should be calculated per institutional standard                                                                                                                                                                                                                                                                                                                                   ",1
"93","",NA,"clearance that meets > = 50 ml / min they must not have received prior systemic doxorubicin                                                                                                                                                                                                                                                                                                                                                                    ",1
"94","",NA,"= < 1 . 5 x uln or measured or calculated creatinine clearance > = 60 ml / min                                                                                                                                                                                                                                                                                                                                                              ",1
"95","",NA,"= < 1 . 5 x upper limit of normal uln or serum creatinine clearance crcl > = 40 ml / min                                                                                                                                                                                                                                                                                                                                                                  ",1
"96","",NA,"= < 3 mg / dl 265 umol / l and creatinine clearance > = 30 ml / min                                                                                                                                                                                                                                                                                                                                                                     ",1
"97","",NA,"= < 1 . 5 x mcLn or a calculated creatinine clearance > = 60 ml / min / 1 . 73 m 2 cockcroft gault method for patients receiving combination of cisplatin and pemetrexed and > = 45 ml / min / 1 . 73 m 2 for patients receiving pemetrexed 24 hour urine for creatinine clearance is acceptable if the calculated creatinine clearance is insufficient                                                                                                                                                                                                                                                                                                                     ",1
"98","",NA,"= < mcLn or measured or calculated creatinine clearance > = 60 ml / min                                                                                                                                                                                                                                                                                                                                                          ",1
"99","",NA,"must be = < 2 x the institutional mcLn or creatinine clearance either measured or calculated must be > = 30 ml / min must be obtained within 28 days prior to registration                                                                                                                                                                                                                                                                                                                                                       ",1
"100","",NA,"< 2 . 5 x institutional mcLn or measured or calculated creatinine clearance crcl gfr gfr can also be used in place of creatinine or crcl > = 30 ml / min for subject with creatinine levels > = 2 . 5 x institutional mcLn creatinine clearance should be calculated per institutional standard                                                                                                                                                                                                                                                                                                                                   ",1
"101","",NA,"= < 1 . 5 x uln or measured or calculated creatinine clearance > = 40 ml / min this result must have been obtained within 28 days prior to registration                                                                                                                                                                                                                                                                                                                                                     ",1
"103","",NA,"= < mcLn for the lab and measured or calculated creatinine clearance > = 60 ml / min within 28 days before randomization                                                                                                                                                                                                                                                                                                                                                                 ",1
"105","",NA,"= < 1 . 5 x upper limit of normal uln or calculated creatinine clearance crcl > = 40 ml / min within 4 weeks of randomization                                                                                                                                                                                                                                                                                                                                                             ",1
"106","",NA,"= < 1 . 5 mcLn or measured or calculated creatinine clearance > = 30 ml / min                                                                                                                                                                                                                                                                                                                                                                      ",1
"107","",NA,"clearance > = 70 ml / min / 1 . 73 m 2                                                                                                                                                                                                                                                                                                                                                                           ",1
"108","",NA,"clearance by modification of diet in renal disease mdrd crcl > = 60 ml / min / 1 . 73 squared meter                                                                                                                                                                                                                                                                                                                                                                  ",1
"110","",NA,"= < uln or measured or calculated creatinine clearance > = 60 ml / min obtained within 28 days prior to step 2 registration                                                                                                                                                                                                                                                                                                                                                                ",1
"113","",NA,"clearance > = 45 ml / min / 1 . 73 m 2                                                                                                                                                                                                                                                                                                                                                                           ",1
"114","",NA,"clearance > = 60 ml / min within 28 days prior to registration                                                                                                                                                                                                                                                                                                                                                                 ",1
"115","",NA,"= < institutional upper limit normal uln ctcae v 3 . 0 grade 0 note if creatinine > = mcLn creatinine clearance must be > = 50 ml / min                                                                                                                                                                                                                                                                                                                                                           ",1
"116","",NA,"< 1 . 5 x mcLn or creatinine clearance measured > = 60 ml / minute for patients with creatinine levels > = 1 . 5 x upper limit of normal                                                                                                                                                                                                                                                                                                                                                          ",1
"117","",NA,"= < 1 . 5 times institutional upper limit of normal or creatinine clearance > = 60 ml / min / 1 . 73 m 2                                                                                                                                                                                                                                                                                                                                                               ",1
"118","",NA,"clearance > = 60 ml / min for patients with creatinine levels above 1 . 5 x institutional upper limit of normal                                                                                                                                                                                                                                                                                                                                                                   ",1
"119","",NA,"clearance > = 50 ml / min / 1 . 73 m 2 for participants with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                                    ",1
"120","",NA,"= < 1 . 5 x mcLn or creatinine clearance > = 50 ml / min / 1 . 73 m 2 for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                           ",1
"122","",NA,"< 1 . 5 x institutional upper limit of normal or creatinine clearance > = 60 ml / min for patients with creatinine levels above 1 . 5 x institutional upper limit of normal                                                                                                                                                                                                                                                                                                                                                       ",1
"123","",NA,"within normal institutional limits or creatinine clearance > = 60 ml / min for patients with creatinine levels above institutional normal as determined by a measured 24 hour creatinine clearance                                                                                                                                                                                                                                                                                                                                                          ",1
"124","",NA,"< 1 . 5 x upper limit of normal or creatinine clearance > = 60 ml / min / 1 . 73 m 2 for patients with creatinine levels > = 1 . 5 x upper limit of normal                                                                                                                                                                                                                                                                                                                                                  ",1
"125","",NA,"within normal institutional limits or creatinine clearance > = 60 ml / min for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                                    ",1
"126","",NA,"= < 1 . 5 ï institutional upper limit of normal or creatinine clearance > = 40 ml / min / 1 . 73 m 2 for patients with creatinine levels above 1 . 5 x institutional limit of normal                                                                                                                                                                                                                                                                                                                                                 ",1
"127","",NA,"within normal institutional limits or creatinine clearance > = 60ml / min / 1 . 73 m 2 for subject with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                               ",1
"128","",NA,"= < 1 . 5 x institutional upper limit of normal or creatinine clearance > = 60 ml / min for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                             ",1
"129","",NA,"< 1 . 5 x normal institutional limits or creatinine clearance > = 50 ml / min / 1 . 73 m 2 for patients with creatinine level above institutional normal based either on cockroft gault estimate or based on urine collection 12 or 24 hour                                                                                                                                                                                                                                                                                                                                           ",1
"132","",NA,"= < 1 . 5 x mcLn or creatinine clearance > = 50 ml / min / 1 . 73 m 2 for patients with creatinine levels above institutional normal cockcroft formula                                                                                                                                                                                                                                                                                                                                                         ",1
"133","",NA,"= < 1 . 5 x upper limit of normal or creatinine clearance > = 50 ml / min                                                                                                                                                                                                                                                                                                                                                                      ",1
"134","",NA,"within normal institutional limit for the reference lab or creatinine clearance > = 60 ml / min / 1 . 73 m 2 as calculated by cockcroft gault formula for participants with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                    ",1
"136","",NA,"= < upper limit of normal institutional limits or creatinine clearance > = 60 ml / min / 1 . 73 m 2 for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                          ",1
"137","",NA,"= < the institutional upper limit of normal uln or creatinine clearance > = 60 ml / min / 1 . 73 m 2 for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                         ",1
"138","",NA,"= < 1 . 5 x institutional upper limit of normal or creatinine clearance > = 60 ml / min / 1 . 73 m 2 for patients with creatinine levels above 1 . 5 x institutional normal                                                                                                                                                                                                                                                                                                                                                   ",1
"139","",NA,"within normal institutional limits or creatinine clearance > = 50 ml / min for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                                    ",1
"140","",NA,"= < 1 . 5 x mcLn or a creatinine clearance > = 50 ml / min / 1 . 73 m 2 for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                          ",1
"142","",NA,"within normal institutional limits for age or creatinine clearance > = 60 ml / min / 1 . 73 m 2 for patients with creatinine levels above mcLn                                                                                                                                                                                                                                                                                                                                                             ",1
"143","",NA,"= < upper limit of institutional normal or creatinine clearance > = 60 ml / min / 1 . 73 m 2 for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                  ",1
"144","",NA,"= < 1 . 5 x mcLn or creatinine clearance > = 60 ml / min / 1 . 73 m 2 for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                           ",1
"146","",NA,"levels = < upper limit of institutional normal or creatinine clearance > = 60 ml / min / 1 . 73 m 2 for participants with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                          ",1
"147","",NA,"= < 1 . 5 x institutional mcLn or creatinine clearance > = 60 ml / min / 1 . 73 m 2 for patients with serum creatinine levels > = 1 . 5 x higher than institutional normal                                                                                                                                                                                                                                                                                                                                                 ",1
"148","",NA,"= < the institutional upper limit of normal or creatinine clearance > = 60 ml / min / 1 . 73 m 2 for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                          ",1
"149","",NA,"= < institutional upper limit of normal or creatinine clearance > = 60 ml / min / 1 . 73m 2 for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                            ",1
"150","",NA,"= < 1 . 5 mg / dl or calculated calc . creatinine clearance > = 30 ml / min                                                                                                                                                                                                                                                                                                                                                                     ",1
"152","",NA,"= < 1 . 5 x upper limit of normal uln mg / dl or calculated calc . creatinine clearance > = 60 ml / min                                                                                                                                                                                                                                                                                                                                                               ",1
