"","Blank 1","Frequency","Blank 2","Frequency"
"6","procurement patient able to give",1,"form icf and authorization to use protected health information in accordance with national and local subject privacy regulations                                                                                                 ",1
"7","treatment patient able to give",1,"from all patients which can be accomplished using the nci pob screening protocol studies or procedures that were performed for clinical indications not exclusively to determine eligibility may be used for screening or baseline values even if the studies were done before informed consent was obtained if the patient agrees                                                                            ",1
"8","a medical or psychiatric illness that precludes ability to give",1,"or compliance with study procedures                                                                                                                      ",1
"10","willingness to sign the healthy volunteer",1,"ic for trial participation must be signed and dated by the patient and the investigator prior to enrollment                                                                                                                              ",1
"11","medical or psychiatric illness that would in the opinion of the investigator preclude participation in the study or the ability of patients to provide",1,"from all patients which can be accomplished using the study specific informed consent or another consent such as the national cancer institute nci pediatric oncology branch pob screening protocol studies or procedures that were performed for clinical indications not exclusively to determine eligibility may be used for screening or baseline values even if the studies were done before informed consent was obtained if the patient agrees                                                            ",1
"13","cognitive impairment history of medical or psychiatric disease other uncontrolled intercurrent illness active substance abuse or social circumstances which in the view of the principal investigator pi would preclude safe treatment or the ability to give",1,"indicating that they are aware of the investigational nature of the study and are aware that participation is voluntary patients must be made aware of their other treatment options                                                                                                                ",1
"14","able to provide",1,"form prior to receiving any study related procedure                                                                                                                 ",1
"15","all patients and / or their parent or legal guardian must sign a written",1,"and comply with the requirements of the study                                                                                                                                ",1
"16","patients must not suffer from medical or psychiatric conditions that would interfere with protocol compliance the ability to provide",1,"patient assent is also recommended when applicable according to each institutionï s policy                                                                                                                      ",1
"18","patient or appointed surrogate decision maker or legally authorized representative must have ability to understand the purpose and risks of the study and willingness to provide a signed and dated",1,".                                                                                                                                  ",1
"19","inability to understand and inability to provide",1,"and authorization permitting release of personal health information individuals with impaired decision making capacity are not eligible to participate on the study                                                                                                                     ",1
"21","inclusion criteria for stratum c the patient or parent / guardian is able to understand the consent and is willing to sign a written",1,"and authorization permitting release of personal health information prior to study entry                                                                                                                          ",1
"23","signed written",1,"document subjects must be willing to adhere to dose and visit schedules                                                                                                                           ",1
"24","other uncontrolled concurrent illness that would preclude study participation or psychiatric illness or social challenges that would entail unreasonable risk or preclude",1,"to participate                                                                                                                                      ",1
"25","inability to understand and sign",1,"document and to undergo tumor biopsies in the expansion phase                                                                                                                             ",1
"27","any perceived inability to directly and without the means of a legal guardian provide",1,"document subjects with impaired decision making capacity are not eligible                                                                                                                          ",1
"28","medical or psychiatric illness or social situations that would in the opinion of the investigator preclude participation in the study or the ability of patients to provide",1,"document consent will be obtained by day 14 of acdvp 16 induction regimen                                                                                                                          ",1
"29","recurrent / progressive dipg stratum 1 the patient or parent / guardian is able to understand the consent and is willing to sign a written",1,"document or a parent / guardian able to do the same                                                                                                                            ",1
"30","non progressed dipg stratum 2 the patient or parent / guardian is able to understand the consent and is willing to sign a written",1,"document if a patient has impaired decision making capacity a legally authorized representative patients will be allowed to participate                                                                                                                    ",1
"31","patients must be able to understand and sign an",1,"prior to study entry including consent for mandatory tissue submission for egfr and for oropharyngeal patients hpv analyses                                                                                                                          ",1
"32","signed dated",1,"prior to study entry including consent for mandatory tissue submission for central review                                                                                                                               ",1
"35","patients must have signed",1,"prior to study entry including consent for mandatory tissue submission for epidermal growth factor receptor egfr analysis and for oropharyngeal cancer patients human papilloma virus hpv analysis                                                                                                                 ",1
"36","participant or legal representative must understand the investigational nature of this study and sign an independent ethics committee / institutional review board approved written",1,"prior to study entry including consent for mandatory screening of tissue                                                                                                                                 ",1
"37","mental impairment that may compromise the ability to give",1,"prior to study entry including the mandatory pre treatment plasma ebv dna assay                                                                                                                               ",1
"53","each patientï s parents or legal guardians must sign a written",1,"prior to study entry including consent for mandatory tumor tissue serum and blood submission for immune correlatives all patients and p16 analysis oropharyngeal cases only                                                                                                             ",1
"83","patients must have the ability to understand and sign an approved",1,"prior to any study specific procedures                                                                                                                                         ",1
"86","the patient or legally authorized representative must provide study specific",1,"prior to study registration                                                                                                                                  ",1
"95","ability to understand and the willingness to provide written",1,"prior to study specific screening procedures with the understanding that the patient has the right to withdraw from the study at any time                                                                                                                     ",1
"115","tumor biopsy sequencing ability to understand and the willingness to sign a written",1,"prior to study entry .                                                                                                                                 ",1
"122","ability of patient to understand and the willingness to sign a written",1,"",NA
"127","patient and / or guardian have the ability to understand and the willingness to sign a written",1,"",NA
"135","participants must be able to understand and willing to sign a written",1,"",NA
"147","ability to understand and to sign a written",1,"",NA
"169","able to understand and willingness to sign a written",1,"",NA
"179","ability of subject or legally guardians if the patient is < 18 years old to understand and the willingness to sign a written",1,"",NA
"185","ability to understand and the willingness to sign an institutional review board irb approved written",1,"",NA
"200","participant willing to provide a written",1,"",NA
"201","able to give",1,"",NA
"202","ability to provide written",1,"",NA
"205","unable to provide",1,"",NA
"206","patient must have given written",1,"",NA
"207","ability to understand and willing to provide",1,"",NA
"208","participant is unable to provide",1,"",NA
"213","capable and willing to provide",1,"",NA
"214","be able to provide written",1,"",NA
"218","patients must be willing and able to provide a written",1,"",NA
"223","ability of a patient or a legally authorized representative lar to understand and the willingness to sign a written",1,"",NA
"232","provision of",1,"",NA
"243","the ability to provide written",1,"",NA
"249","patient must have provided study specific",1,"",NA
"251","patients must sign a study specific",1,"",NA
