"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency","Blank 4","Frequency"
"89","recurrent / progressive dipg stratum 1 alanine aminotransferase alt",1,"",NA,"sgot and alanine aminotransferase alt serum glutamic pyruvic transaminase sgpt if no known liver metastases ast / sgot and alt / sgpt both",1,"3 times institutional upper limit of normal                                                ",2
"96","aspartate aminotransaminase",1,"",NA,"sgot and alanine aminotransferase alt / serum glutamate pyruvate transaminase sgpt =",1,"3 x mcLn = 135 u / l for the purpose of this study the mcLn for sgpt is 45 u / l                                ",2
"111","patients on part a and part b",1,"",NA,"sgot or alanine aminotransferase alt serum glutamate pyruvate transaminase sgpt =",1,"3 . 0 x mcLn                                                  ",2
"120","alanine transferase alt",1,"",NA,"sgpt alanine aminotransferase alt and serum glutamic oxaloacetic transaminase sgot ast ast",1,"2 . 5 x uln                                          ",2
"125","patients with solid tumors",1,"",NA,"sgot and alanine aminotransferase alt serum glutamate pyruvate transaminase sgpt",1,"1 . 5 x mcLn                                                   ",2
"131","general inclusion criteria for subprotocols",1,"",NA,"ast ast and serum alanine transaminase alanine aminotransferase alt =",1,"3 x mcLn = 150 u / l for the purpose of this study the mcLn for sgot is 50 u / l                                 ",2
"142","within 14 days prior to registration",1,"",NA,"sgot and alanine transaminase alt serum glutamate pyruvate transaminase sgpt =",1,"2 . 5 x mcLn in the absence of hepatic metastasis sgpt alt = < 3 x mcLn or sgot = < 5 x mcLn in the presences of hepatic metastasis                ",1
"145","patients must have",1,"",NA,"sgpt",1,"2 . 5 x mcLn if subject has hcc or liver metastases = < 5 x mcLn phase i ast and alt = < 5 x mcLn phase ii                  ",1
"155","ast ast",1,"",NA,"sgpt alanine aminotransferase alt",1,"2 . 5 x institutional mcLn if no liver metastasis present = < 5 x institutional mcLn if liver metastases are present                          ",1
"161","participants not on the hodgkin lymphoma expansion cohort ast",1,"",NA,"sgpt alanine transferase alt =",1,"2 . 5 x mcLn = < 5 x mcLn for patients with documented liver metastases                                ",1
"172","ast or",1,"",NA,"sgot ast ast and serum glutamate pyruvate transaminase sgpt alanine aminotransferase alt",1,"2 . 5 ï institutional mcLn or = < 5 x mcLn for patients with liver metastases                               ",1
"2","",NA,"",NA,"sgot / ast and serum glutamate pyruvate transaminase sgpt / alanine aminotransferase alt =",1,"2 . 5 x mcLn / = < 5 x mcLn for subjects with liver metastases                                ",1
"4","",NA,"",NA,"sgot and serum glutamate pyruvate transaminase sgpt =",1,"2 . 5 x mcLn = < 5 x mcLn in setting of metastatic liver disease                                ",1
"5","",NA,"",NA,"sgot or serum glutamate pyruvate transaminase sgpt within 30 days prior to registration it is highly recommended but not required that sgot or sgpt be =",1,"2 . 5 x institutional mcLn up to 5 times mcLn in presence of liver metastases               ",1
"6","",NA,"",NA,"sgot aspartate transaminase ast or serum glutamate pyruvate transaminase sgpt alanine transaminase alt",1,"2 . 5 ï institutional upper limit of normal uln and = < 5 mcLn if liver metastases are present                            ",1
"7","",NA,"",NA,"sgpt ast serum glutamic oxaloacetic transaminase sgot =",1,"2 . 5 x institutional mcLn or = < 5 x mcLn if metastatic disease involves liver                               ",1
"9","",NA,"",NA,"sgot / alt serum glutamate pyruvate transaminase sgpt =",1,"2 . 5 x institutional mcLn or = < 5 x institutional mcLn if the patient has liver metastases                             ",1
"10","",NA,"",NA,"serum glutamic oxaloacetic transaminase sgot / ast ast and serum glutamate pyruvate transaminase sgpt / alanine aminotransferase alt must be =",1,"3 x institutional mcLn if intrahepatic liver metastases are present ast and alt must be = < 5 times institutional mcLn                           ",1
"11","",NA,"",NA,"",NA,"2 x upper limit of normal uln = < 5 x mcLn if liver metastasis                                 ",1
"12","",NA,"",NA,"",NA,"2 x mcLn if known liver metastases then ast / sgot < 5 x mcLn                                     ",1
"13","",NA,"",NA,"",NA,"2 . 5 x institutional upper limit of normal uln if liver involvement = < 5 x mcLn                              ",1
"15","",NA,"",NA,"",NA,"2 . 5 x upper limit of normal uln if no liver metastasis = < 5 x upper mcLn if liver metastasis present                         ",1
"16","",NA,"",NA,"",NA,"3 times institutional mcLn unless liver metastases are present in which case they must be < 5 x mcLn                     ",1
"17","",NA,"",NA,"",NA,"2 . 5 x institutional mcLn unless liver metastases are present and then = < 5 x institutional mcLn is acceptable                   ",1
"18","",NA,"",NA,"",NA,"2 x mcLn if known liver metastases then ast / sgot and alt / sgpt both < 5 x mcLn                ",1
"22","",NA,"",NA,"",NA,"1 . 5 x mcLn ast and / or alt = < 3 x mcLn for patients with liver involvement                            ",1
"23","",NA,"",NA,"",NA,"2 . 5 x institutional upper limit of normal assessed within seven 7 days prior to the start of therapy                            ",1
"24","",NA,"",NA,"",NA,"2 . 5 times the institutional upper limit of normal for subjects with known liver metastases ast and alt = < 5 times institutional upper limit of normal                    ",1
"25","",NA,"",NA,"",NA,"2 . 5 x institutional upper limit of normal unless there is evidence of liver metastases in which case the ast sgot / alt sgpt must be = < 5 x institutional upper limit of normal          ",1
"26","",NA,"",NA,"",NA,"135 and serum glutamic oxaloacetic transaminase sgot ast ast = < 3 x upper limit of normal note that for alt the upper limit of normal is defined as 45 u / l                      ",1
"27","",NA,"",NA,"",NA,"2 x uln institutional upper limit of normal within 28 days prior to registration                                  ",1
"30","",NA,"",NA,"",NA,"2 . 5 times the upper limit of normal obtained within 28 days prior to randomization                              ",1
"31","",NA,"",NA,"",NA,"2 . 5 x institutional upper limit of normal for age within 14 days of registration and within 7 days of the start of treatment                       ",1
"33","",NA,"",NA,"",NA,"3 x institutional upper limit of normal if above the institutional upper limit of normal but = < 3 times institutional upper limit of normal the decision to initiate temozolomide treatment should carefully consider the benefits and risks for the individual patient      ",1
"34","",NA,"",NA,"",NA,"3 x institutional upper limit of normal 5 . 0 x mcLn in cases of liver metastases                               ",1
"35","",NA,"",NA,"",NA,"5 ï institutional upper limit of normal unless due to leukemic infiltration                                    ",1
"36","",NA,"",NA,"",NA,"3 x institutional upper limit of normal 5 x if liver metastases                                    ",1
"37","",NA,"",NA,"",NA,"3 x institutional upper limit of normal for age                                       ",1
"38","",NA,"",NA,"",NA,"3 x institutional upper limit of normal 5 . 0 x mcLn in patients with liver metastases                               ",1
"39","",NA,"",NA,"",NA,"5 . 0 x institutional upper limit of normal                                        ",1
"40","",NA,"",NA,"",NA,"2 . 5 ï institutional upper limit of normal                                       ",1
"41","",NA,"",NA,"",NA,"2 . 5 x mcLn for subjects with liver metastases sgot and sgpt alt < 5 x the upper normal limit of institution s normal range is allowed                   ",1
"42","",NA,"",NA,"",NA,"2 . 5 x institutional upper limit of normal = < 5 x upper limit of normal uln if liver metastases are present                         ",1
"43","",NA,"",NA,"",NA,"2 x institutional upper limit of normal uln                                         ",1
"44","",NA,"",NA,"",NA,"3 . 0 x institutional upper limit of normal uln                                      ",1
"45","",NA,"",NA,"",NA,"2 . 5 x institutional upper limit of normal = < 5 x institutional upper limit of normal if liver metastasis present                          ",1
"47","",NA,"",NA,"",NA,"2 . 5 x institutional upper limit of normal except for patients with liver metastases in whom ast / alt can be < 5 x institutional upper limit of normal                  ",1
"48","",NA,"",NA,"",NA,"2 . 5 x upper limit normal                                            ",1
"49","",NA,"",NA,"",NA,"2 ï institutional upper limit of normal uln                                        ",1
"50","",NA,"",NA,"",NA,"2 . 5 x institutional upper limit of normal = < 5 x mcLn is acceptable if liver metastases are present                           ",1
"51","",NA,"",NA,"",NA,"1 . 5 x institutional upper limit of normal or = < 3 x upper limit of normal uln in the setting of liver metastases                       ",1
"52","",NA,"",NA,"",NA,"5 x upper limit of normal uln                                         ",1
"53","",NA,"",NA,"",NA,"2 . 5 x institutional upper limit of normal for patients with hepatic metastases alt and ast = < 5 x mcLt                          ",1
"54","",NA,"",NA,"",NA,"3 x upper limit of normal uln                                         ",1
"55","",NA,"",NA,"",NA,"4 x institutional upper limit of normal                                         ",1
"56","",NA,"",NA,"",NA,"5 . 0 x mcLn for age = < 225 u / l for the purpose of this study the mcLn for sgpt is 45 u / l                           ",1
"57","",NA,"",NA,"",NA,"3 x mcLn = 135 units per liter u / l for the purpose of this study the mcLn for sgpt is 45 u / l                             ",1
"58","",NA,"",NA,"",NA,"2 . 5 x upper limit of normal uln for age for the purpose of this study the mcLn for alt is 45 u / l                              ",1
"59","",NA,"",NA,"",NA,"2 . 5 x mcLn must be obtained within 8 weeks prior to screening for protocol therapy                                      ",1
"60","",NA,"",NA,"",NA,"3 x upper limit of normal uln for age except for patients with liver metastasis who may enroll if alt < 5 times mcLn for age                              ",1
"61","",NA,"",NA,"",NA,"135 u / l 3x mcLn for the purpose of this study the mcLn for sgpt is 45 u / l                                  ",1
"62","",NA,"",NA,"",NA,"3 x upper limit of normal uln = 135 u / l for the purpose of this study the mcLn for sgpt is 45 u / l                            ",1
"63","",NA,"",NA,"",NA,"135 u / l 3 x mcLn for the purpose of this study the mcLn for sgpt is 45 u / l                                 ",1
"64","",NA,"",NA,"",NA,"5 x mcLn for age for the purpose of this study the mcLn for alt will be 45 u / l                                  ",1
"65","",NA,"",NA,"",NA,"3 x uln                                                    ",1
"66","",NA,"",NA,"",NA,"135 u / l for the purpose of this study the mcLn for sgpt is 45 u / l within 7 days prior to enrollment                              ",1
"68","",NA,"",NA,"",NA,"2 . 5 x upper limit of normal uln for age for patients on anti seizure medications sgot or sgpt alt must be < 5 x mcLn                     ",1
"69","",NA,"",NA,"",NA,"2 . 0 x mcLn                                                    ",1
"70","",NA,"",NA,"",NA,"2 . 5 x mcLn ctcae v 3 . 0 grade 0 1                                             ",1
"71","",NA,"",NA,"",NA,"3 x mcLn obtained = < 21 days prior to registration                                             ",1
"72","",NA,"",NA,"",NA,"10 x mcLn for age                                           ",1
"73","",NA,"",NA,"",NA,"3 x normal                                                       ",1
"74","",NA,"",NA,"",NA,"2 . 5 times mcLn                                           ",1
"75","",NA,"",NA,"",NA,"2 . 5 x institutional mcLn as calculated by cockcroft gault                                    ",1
"76","",NA,"",NA,"",NA,"2 . 5 x uln within 7 days prior to registration                                      ",1
"77","",NA,"",NA,"",NA,"1 . 5 upper limit of normal                           ",1
"79","",NA,"",NA,"",NA,"2 . 5 x mcLn measured within 28 days prior to randomization                                    ",1
"80","",NA,"",NA,"",NA,"2 x institutional mcLn                                           ",1
"81","",NA,"",NA,"",NA,"2 . 5 x upper limit of normal uln must be obtained within 8 weeks prior to screening for protocol therapy                                   ",1
"82","",NA,"",NA,"",NA,"2 . 5 ï mcLn for the laboratory                                        ",1
"83","",NA,"",NA,"",NA,"3 x mcLn within 2 weeks prior to enrollment                                 ",1
"84","",NA,"",NA,"",NA,"2 . 5 x mcLn for age                                         ",1
"85","",NA,"",NA,"",NA,"3 times institutional mcLn                                            ",1
"86","",NA,"",NA,"",NA,"2 . 5 ï institutional mcLn                                          ",1
"88","",NA,"",NA,"",NA,"2 . 5 x the institutional mcLn unless the liver is involved with the tumor in which case serum transaminase sgot / sgpt must be = < 5 x the institutional mcLn must be obtained within 28 days prior to registration",1
"90","",NA,"",NA,"",NA,"2 . 5 x uln obtained within 28 days prior to step 2 registration                                 ",1
"91","",NA,"",NA,"",NA,"2 . 5 x upper limit of normal uln for age for the purpose of this study the mcLn for sgpt is 45 u / l                      ",1
