"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"4","",NA,"",NA,"100 000 cells / mcL 75 x 10 9 l and                                                 ",1
"5","",NA,"",NA,"100 000 / mcL unsupported                                                       ",1
"6","",NA,"",NA,"90 x 10 3 / mcL                                                      ",1
"7","",NA,"",NA,"100 x 10 3 / mcL                                                      ",1
"8","",NA,"",NA,"100 000 / mm                                                       ",1
"9","",NA,"",NA,"100 000 / mcL obtained = < 21 days prior to registration                                               ",1
"10","",NA,"",NA,"100 000                                                         ",1
"11","",NA,"",NA,"100 000 / ml within 28 days prior to registration                                                 ",1
"12","",NA,"",NA,"75 000 / mcL obtained within 28 days prior to randomization                                             ",1
"13","",NA,"",NA,"50000 / mcL                                                        ",1
"14","",NA,"",NA,"75 000 / mcL within 90 days prior to randomization                                                 ",1
"15","",NA,"",NA,"100 000 mcL obtained within 28 days prior to sub study registration                                               ",1
"16","",NA,"",NA,"100 000 / mcL measured within 28 days prior to randomization                                                ",1
"17","",NA,"",NA,"20 000 / mcL may receive Platelets transfusions these patients must not be known to be refractory to red cell or Platelets transfusion                            ",1
"18","",NA,"",NA,"75 000 / mcL must be obtained within 28 days prior to registration                                              ",1
"19","",NA,"",NA,"100 000 / ml within 21 days prior to registration                                                 ",1
"20","",NA,"",NA,"100 000 / mcL these resmcLts must be obtained within 28 days prior to registration                                        ",1
"21","",NA,"",NA,"100 000 / mcL within 28 days before randomization                                                ",1
"22","",NA,"",NA,"100 000 / mcL within 4 weeks of randomization                                                  ",1
"23","",NA,"",NA,"100 000 / mcL Platelets > = 75 000 required for patients who received cycle 1 of mfolfox6 prior to registration                                      ",1
"24","",NA,"",NA,"70 000 / mcL within 21 days prior to study entry                                                 ",1
"25","",NA,"",NA,"60 000 / mcL obtained within 14 days prior to study entry                                                ",1
"26","",NA,"",NA,"100 000 / mcL obtained within 30 days prior to registration                                                 ",1
"27","",NA,"",NA,"100 000 / mcL within 14 days prior to study registration                                                 ",1
"28","",NA,"",NA,"100 000 / mcL within 21 days prior to registration                                                  ",1
"29","",NA,"",NA,"100 000 / mcL equivalent to ctcae v 3 . 0 grade 0 1                                              ",1
"30","",NA,"",NA,"75 000 / mcL within 90 days before enrollment                                                   ",1
"31","",NA,"",NA,"30 000 / mcL                                                        ",1
"32","",NA,"",NA,"100 000 / mcL must be obtained within 8 weeks prior to screening for protocol therapy                                            ",1
"33","",NA,"",NA,"100 000 / mcL within 4 weeks prior to randomization                                                  ",1
"34","",NA,"",NA,"100 000 / mcL assessed within seven 7 days prior to the start of therapy                                             ",1
"35","",NA,"",NA,"75 000 / mcL or > = 50 000 / mcL with documented bone marrow involvement                                      ",1
"36","",NA,"",NA,"100 000 / l unsupported within 14 days of registration and within 7 days of the start of treatment                                         ",1
"37","",NA,"",NA,"75 000 / mcL 75000 / mcL obtained within 2 weeks prior to registration                                              ",1
"38","",NA,"",NA,"50 000 / mcL within 28 days prior to registration                                                  ",1
"39","",NA,"",NA,"100 000 / mcL within 14 days prior to registration                                                  ",1
"40","",NA,"",NA,"100 000 / mcL within 14 days prior to registration .                                                 ",1
"41","",NA,"",NA,"100 000 / mcL obtained within 28 days prior to step 2 registration                                               ",1
"42","",NA,"",NA,"100 000 / mcL within 2 weeks of the first dose of study treatment                                              ",1
"43","",NA,"",NA,"100                                                           ",1
"44","",NA,"",NA,"100 000mcL                                                          ",1
"45","",NA,"",NA,"100 000 / mcL transfusion dependent                                                      ",1
"46","",NA,"",NA,"100 000 x 10 9 / l                                                     ",1
"47","",NA,"",NA,"75000 / mcL within 30 days of day 1 of study                                                 ",1
